,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
1,T-smnnEAdM0,UC6o_ckmEk87f7TiViatW11w,No a la ANMISTIA y no AL PERDONA LA DEUDA DE CATALUÑA que sirve para  LOS SEPARATISTAS E INDEPENDENTISTAS V NACIONALISTAS  PARA LA DESTRUCCIÓN DE ESPAÑA A TRAVÉS DEL CÓDIGO PENAL,[0. 0. 0. ... 0. 0. 0.],anmistia perdona deuda catalu sirv separatista independentista nacionalista destrucci espa trav digo penal,-1.0
2,T-smnnEAdM0,UCCXQ_BAzI-GcXgDUwN4XiXQ,"Que no te enteras,Contreras
Que se la trae floja,que es un asunto interno español.Dejad de patalear,y berrear.Que cansinos.Cuando la amnistía fiscal,os pareció bien,fachosos,y un rey mangante,patriota,yAznar y su guerrita,tanbien,y el CSPJ,y M.Rajoy,y la matayayos,y el Zendal,y Bárcenas,Y doña Finiquito.Que grandes patriotas,como se os ve el plumero.",[0. 0. 0. ... 0. 0. 0.],entera contrera trae floja asunto interno espa dejad patalear berrear cansino amnist fiscal pareci bien fachoso mangant patriota yaznar guerrita tanbien cspj rajoy matayayo zendal rcena finiquito grand patriota plumero,-1.0
3,T-smnnEAdM0,UCB4dg7xkDRLpW561xlwNnyw,"¿Como puede ser impecable?, si hasta hace poco todos los bocachanclas y palanganeros del FELON no han parado de decir lo inconstitucional que era. Se pueden reír de sus queridas madres. Que agggggko con el rojerio kutreril progresistoide fachoso rancio y maloliente. Golpe de estado lo que están haciendo",[0. 0. 0. ... 0. 0. 0.],pued impec hace bocachancla palanganero felon parado decir inconstitucion pueden querida madr agggggko rojerio kutreril progresistoid fachoso rancio malolient golp haciendo,-1.0
4,T-smnnEAdM0,UCFc7zfxN235QsmGBJ-GsUcA,"Osea que cuando gobierna el PP nos roba y mete en guerras y aqui no pasa nada ?
Pero cuando gobierna el Psoe que  nos libra de los corruptos del PP y sube los sueldos de trabajo  entonces España se rompe y todo es una caos 
Hay que ser hipocritas y ciegos majaderos",[0. 0. 0. ... 0. 0. 0.],osea gobierna roba mete guerra aqui pasa gobierna psoe libra corrupto sube sueldo trabajo entonc espa romp cao hipocrita ciego majadero,-1.0
6,T-smnnEAdM0,UC_BfqtBXYac3FDWJN72Sd_g,"Europa SOS
Sánchez= Maduro",[0. 0. 0. ... 0. 0. 0.],europa nchez maduro,-1.0
8,T-smnnEAdM0,UCOWww_tqv6stb28jenRKzbQ,"Sanchez acabará con todo el poder, que es de todos los españoles, sin ninguna decencia ni pudor, se rie en nuestra cara, con risa insultante",[0. 0. 0. ... 0. 0. 0.],sanchez acabar poder espa ole ninguna decencia pudor cara risa insultant,-1.0
15,T-smnnEAdM0,UCPjwqx0ItKbTgQnsW65uBGA,"LA U E Q, KNVESTIGUE DONDE A IDO TODO EL DINERO Q, AN MANDAO  , , PORQ.  ALOS ESPAÑOLES NOOO LEA A LLEGAO NI UN EUGO Y NO TENEMIZ PORQ. PAGAR ESA DEUDA Q. SN CREAO ESTOS VIVIDORES.  NI NUESTROS HIJOS NI NIETOS ,  DEJEN DE MABDARLE DINERO.  SOLO  CREAN MAS DEUDA AL PUEBLO.  Q, NO VE NUNCA EL DINERO Q. MSBDSN.  NI.  LA U,E CONTROLA ,    MIREN DEL MANDATO DE SANCHEZ DONDE FUE EL  DINERO H NOOO  MANDE. MAS  S3 LO QUEDA EL H SU BANDA DE DELINCUENTES , Q, TIEBE EN GOBIERNO ,  CON EL.      COMO.  ETA. GOLPISTAS. SEPARATISTAS Y NARCOCHAVISTAS.",[0. 0. 0. ... 0. 0. 0.],knvestigu dinero mandao porq alo espa ole nooo llegao eugo tenemiz porq pagar deuda creao vividor hijo nieto dejen mabdarl dinero solo crean deuda pueblo nunca dinero msbdsn controla miren mandato sanchez dinero nooo mand queda banda delincuent tieb gobierno golpista separatista narcochavista,-1.0
16,T-smnnEAdM0,UCPjwqx0ItKbTgQnsW65uBGA,"Y LA.  U, , E SE FIA DE SANCHEZ Y SU BANDA DE DELINCUENTES , ?",[0. 0. 0. ... 0. 0. 0.],sanchez banda delincuent,-1.0
20,0HVzuoDgkkY,UCpgQrqFbstUTTYNKtTfOlmw,"Caramba, mira quien habla: el terrorista Mr X, amigo de Pinochet y de la extrema derecha!",[0. 0. 0. ... 0. 0. 0.],caramba mira habla terrorista amigo pinochet extrema derecha,-1.0
26,0HVzuoDgkkY,UCBFQRJRtLW3RiIj7MO_2W4A,El Sr. González debe pedir perdón por subirse a la carroza de oro que le han puesto para que blasfeme a cuatro vientos.,[0. 0. 0. ... 0. 0. 0.],gonz debe pedir perd subirs carroza puesto blasfem cuatro viento,-1.0
29,0HVzuoDgkkY,UCdlgAxg-OYTdAiFB-Ufw7YA,"Que pena lo de las viejas glorias socialistas (Felipe,Guerra,Leguina,Corcuera,Paco Vazquez,etc.etc.etc.)",[0. 0. 0. ... 0. 0. 0.],pena vieja gloria socialista felip guerra leguina corcuera paco vazquez,-1.0
34,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,Este farsante no era isidoro,[0. 0. 0. ... 0. 0. 0.],farsant isidoro,-1.0
38,0HVzuoDgkkY,UCpO__g_1rvOpcyZsDAy83dA,"Mister x,a ti no te ha hecho falta amnistía",[0. 0. 0. ... 0. 0. 0.],mister hecho falta amnist,-1.0
39,0HVzuoDgkkY,UC9txpJobBGck4930MDlc1gw,Españoles !…..Seguid votando a Sanchinflas que en el pozo aún cabe miseria !,[0. 0. 0. ... 0. 0. 0.],espa ole seguid votando sanchinfla pozo cabe miseria,-1.0
41,aXLB8r1t8ec,UCbOB-lW9N5rTADpmGapf2nA,"Considerando la insistente y perversa violación del Derecho por parte de tanto sátrapa, considerar: que no sólo debieran ser inhabilitados sino que, asimismo, debieran ser procesados y encarcelados por un delito continuado de alta traición al Estado entre otras concausas, el sátrapa Sánchez y demás adláteres, así como por todas sus implicaciones en las acciones tendentes a la ruptura de España, dentro del concurso de delitos que que está propiciando con los independentistas. En definitiva, son todos unos muy insensatos, mediocres e indecentes políticos. ¿Y qué decir de jueces presuntamente corruptos, Pumpido y compañía? Todo un cúmulo de auténticos despropósitos que vulneran gravemente el Estado de Derecho y niegan totalmente la Democracia en España. ¡Qué asco!",[0. 0. 0. ... 0. 0. 0.],considerando insistent perversa violaci derecho part trapa considerar debieran inhabilitado sino asimismo debieran procesado encarcelado delito continuado alta traici concausa trapa nchez tere toda implicacion accion tendent ruptura espa dentro concurso delito propiciando independentista definitiva insensato mediocr indecent tico decir juec presuntament corrupto pumpido compa mulo ntico desprop sito vulneran gravement derecho niegan totalment democracia espa asco,-1.0
