,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
0,0,T-smnnEAdM0,UCTlJjNviHj7Y32eiOdHH_FQ,No me creo que les importemos algo. Estos son todos de la misma opinión 😮,creo importemo misma opini,[0. 0. 0. ... 0. 0. 0.],0.0
1,1,T-smnnEAdM0,UC6o_ckmEk87f7TiViatW11w,No a la ANMISTIA y no AL PERDONA LA DEUDA DE CATALUÑA que sirve para  LOS SEPARATISTAS E INDEPENDENTISTAS V NACIONALISTAS  PARA LA DESTRUCCIÓN DE ESPAÑA A TRAVÉS DEL CÓDIGO PENAL,anmistia perdona deuda catalu sirv separatista independentista nacionalista destrucci espa trav digo penal,[0. 0. 0. ... 0. 0. 0.],-1.0
2,2,T-smnnEAdM0,UCCXQ_BAzI-GcXgDUwN4XiXQ,"Que no te enteras,Contreras
Que se la trae floja,que es un asunto interno español.Dejad de patalear,y berrear.Que cansinos.Cuando la amnistía fiscal,os pareció bien,fachosos,y un rey mangante,patriota,yAznar y su guerrita,tanbien,y el CSPJ,y M.Rajoy,y la matayayos,y el Zendal,y Bárcenas,Y doña Finiquito.Que grandes patriotas,como se os ve el plumero.",entera contrera trae floja asunto interno espa dejad patalear berrear cansino amnist fiscal pareci bien fachoso mangant patriota yaznar guerrita tanbien cspj rajoy matayayo zendal rcena finiquito grand patriota plumero,[0. 0. 0. ... 0. 0. 0.],-1.0
3,3,T-smnnEAdM0,UCB4dg7xkDRLpW561xlwNnyw,"¿Como puede ser impecable?, si hasta hace poco todos los bocachanclas y palanganeros del FELON no han parado de decir lo inconstitucional que era. Se pueden reír de sus queridas madres. Que agggggko con el rojerio kutreril progresistoide fachoso rancio y maloliente. Golpe de estado lo que están haciendo",pued impec hace bocachancla palanganero felon parado decir inconstitucion pueden querida madr agggggko rojerio kutreril progresistoid fachoso rancio malolient golp haciendo,[0. 0. 0. ... 0. 0. 0.],-1.0
4,4,T-smnnEAdM0,UCFc7zfxN235QsmGBJ-GsUcA,"Osea que cuando gobierna el PP nos roba y mete en guerras y aqui no pasa nada ?
Pero cuando gobierna el Psoe que  nos libra de los corruptos del PP y sube los sueldos de trabajo  entonces España se rompe y todo es una caos 
Hay que ser hipocritas y ciegos majaderos",osea gobierna roba mete guerra aqui pasa gobierna psoe libra corrupto sube sueldo trabajo entonc espa romp cao hipocrita ciego majadero,[0. 0. 0. ... 0. 0. 0.],-1.0
5,5,T-smnnEAdM0,UC5VOjXoHeqZUF0swDWq_2SA,"como propuso Vox al PP, manipular no es bueno",propuso manipular bueno,[0. 0. 0. ... 0. 0. 0.],0.0
6,6,T-smnnEAdM0,UC_BfqtBXYac3FDWJN72Sd_g,"Europa SOS
Sánchez= Maduro",europa nchez maduro,[0. 0. 0. ... 0. 0. 0.],-1.0
7,7,T-smnnEAdM0,UCB6JDzYw_B3Ufx_hr11CKag,BABEO ELLOS SON COMPLICES DE ESTE INS ULTO,babeo complic ulto,[0. 0. 0. ... 0. 0. 0.],0.0
8,8,T-smnnEAdM0,UCOWww_tqv6stb28jenRKzbQ,"Sanchez acabará con todo el poder, que es de todos los españoles, sin ninguna decencia ni pudor, se rie en nuestra cara, con risa insultante",sanchez acabar poder espa ole ninguna decencia pudor cara risa insultant,[0. 0. 0. ... 0. 0. 0.],-1.0
9,9,T-smnnEAdM0,UCdElnB35gVnYe-PWgpCba0w,"La UE es mentira solo esta para rumania, Hungría y otros",mentira solo rumania hungr,[0. 0. 0. ... 0. 0. 0.],0.0
