,video_id,author,comment
0,V8gDOj2V6Wo,UCHod-i12nNNdYtTJIqeXRLA,Viva el machismo
1,V8gDOj2V6Wo,UCEIylx-a-CPhMnXNUxv_LNA,"Hay que amar a las  mujeres y tratarlas como tal,"
2,V8gDOj2V6Wo,UC3IJ88t0um1drra78GUSNLg,"Feminismo es una palabra para referirse a una mujer con rasgos y movimientos delicados que le sale natural, de hay la frase que feminista que se husadesde ya hace muchisimos años.


Informencen 😼"
3,V8gDOj2V6Wo,UCx71QVpr8WRY2HIALeabUzw,Es que la verdad el feminismo ya no busca igualdad busca derechos y privilegios sobre los hombres
4,V8gDOj2V6Wo,UC_uq4nmAsi3fFo0JOHKZ63w,"Diré como dijo un sabio
Las Mujeres solo sacan la bandera del feminismo cuando les conviene y cuando no c kG@N en eso :v
Edit : sin miedo a la funa"
5,V8gDOj2V6Wo,UChRm-4tazqB8qLZYKrVsPyg,"La solucion es ovia...

_hay que quitar el ministerio de la mujer

_y creal el ministerio de capital humano

Tal y como lo plantea milei"
6,V8gDOj2V6Wo,UCpg4OxQpbqV5yMK9oj0pA7Q,No ala idiologia de genero
7,V8gDOj2V6Wo,UCoQmy5eqsM72AUQBzVfo7lw,"Gente, todavía quedan platos por lavar"
8,V8gDOj2V6Wo,UCqm9U-VBVJQ9Zp0KCwK8hFA,Tiene razón. Ella defiende en igualdad de la mujer pero desprecia el feminismo radical que causa la guerra contra el hombre
9,V8gDOj2V6Wo,UCsxtsFg8Cmf4VqRhvS_kPYQ,Hola chucheta 😅
10,V8gDOj2V6Wo,UCg3QVvZbkGe9q3uGhGLoY2w,La igualdad para las feministas es que ellas le pueden pegar a un hombre pero un hombre no les puede pegar a ellas
11,V8gDOj2V6Wo,UCg3QVvZbkGe9q3uGhGLoY2w,La igualdad para las feministas es que ellas le pueden pegar a un hombre pero un hombre no les puede pegar a ellas
12,V8gDOj2V6Wo,UC4wouUxcJ4UL7LpbHgJ0kEA,"Jamas va prejudicar a las mujeres al contrario las va benediciar sobre todo con la IA, como hombre no puedo tener descanso estas si no laburan reciben todo sin trabajar no pagan impuestos son anti ambientalistas desde el ambientalismo procrea hijos y comparte tu mujer para el ques hombre"
13,V8gDOj2V6Wo,UCIdVhVzoqFa3t1zVhD5AM3g,"Yo lo llamo como Agustín L.
Feminazis"
14,V8gDOj2V6Wo,UC5pSsUYpMwyA1K-mWycjX2Q,Hoy es nesesario ???? Las leyes a quien benefician mas ?? Investiguen y veran como el hombre es la victima
15,V8gDOj2V6Wo,UCUAuCnNwMLNT_NxjjkMbRYg,El día q sea padre educare a mí hija o hijo para q no termine así
16,V8gDOj2V6Wo,UCdH17vlVLUyjUgs_PMJeO0w,"El feminismo surge tb como un movimiento de clase frente a los abusos del capitalismo. No hay que olvidar que la primera cesión de voto a las mujeres en Reino Unido fue rechazado por la mayoría del movimiento al limitarse solo a las mujeres propietarias. No en vano prácticamente todas las grandes teóricas del feminismo han sido de izquierdas: Stonewall, Rosa Luxemburgo, Simone de Beauvoir, Chimamandra Ngodi, Butler. Etc. seguid así, fomentando una ideología que destruye el planeta"
17,V8gDOj2V6Wo,UC4BGjHBSPKUdO2sgZS2iqbw,Hate
18,V8gDOj2V6Wo,UC4BGjHBSPKUdO2sgZS2iqbw,Hate
19,V8gDOj2V6Wo,UCBoboBTOYmcyFKDgoH_IOYA,"El verdadero feminismo fue opacado. Lo que vemos hoy es un grupo minoritario con traumas no tratados por especialistas,por lo tanto buscan sanación dándole rienda suelta al odio y al rencor. Lo que yo he observado en grupos de mujeres que se llaman feministas, es simplemente mujeres enfermas de odio y rencor, a eso le sumamos que también son mujeres sexualmente enfermas.( Lesbianas). Y no  me vengan con que estoy discriminando, pues no ,no estoy exagerando, todo ser humano que rechaza su género padece de ""DISFORIA"". Y bueno con el tiempo el concepto ""feminismo"" murió cuando inescrupulosos e inescrupulosas se colgaron de este movimiento con intereses políticos, económicos y sexuales."
20,hL1VUOOGWFw,UCVwSt6CimHtFPMXjl8BLk9Q,"Solo en el insiso donde mencionaste que mujeres fueron asesinadas en América latina, no tiene que ver con desigualdad, igualmente asesinan a hombres"
21,hL1VUOOGWFw,UCYXvRzm_8PZZSm_nhK76ieg,"Me gusta mas la palabra equidad que igualdad, porque la igualdad a veces no libera, si no que sigue oprimiendo. Cómo por ejemplo, la ley de 50 y 50 de los gastos en los hijos de padres separados. Esa igualdad no funciona cuando las madres son casi siempre quienes velan al 100% por el hijo. Eso no es equitativo, eso es injusto."
22,hL1VUOOGWFw,UCNjfBSsugsSoifEPzmy-cgQ,"Los datos históricos están bien. Pero cuando das datos tienes que revisemos bien o estarás desinformando a la gente.  

El 55% de mujeres en trabajos no remunerados se debe a la maternidad (la cual es una elección voluntaria) 

Así mismo las mujeres ganan menos. Por qué en proporción trabajan menos horas y menos días en los mismos puestos. Y en puestos de alto valor no están dispuestas a dejar de lado su vida, familia, amigos etc para poder trabajar en eso 


Revisa tus datos. No des interpretaciones a la ligera por qué solo alimentar la ignorancia"
23,hL1VUOOGWFw,UCrcIvS430XvfeTvZ7D0EETQ,Pues si el feminismo no es algo malo pero actualmente el feminismo no es el igualitarismo que es lo que busca sino que busca la superioridad y es algo triste porque nacio como una causa justa
24,hL1VUOOGWFw,UCHvemygcnko_DS-m0Cgw4iA,Este vídeo está desfasado 🙄
25,hL1VUOOGWFw,UC5v4dAfow3CQsAt6_N04rxw,"Si son como las actuales?
No gracias...
El feminismo ha perdido su rumbo real."
26,hL1VUOOGWFw,UCoA_zLoAiMVWvyc6igvQ_zg,Por los progres
27,hL1VUOOGWFw,UCRMtoa96mmvaI5V7K7mcDMQ,"Necesito un resumen de este video para mí tarea, ayudaaaa🐿️🐿️"
28,hL1VUOOGWFw,UCnu03vA5op2oljoV7BXuhJA,"El patriarcado es un invento feminista, no existe. Lo que si ha existido (que ya no) es la desigualdad de genero (al menos en España). Buscan cualquier tipo de argumento por poco valido que sea para repetirlo constantemente entre todas, hasta que viene alguien que no esta de acuerdo, lo rebate con respeto y argumentos validos y es llamado machista, e aquí la sociedad del feminismo, de la igualdad y de la libertad de expresión señores..."
29,hL1VUOOGWFw,UCP-bLox-BaU05xUea-4Yhyw,"el FEMINISMO (de hoy en dia) es puro odio cuyo objetivo es acabar con la natalidad y la familia... a pesar de que millones de personas no sean felices y acaben con problemas mentales...   PERIODISTAS QUE PARTICIPAIS EN TODO ESTE CIRCO POR DINERO, DAIS ASCO."
30,hL1VUOOGWFw,UCbkZamZ54fEtCAacwDlk6Dw,"Algo que se me hace bien horrible es la violencia psicológica que se ejerce de mujer a mujer, hay mujeres que se ponen con niñas pequeñas, las humillan de una manera bien horrible y ese tipo de mujeres son las que se cuelgan la bandera de no me puedes hacer nada porque soy mujer pero yo sí puedo humillar a quien se me de la gana solo porque sí. Antes yo apoyaba mucho el feminismo y las marchas, pero desde hace ya unos años veo que muchas mujeres que se etiquetan como feministas son unas basuras de personas la verdad, hay mucha hipocresía en ellas, hablo por experiencias personales con varias mujeres de esas características."
31,hL1VUOOGWFw,UC-Dy5UxcA_t5lMD-S1IKCTw,"Informence más, no volveré a escuchar esto. Si tienen datos interesantes pero algunos les falta información, tenemos igualdad ahora. El feminismo es lo mismo que el machismo en la actualidad."
32,hL1VUOOGWFw,UCOi2Wdqhbf8DeP04CNRobbA,Son candidatas para ir al un irfierno
33,hL1VUOOGWFw,UCS4Lf8TEnYvSOiawzzorZqQ,"EL FEMINISMO ES UN MOVIMIENTO CONSTRUCTIVO O ES UN MOVIMIENTO DESTRUCTIVO? NO REPITAMOS COMO PERICOS LO QUE NOS DICEN SIN SABER SI ES VERDAD O MENTIRA, APRENDAMOS A VER Y OBSERVAR, APRENDAMOS A ANALIZAR, A SER CRITICOS Y A SACAR NUESTRAS PROPIAS CONCLUSIONES, PARA CONOCER REALMENTE SI UNA PERSONA ES CONSTRUCTIVA O DESTRUCTIVA NO LE CREAS LO QUE TE DICE CREE EN LO QUE REALMENTE HACE, HECHOS NO PALABRAS, YA QUE ENTENDIMOS ESO, SAQUEMOS NUESTRAS PROPIAS CONCLUSIONES AL ANALIZAR LO QUE DICE EL FEMINISMO Y LO QUE REALMENTE HACE EL FEMINISMO. 
EL FEMINISMO DICE QUE BUSCA LA IGUALDAD ENTRE EL HOMBRE Y LA MUJER Y LO QUE REALMENTE HACE ES LEGISLAR LUGARES EXCLUSIVOS PARA LAS MUJERES EN TODOS LOS AMBITOS DE LA SOCIEDAD, LA PALABRA EXCLUSIVO VIENE DE EXCLUIR (:QUE ES UNICO Y ELIMINA A LOS DEMAS) Y TODO LO QUE ES EXCLUSIVO PARA LAS MUJERES EXCLUYE A LOS HOMBRES Y ESO NO ES IGUALDAD, ES SUPREMACIA. 
ENTONCES ANALICEMOS CON EL RAZONAMIENTO Y NO CON LA EMOCIONALIDAD LO SIGUIENTE: 
EL FEMINISMO BUSCA LA IGUALDAD ENTRE HOMBRES Y MUJERES? O ES MENTIRA Y ES UN ENGAÑO? 
EL FEMINISMO PROMUEVE LA UNION ENTRE HOMBRES Y MUJERES? O PROMUEVE EL ODIO Y LA DIVISION?
ENTONCES EL FEMINISMO ES UN MOVIMIENTO CONSTRUCTIVO? O ES UN MOVIMIENTO DESTRUCTIVO?
APRENDAMOS A NO DEJARNOS ENGAÑAR, NO CREAMOS EN LO QUE DICEN SINO REALMENTE EN LO QUE HACEN"
34,hL1VUOOGWFw,UC97mCclUpqfeoyje8aNaQww,"Si claro si queréis sacar pechos os óperais las tetas,,, si no fuese por el hombre aún viviríamos en cuevas y no tendrían ni para maquillarse las señoritas, haber quien invento todo"
35,hL1VUOOGWFw,UCwcKlmIjZHv-etjVzAP4e7w,"muchas cosas son discretantes. que no hay igualdad en el trabajo no es verdad. si una empresa paga mas a un hombre que a una mujer en el mismo cargo, la empresa cierra en menos de un año. no hay tantos puestos de directiva porque por lo general ellas no aspiran a esos puestos. los hombres en el ambito laboral desenpeñan trabajos mucho mas peligrosos. las agresiones, secuestros, etc lo sufren no mas los hombres, sino muchisimo mas. la poblacion de las carceles tambien son muchos mas hombres. una mujer puede denunciar a un hombre y este no tiene presuncion de inocencia sino que tiene que demostrarlo. etc etc etc. la ley es para ajudar al debil. no solo a las mujeres. y esto de que hay cada vez mas hombres feministas nose yo de donde lo sacais. mas bien diria que es al contrario. y para acabar me gustaria que alguien me dijera cuando es el dia del hombre. sin mirar google. cuidado porque en politica se suele crear un emenigo comun y una supuesta solucion. hay corrientews sociales nobles que acaban denigrando en cosas muy raras. salud a todos!"
36,hL1VUOOGWFw,UC6oyciTsLSlS10tDIEuL18Q,"Tal vez en un principio su reclamo era justo, actualmente ya no, creo que se acostumbraron a protestar e inconformarse y ahora los logros conseguidos no les dan satisfacción, también la agenda feminista está llena de sentimientos malos ( odio, frustración, venganza, resentimiento etcétera) entiendo que era urgente la justicia social para la mujer pero ahora ya rebasaron límites y proponen locuras y absurdos ( el yo te creo hermana, terminar con la presunción de inocencia en delitos sexuales, autopercepción, aborto,ser víctima si o si, perspectiva de género) un movimiento de reclamos justos está tomando tintes peligrosos de negación a los derechos humanos ( de varones claro) se está retrocediendo al medioevo, también importante decir que el feminismo no busca sustentar su movimiento bases científicas o por lo menos empíricas, actualmente es un adoctrinamiento, creé sin cuestionar, se está retrocediendo."
37,hL1VUOOGWFw,UCyZKnwm9PIcWOl3riDWKcBw,"Si es ley, eres libre o te estan obligando a serlo..😊"
38,hL1VUOOGWFw,UCtdLXJa186QVX3wVyT2xxmQ,"No me creo esas cifras de violencia, ni que el feminismo sea bueno así como se plantea en la actualidad pues basta con ver el odio asia el hombre en los movimientos feministas que más deverian de llamarse HEMBRISTAS, solo buscan igualdad en los puntos que les convenga y en otras cosas las quieren conservar en lo tradicional, un ejemplo típico es: LO TUYO ES MIO Y LO MIO ES MIO😆"
39,hL1VUOOGWFw,UCRbhuHBKKeBaJEkTsGC_p4g,"Feminismo actual divertido debate
https://youtu.be/bjylYBL7zfs?si=IorO168hTkBO3ret"
40,Q17aWaMXyvs,UCFBvLEJ3JBfJO3YskbiRA7g,"Aplausos👏👏👏 bella mujer guerrera, hermosas palabras"
41,Q17aWaMXyvs,UCjZ4id7dv0b-Zlp2ZJVboqA,Esa mujer es muy inteligente justa y capaz pero además sin miedo a esa bola de locos y sus ideas estúpidas
42,Q17aWaMXyvs,UCLQMWOcMQoKNd7BYGYHiq7g,Cuantaaaaa verdad  aplausos
43,Q17aWaMXyvs,UCT_l8DQ2azMDNGCm2euOzpQ,"Orale, soy mexicano pero como le hago para votar por ella? "
44,Q17aWaMXyvs,UCqsMeiVtG0cgdiPZpvkNutg,Olona eres grande te deseo lo mejor para ganarle a esta femimarksistas
45,Q17aWaMXyvs,UCcHFaxv9ABnHFrgBtGUsOaA,"Tantos idiomas habidos y por haber, y decidió hablar basad@"
46,Q17aWaMXyvs,UCsM8D2koSaG0kBQHYSq7Z3A,Que grabde
47,Q17aWaMXyvs,UCpN3engQG869giK_jzYt13w,"Nunca pensé que podría estar de acuerdo con alguien de VOX... Pero esta señora se ha ganado mi respeto. Estoy de acuerdo con cada palabra que ha dicho esta mujer. El feminismo de Montero, de Belarra, se ha convertido en hembrismo y encima lo defienden como feminismo, perjudicando la imagen de la igualdad, del feminismo puro. El feminismo no discrimina a los varones, cosa que están haciendo desde Podemos con sus leyes, que más que hacer favores causa desgracias. Buen discurso 👏👏"
48,Q17aWaMXyvs,UCg5z-3RQheTryeXK3CVzDSA,¿Agresiones feministas?.¿Hombres manipulando y llenando de veneno a mujeres?.¿CIBERCRIMEN?. ¿Ciberviolencia de género?. ¿Y los robos de datos junto con ingeniería social?.
49,Q17aWaMXyvs,UCFvZdEysuDgLHcw9nDLZW_g,"Me encanto el mensaje asi es somos complementos, tengo padre, hermanos, madre hermana y no me gusta lo que el feminismo nos hace a los hombres."
50,Q17aWaMXyvs,UC7JlgqRANEJmg48jEvKF2_g,"Quien la visto y quien la ve,daba gusto escucharla dar zascas,hoy en día no queda nada🥹🥹🥹"
