,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
0,fN48ESWAa_g,UC5R9Bj7w3bWd2xk8Y9DywsA,Seria mejor que digan l@s niñ@s para que los españoles no sigan arruinando su idioma castellano hahhahaahahajajajajajajajajajajjajja 😂🤣,[0. 0. 0. ... 0. 0. 0.],seria mejor digan espa ole sigan arruinando idioma castellano hahhahaahahajajajajajajajajajajjajja,-1.0
1,fN48ESWAa_g,UC5R9Bj7w3bWd2xk8Y9DywsA,"Les niñes dijo esa señora,los españoles estan arruinando su idioma castellano sin que ellos se den cuenta hahahaahahahabajajaajajajajaajjajaajajjaajjjaja 😂",[0. 0. 0. ... 0. 0. 0.],dijo espa ole estan arruinando idioma castellano cuenta hahahaahahahabajajaajajajajaajjajaajajjaajjjaja,-1.0
2,fN48ESWAa_g,UCjaaONgMV2TD-mmSxlo6gGQ,Protejamos a Lis niños de la mayor mentira de la humanidad que es la religión,[0. 0. 0. ... 0. 0. 0.],protejamo mayor mentira humanidad religi,-1.0
4,fN48ESWAa_g,UCGSnhdpDi3BKmF5rfle6vxQ,Estos son los comunistas. Los q cargan contra curas y dalai lama,[0. 0. 0. ... 0. 0. 0.],comunista cargan cura dalai lama,-1.0
6,fN48ESWAa_g,UC9yYR8_Di37L_H-gI6Y6-_Q,Me da as o esta mujer que hirror,[0. 0. 0. ... 0. 0. 0.],mujer hirror,-1.0
7,fN48ESWAa_g,UCfpLoKIzVIhypXdRvg1_dzw,"Por favor que le ocurre a esa Sra. No es extrema derecha es la humanidad, la inocencia, valores, que están en juego. Los de la izquierda siempre quieren hacer más ruido porque son minoría y además cualquier tema de resentimiento toman para que se propague y apabulle. Nada que ver con la ESI.",[0. 0. 0. ... 0. 0. 0.],favor ocurr extrema derecha humanidad inocencia valor juego izquierda siempr quieren hacer ruido minor adem cualquier tema resentimiento toman propagu apabul,-1.0
8,fN48ESWAa_g,UC2DtnRD5Qs1uc_tGYOmQb9g,"Soy adolescente y honestamente creo que la ministra Irene Montero no ha dicho  absolutamente nada malo, el consentimiento si debe ser fundamental y al fin y al cabo es lo que realmente vale a la hora de tener una relación sexual . Siento que muchas veces en la sociedad se subestima por parte de los adultos la capacidad de consentir de los menores entonces lo ven como algo inconcebible, pero la realidad es que se puede dar en ciertos casos.",[0. 0. 0. ... 0. 0. 0.],adolescent honestament creo ministra iren montero dicho absolutament malo consentimiento debe fundament cabo realment vale hora tener relaci sexual siento mucha vece sociedad subestima part adulto capacidad consentir menor entonc inconceb realidad pued cierto caso,-1.0
10,fN48ESWAa_g,UCWFOhuosc1huybaUUcNZBTQ,"Éstas bestias poco a poco se han ido introduciendo,  no lo permitan padres de familia, éso es aberrante!!los niños no necesitan sexo , que los dejen vivir su niñez en paz y sin malicia  🤮😖no cabe duda que ya estamos en los últimos tiempos . Cristo viene pronto!arrepientanse! y conviertanse a Dios,para que sean borrados sus pecados y venga de la presencia del Señor tiempos de refrigerio",[0. 0. 0. ... 0. 0. 0.],sta bestia introduciendo permitan padr familia aberrant necesitan sexo dejen vivir malicia cabe duda ltimo tiempo cristo vien pronto arrepientans conviertans dio borrado pecado venga presencia tiempo refrigerio,-1.0
11,fN48ESWAa_g,UC_5IBs8-51W_W-cBeLRG-AQ,"Cuando no, tenía que ser España. . .
Quien sin no *Irene Montero* para legalizar las fantasías de unos TRANStornados",[0. 0. 0. ... 0. 0. 0.],espa iren montero legalizar fanta transtornado,-1.0
15,fN48ESWAa_g,UCbVsxlNLu2GVnSXkp1Tqy9Q,Está enferma esa persona. Es increíble que esté secundada por algunos gremios.,[0. 0. 0. ... 0. 0. 0.],enferma persona incr secundada gremio,-1.0
16,fN48ESWAa_g,UC90xCefM5MOeD19EfNJhM1w,La odio que le pasa,[0. 0. 0. ... 0. 0. 0.],odio pasa,-1.0
20,PmgbmeGMRRw,UCNJNfs-u1G-dQ3qpx9R0nRQ,"Aconsejo leer al filósofo ateo y anarquista, Michel Onfray, quien habla de la idea actual de género como parte de la estrategia de las élites para propagar su totalitarismo",[0. 0. 0. ... 0. 0. 0.],aconsejo leer sofo ateo anarquista michel onfray habla idea actual nero part estrategia lite propagar totalitarismo,-1.0
21,PmgbmeGMRRw,UCANmEJUxBjDPdvm82oOjftA,Verdades a medias? Que raro,[0. 0. 0. ... 0. 0. 0.],verdad media raro,-1.0
