,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,targeted,aggresive
0,1,T-smnnEAdM0,UC6o_ckmEk87f7TiViatW11w,No a la ANMISTIA y no AL PERDONA LA DEUDA DE CATALUÑA que sirve para  LOS SEPARATISTAS E INDEPENDENTISTAS V NACIONALISTAS  PARA LA DESTRUCCIÓN DE ESPAÑA A TRAVÉS DEL CÓDIGO PENAL,[0. 0. 0. ... 0. 0. 0.],anmistia perdona deuda catalu sirv separatista independentista nacionalista destrucci espa trav digo penal,-1.0,0.04803997650742531,0.019220048561692238,0.04616828262805939
1,2,T-smnnEAdM0,UCCXQ_BAzI-GcXgDUwN4XiXQ,"Que no te enteras,Contreras
Que se la trae floja,que es un asunto interno español.Dejad de patalear,y berrear.Que cansinos.Cuando la amnistía fiscal,os pareció bien,fachosos,y un rey mangante,patriota,yAznar y su guerrita,tanbien,y el CSPJ,y M.Rajoy,y la matayayos,y el Zendal,y Bárcenas,Y doña Finiquito.Que grandes patriotas,como se os ve el plumero.",[0. 0. 0. ... 0. 0. 0.],entera contrera trae floja asunto interno espa dejad patalear berrear cansino amnist fiscal pareci bien fachoso mangant patriota yaznar guerrita tanbien cspj rajoy matayayo zendal rcena finiquito grand patriota plumero,-1.0,0.11671841144561768,0.058914098888635635,0.11158988624811172
2,3,T-smnnEAdM0,UCB4dg7xkDRLpW561xlwNnyw,"¿Como puede ser impecable?, si hasta hace poco todos los bocachanclas y palanganeros del FELON no han parado de decir lo inconstitucional que era. Se pueden reír de sus queridas madres. Que agggggko con el rojerio kutreril progresistoide fachoso rancio y maloliente. Golpe de estado lo que están haciendo",[0. 0. 0. ... 0. 0. 0.],pued impec hace bocachancla palanganero felon parado decir inconstitucion pueden querida madr agggggko rojerio kutreril progresistoid fachoso rancio malolient golp haciendo,-1.0,0.01645098440349102,0.02328866347670555,0.02869490161538124
3,4,T-smnnEAdM0,UCFc7zfxN235QsmGBJ-GsUcA,"Osea que cuando gobierna el PP nos roba y mete en guerras y aqui no pasa nada ?
Pero cuando gobierna el Psoe que  nos libra de los corruptos del PP y sube los sueldos de trabajo  entonces España se rompe y todo es una caos 
Hay que ser hipocritas y ciegos majaderos",[0. 0. 0. ... 0. 0. 0.],osea gobierna roba mete guerra aqui pasa gobierna psoe libra corrupto sube sueldo trabajo entonc espa romp cao hipocrita ciego majadero,-1.0,0.09435367584228516,0.02370610274374485,0.07633573561906815
4,6,T-smnnEAdM0,UC_BfqtBXYac3FDWJN72Sd_g,"Europa SOS
Sánchez= Maduro",[0. 0. 0. ... 0. 0. 0.],europa nchez maduro,-1.0,0.0887536108493805,0.018080702051520348,0.04780883342027664
5,8,T-smnnEAdM0,UCOWww_tqv6stb28jenRKzbQ,"Sanchez acabará con todo el poder, que es de todos los españoles, sin ninguna decencia ni pudor, se rie en nuestra cara, con risa insultante",[0. 0. 0. ... 0. 0. 0.],sanchez acabar poder espa ole ninguna decencia pudor cara risa insultant,-1.0,0.017247989773750305,0.02111886627972126,0.02070733904838562
6,15,T-smnnEAdM0,UCPjwqx0ItKbTgQnsW65uBGA,"LA U E Q, KNVESTIGUE DONDE A IDO TODO EL DINERO Q, AN MANDAO  , , PORQ.  ALOS ESPAÑOLES NOOO LEA A LLEGAO NI UN EUGO Y NO TENEMIZ PORQ. PAGAR ESA DEUDA Q. SN CREAO ESTOS VIVIDORES.  NI NUESTROS HIJOS NI NIETOS ,  DEJEN DE MABDARLE DINERO.  SOLO  CREAN MAS DEUDA AL PUEBLO.  Q, NO VE NUNCA EL DINERO Q. MSBDSN.  NI.  LA U,E CONTROLA ,    MIREN DEL MANDATO DE SANCHEZ DONDE FUE EL  DINERO H NOOO  MANDE. MAS  S3 LO QUEDA EL H SU BANDA DE DELINCUENTES , Q, TIEBE EN GOBIERNO ,  CON EL.      COMO.  ETA. GOLPISTAS. SEPARATISTAS Y NARCOCHAVISTAS.",[0. 0. 0. ... 0. 0. 0.],knvestigu dinero mandao porq alo espa ole nooo llegao eugo tenemiz porq pagar deuda creao vividor hijo nieto dejen mabdarl dinero solo crean deuda pueblo nunca dinero msbdsn controla miren mandato sanchez dinero nooo mand queda banda delincuent tieb gobierno golpista separatista narcochavista,-1.0,0.21591316163539886,0.01781613379716873,0.1901320517063141
7,16,T-smnnEAdM0,UCPjwqx0ItKbTgQnsW65uBGA,"Y LA.  U, , E SE FIA DE SANCHEZ Y SU BANDA DE DELINCUENTES , ?",[0. 0. 0. ... 0. 0. 0.],sanchez banda delincuent,-1.0,0.0905233696103096,0.06859710812568665,0.07627058774232864
8,20,0HVzuoDgkkY,UCpgQrqFbstUTTYNKtTfOlmw,"Caramba, mira quien habla: el terrorista Mr X, amigo de Pinochet y de la extrema derecha!",[0. 0. 0. ... 0. 0. 0.],caramba mira habla terrorista amigo pinochet extrema derecha,-1.0,0.071903295814991,0.04801397770643234,0.06686050444841385
9,26,0HVzuoDgkkY,UCBFQRJRtLW3RiIj7MO_2W4A,El Sr. González debe pedir perdón por subirse a la carroza de oro que le han puesto para que blasfeme a cuatro vientos.,[0. 0. 0. ... 0. 0. 0.],gonz debe pedir perd subirs carroza puesto blasfem cuatro viento,-1.0,0.020430972799658775,0.01578403450548649,0.013300136663019657
