,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,targeted,aggresive
0,0,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Todos los de la monarquia són únos vividores! Estan allí por el dinerito y la buena vida,[0. 0. 0. ... 0. 0. 0.],monarquia vividor estan dinerito buena vida,-1.0,0.10584627836942673,0.024682216346263885,0.10021156817674637
1,1,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Sabeis porque el viejo se fue de españa? Porque tenia miedo de que lo mataran. Su esposa.,[0. 0. 0. ... 0. 0. 0.],sabei viejo espa tenia miedo mataran esposa,-1.0,0.038351815193891525,0.018778318539261818,0.026259323582053185
2,4,WdtyLi2wBDs,UCgW7xHsCcD7fCUpo0g0OkeA,La mayoría que son republicanos la verdad es por que estan de moda o seo piensan,[0. 0. 0. ... 0. 0. 0.],mayor republicano verdad estan moda piensan,-1.0,0.10056296736001968,0.008014654740691185,0.038865312933921814
3,9,WdtyLi2wBDs,UCiC-gMBBwMTooB6QDiMzn8Q,"Increíble!!, por esto China y varios paises asiáticos estan mucho mas avanzados que el decadente occidente",[0. 0. 0. ... 0. 0. 0.],incr china vario pais tico estan avanzado decadent occident,-1.0,0.21848200261592865,0.009149767458438873,0.07375632971525192
4,11,WdtyLi2wBDs,UChxpI5Pa84TgzAeOAV9KXuw,"Sánchez a conseguido desprestigiar a la corona y Felipe ( no le llamo Rey por no tener lo que hay que tener ) lo que tiene que hacer como institución,  es posicionarse . De él depende quedarse solo y si calla para mi sería un TRAIDOR OPORTUNISTA POR SEGUIR UN TIEMPITO MAS EN ZARZUELA",[0. 0. 0. ... 0. 0. 0.],nchez conseguido desprestigiar corona felip llamo tener tener hacer instituci posicionars depend quedars solo calla traidor oportunista seguir tiempito zarzuela,-1.0,0.00929742120206356,0.011362575925886631,0.013220961205661297
5,17,WdtyLi2wBDs,UC9lTKxXXhj74pvt_VOAWfVQ,"Si da un golpe encima de la mesa y nos libra del tirano y su caterva de sarnosos , seguiré siendo monárquico. De lo contrario, ya puede ir desfilando a Londres, con sus amigos masones",[0. 0. 0. ... 0. 0. 0.],golp encima mesa libra tirano caterva sarnoso seguir siendo rquico contrario pued desfilando londr amigo mason,-1.0,0.06976247578859329,0.025467365980148315,0.07983121275901794
6,18,WdtyLi2wBDs,UCLfdkZk4Px0t8UMj2gGo2WQ,Y no estoy aa favor de la republica. Simplemente estoy de parte del progreso y si una sociedad no se vale por si misma sin necessidad de ser gobernado por nadie. Es una sociedad condenada,[0. 0. 0. ... 0. 0. 0.],favor republica simplement part progreso sociedad vale misma necessidad gobernado nadi sociedad condenada,-1.0,0.05618192255496979,0.0071828230284154415,0.023479439318180084
7,20,4i2m9Z47ETc,UCz6C2VCUGK90FxX82MBrEpQ,Lo que demuestra la encuesta es la ignorancia más absoluta de la entrevistadora y de la mayoria de los entrevistados.,[0. 0. 0. ... 0. 0. 0.],demuestra encuesta ignorancia absoluta entrevistadora mayoria entrevistado,-1.0,0.031032536178827286,0.014373010955750942,0.016825633123517036
8,24,4i2m9Z47ETc,UCBud1913ER992wNpIjcgB5A,"ese sueldo no se lo cree nadie..

La monarquia es una estupidez cuando sabemos que en el mundo juzgamos a dictadores pero estos monarcas son peores, son VIVIDORES.. TODOS en todos los paises con monarquia..",[0. 0. 0. ... 0. 0. 0.],sueldo cree nadi monarquia estupidez sabemo mundo juzgamo dictador monarca peor vividor pais monarquia,-1.0,0.10273328423500061,0.008849403820931911,0.05221683531999588
9,27,4i2m9Z47ETc,UCFTuN-H2mYi-aXqQ0bHrzrQ,"🤣🤣🤣 siempre igual. Todos muy de izquierdas cuando somos jóvenes, para ponernos medallitas de buena persona y tal. Luego creces y vas viendo cómo la izquierda miente y arruina, y ya no eres tan de izquierdas. Una dice que no quiere pagar a gente que no haga nada 🤣, piensa en monarquía y se olvida de los miles de políticos en España. Al menos la familia real es una sola familia a la que mantener. Otra encuesta amañada de, por, y para charos",[0. 0. 0. ... 0. 0. 0.],siempr igual izquierda vene ponerno medallita buena persona luego crece viendo izquierda mient arruina izquierda dice quier pagar gent haga piensa monarqu olvida mile tico espa meno familia real sola familia manten encuesta charo,-1.0,0.12711425125598907,0.021434979513287544,0.06500573456287384
