,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,targeted,aggresive
0,0,a7it63FFDYQ,UCCxYKcRLEbe6EusqL5OQBfg,Gracias!! Yo sufri una denuncia falsa!! :( Es lo más traumatico que he pasado...,[0. 0. 0. ... 0. 0. 0.],gracia sufri denuncia falsa traumatico pasado,-1.0,0.015386370941996574,0.015948649495840073,0.013035492971539497
1,2,a7it63FFDYQ,UCmQhCCXFJv-UoJRrodVx_SA,"La violencia no tiene género, viva España viva vox, extrema necesidad.",[0. 0. 0. ... 0. 0. 0.],violencia nero viva espa viva extrema necesidad,-1.0,0.031034013256430626,0.013024596497416496,0.022953590378165245
2,3,a7it63FFDYQ,UCTYWAaYoawlQZidmzUeQDQw,"Gracias por decir las cosas tal cual son, faltan personas con sentido común que expliquen las cosas como realmente son por muy simples que parezcan, ya que el interés por manipular es enorme. 
Vivimos tiempos donde la información tiene demasiado peso en las conciencias de las personas y esto que haces es realmente necesario.
Tienes un seguidor más, puesto que me siento cada vez más sensibilizado por este tema después de conocer muchos casos de HOMBRES AFECTADOS, más que de mujeres maltratadas.",[0. 0. 0. ... 0. 0. 0.],gracia decir cosa faltan persona expliquen cosa realment simpl parezcan inter manipular enorm vivimo tiempo informaci demasiado peso conciencia persona hace realment necesario seguidor puesto siento cada sensibilizado tema despu conoc caso hombr afectado mujer maltratada,-1.0,0.028814781457185745,0.006495416630059481,0.01664220727980137
3,4,a7it63FFDYQ,UCKSkZ-UBv7IDny45Er0JEPQ,"Hola ,quisiera de tu consejo, mi hermana vive una situación  aterradora con su pareja, ellos llevan 18 años juntos ella tiene 32 años, puedo describir a esa persona como narcisista,  y lo peor es que ella ya se acercó a las autoridades y como el conoce a muchas personas en el gobierno su denuncia nunca procede, ella vive con miedo y ya no sabe que hacer...lo ha intentado dejar en varias ocasiones pero regresa siendo amenazada , tiene 3 hijos y los tiene tan entrenados a ellos que los pone en contra de su mamá, él se dedica a cosas malas pero paga a la autoridades 😢que podemos hacer😢",[0. 0. 0. ... 0. 0. 0.],hola quisiera consejo hermana vive situaci aterradora pareja llevan junto puedo describir persona narcisista peor acerc autoridad conoc mucha persona gobierno denuncia nunca proced vive miedo sabe hacer intentado dejar varia ocasion regresa siendo amenazada hijo entrenado pone dedica cosa mala paga autoridad podemo hacer,-1.0,0.11479026079177856,0.006909470073878765,0.03962092846632004
4,10,a7it63FFDYQ,UCQ-c5nA_h5mnnelNWeRwQJQ,BONITA LA VIOLENCIA ES VIOLENCIA Y NO MAREEMOS LA PERDIZ!YA QUE HAY VIOLENCIA FEMINISTA!USTED DE FORMA VERBAL!EL PRESIDENTE!IK? VIOLENCIA A SECAS!,[0. 0. 0. ... 0. 0. 0.],bonita violencia violencia mareemo perdiz violencia feminista ust forma verbal president violencia seca,-1.0,0.38213372230529785,0.04702097550034523,0.12889862060546875
5,13,a7it63FFDYQ,UCzbxcSqDcTw3YXHxTwTMETQ,El riesgo de que pase por violencia machista un caso de violencia de un hombre contra una mujer que no lo sea con respecto al riesgo de que se invisibilice la violencia machista diluida en un magma de diarrea mental facha es totalmente asumible por una sociedad moderna. Ojalá todo en política contemplara todas las casuísticas y matices pero es imposible.,[0. 0. 0. ... 0. 0. 0.],riesgo pase violencia machista caso violencia hombr mujer respecto riesgo invisibilic violencia machista diluida magma diarrea mental facha totalment asum sociedad moderna ojal tica contemplara toda casu stica matic impos,-1.0,0.04332584887742996,0.014516671188175678,0.02653862163424492
6,15,a7it63FFDYQ,UCxP_R6FR_MxerEMXzMZQeRg,a min non me afecta e son home ti muchacha andas polo mundo cos ollos pechados,[0. 0. 0. ... 0. 0. 0.],afecta home muchacha anda polo mundo ollo pechado,-1.0,0.579955518245697,0.4626903831958771,0.3358939588069916
7,17,a7it63FFDYQ,UCpzHJbC_3tm581CQsTJKiXg,"Hace tiempo hubo aquí un asesinato de una mujer a su novio con cuchillo en media calle, los medios no lo sacaron, pero como no había pasado nada al revés en esos días, pusieron ""asesinatos machistas"" de otros países, así estamos.",[0. 0. 0. ... 0. 0. 0.],hace tiempo asesinato mujer novio cuchillo media call medio sacaron pasado pusieron asesinato machista,-1.0,0.039245668798685074,0.009053646586835384,0.014238284900784492
8,19,a7it63FFDYQ,UCLZvQcCX3zZpug5KfyO9ssw,"Bastante de acuerdo contigo, Andrea. Y además sé que sabes..[tal y como la gran mayoría sabemos] que a quienes comentan verdades sobre quienes SON los que provocan la mayoría de esos crímenes machistas y también violaciones son...""Hasta aquí puedo leer""..sin que se nos digan las dos típicas frases: RAyXE. ¿Por qué no hay transparencia en todo ésto? Muchos de ellos con sus ideas políticas.. fomentan éstas incomprensibles actuaciones ,y por ello..lo que hacen UNOS CUANTOS.. recae sobre los hombres y las mujeres de todo el país..aun a sabiendas que los naturales del país, es decir, de varias generaciones..somos [por lo general] pacíficos y respetuosos con todas las personas..pero lo SUFRIMOS..porque esa violencia tan acentuada y tan patente desde hace unos 10/15 años hasta ahora contra nuestras mujeres, hijas y nietas y hermanas las SUFRIMOS SOBREMANERA.",[0. 0. 0. ... 0. 0. 0.],bastant acuerdo contigo andrea adem sabe gran mayor sabemo comentan verdad provocan mayor mene machista tambi violacion puedo leer digan pica frase rayx transparencia idea tica fomentan sta incomprens actuacion ello hacen cuanto reca hombr mujer sabienda natural decir varia generacion gener fico respetuoso toda persona sufrimo violencia acentuada patent hace ahora mujer hija nieta hermana sufrimo sobremanera,-1.0,0.10475460439920425,0.010847419500350952,0.03356897830963135
9,20,i_t19HsTKZo,UC2DUA0HJSKdCnVlIPm3vKUg,"Bravo Abascal, toda la razón. Ya basta de criminalizar a los hombres",[0. 0. 0. ... 0. 0. 0.],bravo abasc toda basta criminalizar hombr,-1.0,0.017465757206082344,0.011083485558629036,0.014572885818779469
