,video_id,author,comment
0,AsMZK3aGFHs,UCdKDIaqBUVeHnZPu_ZxLhSw,"No me lo puedo creer . De verdad España le ha cedido el islote de perejil a Marruecos??????? Cómo, dónde , y  Por quéeeeeeee?????"
1,AsMZK3aGFHs,UCPkFakCcbBKkwOXOxZM6s0g,Si... pero entre unos y otros ya se han encargado de destruirlo todo!! La verdad es que el ser humano es conflictivo complicado!!
2,AsMZK3aGFHs,UCzQxKrGJNxaPv46W9qWIeBA,Tabarca te ha faltado
3,AsMZK3aGFHs,UC4DFxGYtyWZnWwAopqTU2LA,El motivo fue que el asesino franco estaba muy ocupado robando en España.
4,AsMZK3aGFHs,UCEMTJtx6dRCBbsRo0BC0aNg,"Yo e tenido una duda 
Porque España no es una super potencia mas fuerte que Estados Unidos después dr tanto robo y saqueo de oro y otros minerales a América latina"
5,AsMZK3aGFHs,UCGAXEDOzI7c2QaAeLLpNRbg,Si son de España son territorio de España. Con lo cual no están fuera de España. Lo que hay que escuchar.😂
6,AsMZK3aGFHs,UCBa0PWeslUmIAsly31x9aZA,"Muito bem , a Espanha é um país muito lindo que eu gosto muito . Mas é bom que todos os espanhois o saibam , que a Espanha ocupa o território de Olivença que é português. Sim Olivença é território português administrado pela Espanha roubado a Portugal pela força das armas em 1801 , e pelo Tratado de Viena de 1815 a Espanha assinou este tratado em 1817  reconheceu o território de Olivença como território português e se comprometeu a devolver Olivença a Portugal o mais rápido que possivel, e até hoje continuamos esperando . Porque a Espanha não cumpre  não respeita os acordos internacionais. Uma situação triste entre dois países irmãos. Com praticamente a mesma história e mesma cultura ."
7,AsMZK3aGFHs,UCUZjUVCirOuIvVxYFN7p85Q,Eres pro maruecos bete de YouTuber. 😡nadie teciere. Tepagan pordesir bueno ymalo delos payses
8,AsMZK3aGFHs,UCGBHQoXnfajtCM1WHIhxTzg,''Provincia de Gerona''
9,AsMZK3aGFHs,UClazeL67GVCAtIneKf9lk4A,-Latino- sudamerica
10,AsMZK3aGFHs,UCIGmrIv2ZNY98fs3Terwsvg,YO PIENSO QUE INJUSTA MENTE MARRUECOS 🇲🇦 QUIERE TODO LO QUE ES NUESTRO 😮‍💨🤷‍♂️🇪🇦👉❤️🙎‍♀️❤️🙎‍♀️❤️🙎‍♀️❤️😮‍💨🤷‍♂️🇪🇦
11,AsMZK3aGFHs,UCTYseoOcMf3qCK_BkOLglbA,Gerona si Girona no
12,AsMZK3aGFHs,UCYQEJZHxPu_9ufSem-2rLAQ,Peticion: ¿Puedes hacer un video hablando del principado de sealand?
13,AsMZK3aGFHs,UCYk3F39lL5sfKVHXVZ1ZfdA,"De risa esos territorios, España manteniendo piedras y llamandolos territorios"
14,AsMZK3aGFHs,UCYOxt88xolaNYtA03vS_zng,"La isla de Alboranno esta a 90kmdela cosra esñañola, esta a 0km, bueno el. centro de la isla no, esa se aleja de la costa no se cuanto, pero seguro que no tanto como Madrid, Cuenca o Lleida. Y en realidad es el tema del video, qud no solo es la peninsula, ni toda la peninsula"
15,AsMZK3aGFHs,UCjyiEpwQWOt2kWzQ5ZX9Wng,"Yo he estado 2 quincenas en la isla de alboran,  en noviembre de 2001 y febrero de 2003. Comisionado cuando era militar. Como dato curioso, en mi segunda visita me terminé de leer el señor de los anillos."
16,AsMZK3aGFHs,UCQQPt0q6eziX6_1IgdTr4jQ,Todos territorios
17,AsMZK3aGFHs,UCl0hD35Au6px5TzunIIxL0g,That is NOT nothing……….Gypsy Spain is weak……..with a Macarena dancing cowardly Gypsy Spanish army………and yet Gibraltar is still British 🇬🇧 which Spain. Has try numerous times to retake it and yet failed 😂😂😂😂😂😂😂😂😂evert rime they try to siege Gibraltar……..these Gypsy Spaniards were always surrendering to their British 🇬🇧 GODZ
18,AsMZK3aGFHs,UCgis5MTYBpYQ6jezH45TYWQ,"Me da risa, como los espanoles consideran que no hay duda de que ceuta y melilla son espanolas, pero si les preguntas sobre Gibraltar, no hay manera de que haya un exclave britanico en territorio espanol"
19,AsMZK3aGFHs,UCwh9i0Oy9eizhXcWfphJ82g,nunca viaje a alguno de esos territorios pero en un futuro me gustaria viajar a las Islas Cies ;)
20,3FFOxhBSYAs,UCcsTtlbw_QfEn9Tms_x6YTg,"Las palabras son importantes y el titular marca el contenido. Si ustedes dicen que pertenecen a España, como si fueran un objeto, y no dicen SON España, dejan claro sesgo y no merece por mi parte escuchar más por más que me lo digan los ingleses con presentedores hispanoamericanos.👎
  ¿Porqué las islas del Canal de La Mancha ( English Channel) pertenecen a Reino Unido? Ese titular no lo leerán en BBC."
21,3FFOxhBSYAs,UC4MFpsxnGINktmU_-KxmmFA,"Por reclamar pueden reclamar lo que les venga en gana, otra cosa es que tengan una base histórica real y/o que lo consigan. También reclaman las Islas Canarias (sin base alguna, solo la cercanía), todo el Sáhara Occidental (casi sin base alguna, quitando algunos documentos firmados entre algunas tribus concretas en x momento con el sultán de Marruecos, pero vamos apenas tienen base legal para reclamarlo y ahí los tienes ocupando ya casi todo el territorio) y así podemos seguir, pues tienen también litigios fronterizos con otros Estados como Mauritania y Argelia. Si entramos en ese juego de reclamar, por reclamar, España podría reclamar cerca de 20 millones de km2, la superficie de Rusia aproximadamente. P.D. Espero un vídeo similar, sobre las colonias de los EEUU, Holanda, Reino Unido, Francia y otros más, repartidos por todo el mundo (cada Estado con el respectivo vídeo sobre sus colonias). Cosa que por cierto Ceuta y Melilla no lo son, pues España no tiene colonia alguna. Un saludo."
22,3FFOxhBSYAs,UCPzBFUQfcT-d2Yewue3Kd-g,Marruecos es uno de los paises mas antiguos del mundo como dices que ceuta y melilla eran españolas antes de q existiera marruecos
23,3FFOxhBSYAs,UCbESAkTAuJFSIhWrhiLL3dw,Las dos últimas colonias en África.
24,3FFOxhBSYAs,UCZkznxpgs3-YvHKuGHWG3ag,"Ah es que Marruecos,  no es dueño de esos territorios , yo pensaba que los habían colonizado los españoles siglos atrás  a Marruecos,  entonces cabe el refrán que dice  LO QUE NO FUE EN SU AÑO , NO FUE EN  TU DAÑO MARRUECOS."
25,3FFOxhBSYAs,UCj8aIGjKH5cOoyi0VprqPbw,Somos No es árabes marroquín es barber amazigh hablamos darija árabe entonces marroquin original amazigh
26,3FFOxhBSYAs,UCGx9tqxk2GYxdyFTMoFwQbQ,"Marruecos no existía cuando España adquirió Ceuta y Melilla hace 500 años, por ende no puede reclamarlos como suyos, FIN."
27,3FFOxhBSYAs,UChTb1FtVeaJIsebShJvghkw,"España es un país transcontinental como Rusia, Turquía, Francia y tantos otros. Ceuta y Melilla no “pertenecen” a España, son España como Soria, Ibiza o El Hierro. Los periodistas jugando con las palabras para tergiversar la historia."
28,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,"Robo con derecho, la ley de la jungla  por eso España tiene que jogar la copa de África"
29,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,Ahora tiendo dónde viene la problema de los ocupás ...de la cultura de los rateros peratas Ceuta Melilla 7:15
30,3FFOxhBSYAs,UCSH6sycmNLnFPm3XHF9e17g,"Migrantes no, inmigrantes. Solo migran las aves."
31,3FFOxhBSYAs,UCIGmrIv2ZNY98fs3Terwsvg,ceuta y melilla son dos ciudades.                      españolas 👍🇪🇦❤️ desde hace unos setecientos años 🤷‍♂️❤️🇪🇦👍
32,3FFOxhBSYAs,UCQ2t--a1pDSnLiuROQ9X-DA,No confundir marruecos con el rif y con el sahara😂.
33,3FFOxhBSYAs,UCk_jPDNmD3xE25lPvSuL8ow,"Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos

Además por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio."
34,3FFOxhBSYAs,UCqknzZkWvD4hmpqnEVc4PjQ,"Aprendí algo nuevo, gracias, saludos desde Chile 🇨🇱"
35,3FFOxhBSYAs,UCX2Ge2kfQotFtX5gP0WC1Vw,Deberian conquistar canarias esta en el sur de marruecos
36,3FFOxhBSYAs,UC9Du-by9TVNs3mfi4WkzhOw,"España desde la época de los romanos estaba una parte en europa y otra en África. La de África era casi igual de grande que la de la península y llegaba hasta los Montes Atlas. Eso fue así hasta final  el siglo XIX, y parte reconquistados por franco y regalados por el régimen del 78, como paso con el sahara."
37,3FFOxhBSYAs,UCWGRx7wYhYC1S2RqFZTM5kQ,"A ver si os hacéis la misma pregunta con todas las colonias de Inglaterra, en especial me interesa Gibraltar..."
38,3FFOxhBSYAs,UCm8OWz9JxMrhwnVA3vSFCDg,Tengamos en cuenta que la relación entre la península y Ceuta es bastante anterior a la conquista de ésta por parte de Portugal. El conde Don Julián fue parte implicada en la caída del reino visigodo a manos de los musulmanes.
39,3FFOxhBSYAs,UCbO-TAoO9tsFn3hpc-T3ASw,"A los de las pateras que los echen a todos a todos, !!! Estamos hartos de tanto aprovechado , por que no se quedan en marruecos, que les va muy bien !!!"
40,ik1H9JEL4FY,UC-on7XTs6jTT3ESosMOtAdQ,Muy buen tema. Pero no se entiende lo que dice porque se acelera y su lengua le falla. No se entiende bien.
41,ik1H9JEL4FY,UCvuNRPY3y43YaZvIYnpup8Q,Mi país empaña
42,ik1H9JEL4FY,UCNBcNNfdIpv9vWgpRumxGsA,¿ Y no se les ocurrió negociar un corredor para Llivia ?
43,ik1H9JEL4FY,UC0NJxGPEF9hZZXXwiItopIg,😅
44,ik1H9JEL4FY,UCURmvZTbqOJVLAgiZC61iyw,Pero cuantos territorios tiene españa en otros paises😅😅😅
45,ik1H9JEL4FY,UCU9KSE1TAoz4gJTwfwMHJCg,Si fuera por España no existirá Cataluña a sin que Llovía existe gracias a los Catalanes
46,ik1H9JEL4FY,UCm8DdE7POPGmpety36UpBUA,Un que?
47,ik1H9JEL4FY,UCdfJoNuI3mkx1ekBoFeHDBA,La bandera de Llivia se parece a la de Puerto Rico
48,ik1H9JEL4FY,UCmveYasWVwRGY18BiCFL4SQ,"¡Devuélvanlo a España, rufianes!"
49,ik1H9JEL4FY,UCMeU21D66yYL_ZlI-QDU-Cg,Que mamadas mejor un bolado a ver quien se queda con ella y listo se quitan de tonterias
50,ik1H9JEL4FY,UC3H9zBiMoyWYkPPe3oahPYg,Qué loco la cantidad de guerras por territorio que hubo es Europa. Se deben odiar entre ellos
51,ik1H9JEL4FY,UCucqhhW2yOVSYPEC5FAXYFA,Esa isla es literalmente el hijo de una areja divorciada
52,ik1H9JEL4FY,UCEuR2VOk4dJ_CGTrLoYceGg,🌱🌿☘️🍀🇵🇪🍀☘️🌿🌱
53,ik1H9JEL4FY,UC86cy2YtoqUvpyW-W6-SpCw,España ni existía en el 1659.
54,ik1H9JEL4FY,UCPbKvmojMHr9B8iL3kMZkZg,😮... Jdr! También le robaron territorio como a México 😢
55,ik1H9JEL4FY,UC78qIDPqrVdrCEJaJw0Qrlg,Gracias a Dios que Sánchez no les a puesto el ojo sino ya los hubiera regalado a los gabachos
56,ik1H9JEL4FY,UCXPndI6UtEXNFzHf2kgejsQ,En resumen España nunca supo defender nada y siempre perdio territorios..
57,ik1H9JEL4FY,UCwJqc8VvHZ-pkqwhQyDbe2g,Ciudadano de la isla: oh vaya mañana soy francés XD jajaja
58,ik1H9JEL4FY,UC1aKNSjaDd7Ddz8Pn5EFbCQ,En ese año no existía España como nación
59,ik1H9JEL4FY,UCG9eGnjeazhv_tx_cqZdj0Q,"Like si apareció tu casa 🤣

👇"
60,BUbXwUbarNI,UCvNEi37pV6ld8qf6sJGNkEw,Se te olvido alaska los primers en llegar fueron los espanoles yfundaron muchas vases como valdes malaespina Cordova inclusion veto fue fundado por los espanoles
61,BUbXwUbarNI,UCWwTVz_MYcB0LHEcns8YafQ,"Que no lo hablen , no los quiero en mi cultura . Viva México y el idioma español."
62,BUbXwUbarNI,UCXwA32mB9P2Azg7BaYU_Ggw,LO IMPORTANTE ES QUE BRASIL NO DEBERIA ESTAR EXISTIR
