,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
0,AsMZK3aGFHs,UCdKDIaqBUVeHnZPu_ZxLhSw,"No me lo puedo creer . De verdad España le ha cedido el islote de perejil a Marruecos??????? Cómo, dónde , y  Por quéeeeeeee?????",[0. 0. 0. ... 0. 0. 0.],puedo creer verdad espa cedido islot perejil marrueco eeeeeee,-1.0
1,AsMZK3aGFHs,UCPkFakCcbBKkwOXOxZM6s0g,Si... pero entre unos y otros ya se han encargado de destruirlo todo!! La verdad es que el ser humano es conflictivo complicado!!,[0. 0. 0. ... 0. 0. 0.],encargado destruirlo verdad humano conflictivo complicado,-1.0
3,AsMZK3aGFHs,UC4DFxGYtyWZnWwAopqTU2LA,El motivo fue que el asesino franco estaba muy ocupado robando en España.,[0. 0. 0. ... 0. 0. 0.],motivo asesino franco ocupado robando espa,-1.0
4,AsMZK3aGFHs,UCEMTJtx6dRCBbsRo0BC0aNg,"Yo e tenido una duda 
Porque España no es una super potencia mas fuerte que Estados Unidos después dr tanto robo y saqueo de oro y otros minerales a América latina",[0. 0. 0. ... 0. 0. 0.],duda espa super potencia fuert unido despu robo saqueo mineral rica latina,-1.0
6,AsMZK3aGFHs,UCBa0PWeslUmIAsly31x9aZA,"Muito bem , a Espanha é um país muito lindo que eu gosto muito . Mas é bom que todos os espanhois o saibam , que a Espanha ocupa o território de Olivença que é português. Sim Olivença é território português administrado pela Espanha roubado a Portugal pela força das armas em 1801 , e pelo Tratado de Viena de 1815 a Espanha assinou este tratado em 1817  reconheceu o território de Olivença como território português e se comprometeu a devolver Olivença a Portugal o mais rápido que possivel, e até hoje continuamos esperando . Porque a Espanha não cumpre  não respeita os acordos internacionais. Uma situação triste entre dois países irmãos. Com praticamente a mesma história e mesma cultura .",[0. 0. 0. ... 0. 0. 0.],muito espanha muito lindo gosto muito espanhoi saibam espanha ocupa territ oliven portugu oliven territ portugu administrado pela espanha roubado portug pela arma pelo tratado viena espanha assin tratado reconheceu territ oliven territ portugu comprometeu devolv oliven portug mai pido possivel hoje continuamo esperando espanha cumpr respeita acordo internacionai situa trist doi praticament mesma hist mesma cultura,-1.0
7,AsMZK3aGFHs,UCUZjUVCirOuIvVxYFN7p85Q,Eres pro maruecos bete de YouTuber. 😡nadie teciere. Tepagan pordesir bueno ymalo delos payses,[0. 0. 0. ... 0. 0. 0.],marueco bete youtub nadi tecier tepagan pordesir bueno ymalo delo pays,-1.0
17,AsMZK3aGFHs,UCl0hD35Au6px5TzunIIxL0g,That is NOT nothing……….Gypsy Spain is weak……..with a Macarena dancing cowardly Gypsy Spanish army………and yet Gibraltar is still British 🇬🇧 which Spain. Has try numerous times to retake it and yet failed 😂😂😂😂😂😂😂😂😂evert rime they try to siege Gibraltar……..these Gypsy Spaniards were always surrendering to their British 🇬🇧 GODZ,[0. 0. 0. ... 0. 0. 0.],that noth gypsi spain weak with macarena danc cowardli gypsi spanish armi gibraltar still british which spain numer time retak fail evert rime they sieg gibraltar these gypsi spaniard were alway surrend their british godz,-1.0
27,3FFOxhBSYAs,UChTb1FtVeaJIsebShJvghkw,"España es un país transcontinental como Rusia, Turquía, Francia y tantos otros. Ceuta y Melilla no “pertenecen” a España, son España como Soria, Ibiza o El Hierro. Los periodistas jugando con las palabras para tergiversar la historia.",[0. 0. 0. ... 0. 0. 0.],espa transcontinent rusia turqu francia tanto ceuta melilla pertenecen espa espa soria ibiza hierro periodista jugando palabra tergiversar historia,-1.0
29,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,Ahora tiendo dónde viene la problema de los ocupás ...de la cultura de los rateros peratas Ceuta Melilla 7:15,[0. 0. 0. ... 0. 0. 0.],ahora tiendo vien problema ocup cultura ratero perata ceuta melilla,-1.0
33,3FFOxhBSYAs,UCk_jPDNmD3xE25lPvSuL8ow,"Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos

Además por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio.",[0. 0. 0. ... 0. 0. 0.],vaya siglo siglo colonialista rabe mico adem posici geogr fica principal tima mundo futuro ceuta melilla depend depend marrueco sido siempr largo historia mismo espa ola pese cipayo hispanoamericano servicio,-1.0
44,ik1H9JEL4FY,UCURmvZTbqOJVLAgiZC61iyw,Pero cuantos territorios tiene españa en otros paises😅😅😅,[0. 0. 0. ... 0. 0. 0.],cuanto territorio espa pais,-1.0
48,ik1H9JEL4FY,UCmveYasWVwRGY18BiCFL4SQ,"¡Devuélvanlo a España, rufianes!",[0. 0. 0. ... 0. 0. 0.],devu lvanlo espa rufian,-1.0
50,ik1H9JEL4FY,UC3H9zBiMoyWYkPPe3oahPYg,Qué loco la cantidad de guerras por territorio que hubo es Europa. Se deben odiar entre ellos,[0. 0. 0. ... 0. 0. 0.],loco cantidad guerra territorio europa deben odiar,-1.0
56,ik1H9JEL4FY,UCXPndI6UtEXNFzHf2kgejsQ,En resumen España nunca supo defender nada y siempre perdio territorios..,[0. 0. 0. ... 0. 0. 0.],resumen espa nunca supo defend siempr perdio territorio,-1.0
57,ik1H9JEL4FY,UCwJqc8VvHZ-pkqwhQyDbe2g,Ciudadano de la isla: oh vaya mañana soy francés XD jajaja,[0. 0. 0. ... 0. 0. 0.],ciudadano isla vaya franc jajaja,-1.0
58,ik1H9JEL4FY,UC1aKNSjaDd7Ddz8Pn5EFbCQ,En ese año no existía España como nación,[0. 0. 0. ... 0. 0. 0.],exist espa naci,-1.0
60,BUbXwUbarNI,UCvNEi37pV6ld8qf6sJGNkEw,Se te olvido alaska los primers en llegar fueron los espanoles yfundaron muchas vases como valdes malaespina Cordova inclusion veto fue fundado por los espanoles,[0. 0. 0. ... 0. 0. 0.],olvido alaska primer llegar espanol yfundaron mucha vase vald malaespina cordova inclus veto fundado espanol,-1.0
73,BUbXwUbarNI,UCxSgOn-ObWCH-ZYbLA5CzKw,🦁en Filipinas enseñaron el inglés a vase a ostias estaba prohibido el español,[0. 0. 0. ... 0. 0. 0.],filipina ens aron ingl vase ostia prohibido espa,-1.0
77,BUbXwUbarNI,UCr-Z6OetCfOAHBWfLZIorxw,"ESTE  ES  UNO  DE  TANTOS  CUENTOS  DE  LA  MAL  LLAMADA  HISTORIA  ,  EN  ESTE  MUNDO  EL  PEZ  GRANDE  SE  COME  AL  CHICO  Y  Y  LA  HISTORIA  LA  ESCRIVE  EL  VENCEDOR  ,  Y  LUEGO  VIENEN  ESTOS  INDIVIDUOS  LLAMADOS  HISTORIADORES  ,  QUE  HAN  LEIDO  CUATRO  CHORRADAS  QUE  HA  ESCRITO  OTRO  IMBECIL  Y  DE  ESO  VIVEN  ,   ESTO  SON  LOS  ENTERADOS  QUE  HOY  TENEMOS  DANDONOS  CLASES  ,  Y  ASI  NOS  LUCE  EL  PELO   ,,,,,,,,,,,CHAO",[0. 0. 0. ... 0. 0. 0.],tanto cuento llamada historia mundo grand come chico historia escriv vencedor luego vienen individuo llamado historiador leido cuatro chorrada escrito imbecil viven enterado dandono clase luce pelo chao,-1.0
79,BUbXwUbarNI,UCCrQcF0GgcszKzX1TGCTAYA,España tenia mucho territorrios pero los perdio su imperio 🇪🇸,[0. 0. 0. ... 0. 0. 0.],espa tenia territorrio perdio imperio,-1.0
