,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
0,0,AsMZK3aGFHs,UCdKDIaqBUVeHnZPu_ZxLhSw,"No me lo puedo creer . De verdad España le ha cedido el islote de perejil a Marruecos??????? Cómo, dónde , y  Por quéeeeeeee?????",puedo creer verdad espa cedido islot perejil marrueco eeeeeee,[0. 0. 0. ... 0. 0. 0.],-1.0
1,1,AsMZK3aGFHs,UCPkFakCcbBKkwOXOxZM6s0g,Si... pero entre unos y otros ya se han encargado de destruirlo todo!! La verdad es que el ser humano es conflictivo complicado!!,encargado destruirlo verdad humano conflictivo complicado,[0. 0. 0. ... 0. 0. 0.],-1.0
2,2,AsMZK3aGFHs,UCzQxKrGJNxaPv46W9qWIeBA,Tabarca te ha faltado,tabarca faltado,[0. 0. 0. ... 0. 0. 0.],0.0
3,3,AsMZK3aGFHs,UC4DFxGYtyWZnWwAopqTU2LA,El motivo fue que el asesino franco estaba muy ocupado robando en España.,motivo asesino franco ocupado robando espa,[0. 0. 0. ... 0. 0. 0.],-1.0
4,4,AsMZK3aGFHs,UCEMTJtx6dRCBbsRo0BC0aNg,"Yo e tenido una duda 
Porque España no es una super potencia mas fuerte que Estados Unidos después dr tanto robo y saqueo de oro y otros minerales a América latina",duda espa super potencia fuert unido despu robo saqueo mineral rica latina,[0. 0. 0. ... 0. 0. 0.],-1.0
5,5,AsMZK3aGFHs,UCGAXEDOzI7c2QaAeLLpNRbg,Si son de España son territorio de España. Con lo cual no están fuera de España. Lo que hay que escuchar.😂,espa territorio espa espa escuchar,[0. 0. 0. ... 0. 0. 0.],0.0
6,6,AsMZK3aGFHs,UCBa0PWeslUmIAsly31x9aZA,"Muito bem , a Espanha é um país muito lindo que eu gosto muito . Mas é bom que todos os espanhois o saibam , que a Espanha ocupa o território de Olivença que é português. Sim Olivença é território português administrado pela Espanha roubado a Portugal pela força das armas em 1801 , e pelo Tratado de Viena de 1815 a Espanha assinou este tratado em 1817  reconheceu o território de Olivença como território português e se comprometeu a devolver Olivença a Portugal o mais rápido que possivel, e até hoje continuamos esperando . Porque a Espanha não cumpre  não respeita os acordos internacionais. Uma situação triste entre dois países irmãos. Com praticamente a mesma história e mesma cultura .",muito espanha muito lindo gosto muito espanhoi saibam espanha ocupa territ oliven portugu oliven territ portugu administrado pela espanha roubado portug pela arma pelo tratado viena espanha assin tratado reconheceu territ oliven territ portugu comprometeu devolv oliven portug mai pido possivel hoje continuamo esperando espanha cumpr respeita acordo internacionai situa trist doi praticament mesma hist mesma cultura,[0. 0. 0. ... 0. 0. 0.],-1.0
7,7,AsMZK3aGFHs,UCUZjUVCirOuIvVxYFN7p85Q,Eres pro maruecos bete de YouTuber. 😡nadie teciere. Tepagan pordesir bueno ymalo delos payses,marueco bete youtub nadi tecier tepagan pordesir bueno ymalo delo pays,[0. 0. 0. ... 0. 0. 0.],-1.0
8,8,AsMZK3aGFHs,UCGBHQoXnfajtCM1WHIhxTzg,''Provincia de Gerona'',provincia gerona,[0. 0. 0. ... 0. 0. 0.],0.0
9,9,AsMZK3aGFHs,UClazeL67GVCAtIneKf9lk4A,-Latino- sudamerica,latino sudamerica,[0. 0. 0. ... 0. 0. 0.],0.0
10,10,AsMZK3aGFHs,UCIGmrIv2ZNY98fs3Terwsvg,YO PIENSO QUE INJUSTA MENTE MARRUECOS 🇲🇦 QUIERE TODO LO QUE ES NUESTRO 😮‍💨🤷‍♂️🇪🇦👉❤️🙎‍♀️❤️🙎‍♀️❤️🙎‍♀️❤️😮‍💨🤷‍♂️🇪🇦,pienso injusta ment marrueco quier,[0. 0. 0. ... 0. 0. 0.],0.0
11,11,AsMZK3aGFHs,UCTYseoOcMf3qCK_BkOLglbA,Gerona si Girona no,gerona girona,[0. 0. 0. ... 0. 0. 0.],0.0
12,12,AsMZK3aGFHs,UCYQEJZHxPu_9ufSem-2rLAQ,Peticion: ¿Puedes hacer un video hablando del principado de sealand?,peticion pued hacer video hablando principado sealand,[0. 0. 0. ... 0. 0. 0.],0.0
13,13,AsMZK3aGFHs,UCYk3F39lL5sfKVHXVZ1ZfdA,"De risa esos territorios, España manteniendo piedras y llamandolos territorios",risa territorio espa manteniendo piedra llamandolo territorio,[0. 0. 0. ... 0. 0. 0.],0.0
14,14,AsMZK3aGFHs,UCYOxt88xolaNYtA03vS_zng,"La isla de Alboranno esta a 90kmdela cosra esñañola, esta a 0km, bueno el. centro de la isla no, esa se aleja de la costa no se cuanto, pero seguro que no tanto como Madrid, Cuenca o Lleida. Y en realidad es el tema del video, qud no solo es la peninsula, ni toda la peninsula",isla alboranno kmdela cosra bueno centro isla aleja costa cuanto seguro madrid cuenca lleida realidad tema video solo peninsula toda peninsula,[0. 0. 0. ... 0. 0. 0.],0.0
15,15,AsMZK3aGFHs,UCjyiEpwQWOt2kWzQ5ZX9Wng,"Yo he estado 2 quincenas en la isla de alboran,  en noviembre de 2001 y febrero de 2003. Comisionado cuando era militar. Como dato curioso, en mi segunda visita me terminé de leer el señor de los anillos.",quincena isla alboran noviembr febrero comisionado militar dato curioso segunda visita termin leer anillo,[0. 0. 0. ... 0. 0. 0.],0.0
16,16,AsMZK3aGFHs,UCQQPt0q6eziX6_1IgdTr4jQ,Todos territorios,territorio,[0. 0. 0. ... 0. 0. 0.],0.0
17,17,AsMZK3aGFHs,UCl0hD35Au6px5TzunIIxL0g,That is NOT nothing……….Gypsy Spain is weak……..with a Macarena dancing cowardly Gypsy Spanish army………and yet Gibraltar is still British 🇬🇧 which Spain. Has try numerous times to retake it and yet failed 😂😂😂😂😂😂😂😂😂evert rime they try to siege Gibraltar……..these Gypsy Spaniards were always surrendering to their British 🇬🇧 GODZ,that noth gypsi spain weak with macarena danc cowardli gypsi spanish armi gibraltar still british which spain numer time retak fail evert rime they sieg gibraltar these gypsi spaniard were alway surrend their british godz,[0. 0. 0. ... 0. 0. 0.],-1.0
18,18,AsMZK3aGFHs,UCgis5MTYBpYQ6jezH45TYWQ,"Me da risa, como los espanoles consideran que no hay duda de que ceuta y melilla son espanolas, pero si les preguntas sobre Gibraltar, no hay manera de que haya un exclave britanico en territorio espanol",risa espanol consideran duda ceuta melilla espanola pregunta gibraltar manera exclav britanico territorio espanol,[0. 0. 0. ... 0. 0. 0.],0.0
19,19,AsMZK3aGFHs,UCwh9i0Oy9eizhXcWfphJ82g,nunca viaje a alguno de esos territorios pero en un futuro me gustaria viajar a las Islas Cies ;),nunca viaj alguno territorio futuro gustaria viajar isla cie,[0. 0. 0. ... 0. 0. 0.],0.0
20,20,3FFOxhBSYAs,UCcsTtlbw_QfEn9Tms_x6YTg,"Las palabras son importantes y el titular marca el contenido. Si ustedes dicen que pertenecen a España, como si fueran un objeto, y no dicen SON España, dejan claro sesgo y no merece por mi parte escuchar más por más que me lo digan los ingleses con presentedores hispanoamericanos.👎
  ¿Porqué las islas del Canal de La Mancha ( English Channel) pertenecen a Reino Unido? Ese titular no lo leerán en BBC.",palabra important titular marca contenido usted dicen pertenecen espa objeto dicen espa dejan claro sesgo merec part escuchar digan ingles presentedor hispanoamericano porqu isla canal mancha english channel pertenecen reino unido titular leer,[0. 0. 0. ... 0. 0. 0.],0.0
