,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggresive
0,V8gDOj2V6Wo,UCHod-i12nNNdYtTJIqeXRLA,Viva el machismo,[0. 0. 0. ... 0. 0. 0.],viva machismo,0.0,,,
1,V8gDOj2V6Wo,UC3IJ88t0um1drra78GUSNLg,"Feminismo es una palabra para referirse a una mujer con rasgos y movimientos delicados que le sale natural, de hay la frase que feminista que se husadesde ya hace muchisimos años.


Informencen 😼",[0. 0. 0. ... 0. 0. 0.],feminismo palabra referirs mujer rasgo movimiento delicado sale natur frase feminista husadesd hace muchisimo informencen,0.0,,,
2,V8gDOj2V6Wo,UCx71QVpr8WRY2HIALeabUzw,Es que la verdad el feminismo ya no busca igualdad busca derechos y privilegios sobre los hombres,[0. 0. 0. ... 0. 0. 0.],verdad feminismo busca igualdad busca derecho privilegio hombr,0.0,,,
3,V8gDOj2V6Wo,UChRm-4tazqB8qLZYKrVsPyg,"La solucion es ovia...

_hay que quitar el ministerio de la mujer

_y creal el ministerio de capital humano

Tal y como lo plantea milei",[0. 0. 0. ... 0. 0. 0.],solucion ovia quitar ministerio mujer creal ministerio capit humano plantea milei,0.0,,,
4,V8gDOj2V6Wo,UCpg4OxQpbqV5yMK9oj0pA7Q,No ala idiologia de genero,[0. 0. 0. ... 0. 0. 0.],idiologia genero,0.0,,,
5,V8gDOj2V6Wo,UCoQmy5eqsM72AUQBzVfo7lw,"Gente, todavía quedan platos por lavar",[0. 0. 0. ... 0. 0. 0.],gent todav quedan plato lavar,0.0,,,
6,V8gDOj2V6Wo,UCg3QVvZbkGe9q3uGhGLoY2w,La igualdad para las feministas es que ellas le pueden pegar a un hombre pero un hombre no les puede pegar a ellas,[0. 0. 0. ... 0. 0. 0.],igualdad feminista pueden pegar hombr hombr pued pegar,0.0,,,
7,V8gDOj2V6Wo,UCg3QVvZbkGe9q3uGhGLoY2w,La igualdad para las feministas es que ellas le pueden pegar a un hombre pero un hombre no les puede pegar a ellas,[0. 0. 0. ... 0. 0. 0.],igualdad feminista pueden pegar hombr hombr pued pegar,0.0,,,
8,V8gDOj2V6Wo,UC5pSsUYpMwyA1K-mWycjX2Q,Hoy es nesesario ???? Las leyes a quien benefician mas ?? Investiguen y veran como el hombre es la victima,[0. 0. 0. ... 0. 0. 0.],nesesario ley benefician investiguen veran hombr victima,0.0,,,
9,V8gDOj2V6Wo,UCUAuCnNwMLNT_NxjjkMbRYg,El día q sea padre educare a mí hija o hijo para q no termine así,[0. 0. 0. ... 0. 0. 0.],padr educar hija hijo termin,0.0,,,
10,hL1VUOOGWFw,UCNjfBSsugsSoifEPzmy-cgQ,"Los datos históricos están bien. Pero cuando das datos tienes que revisemos bien o estarás desinformando a la gente.  

El 55% de mujeres en trabajos no remunerados se debe a la maternidad (la cual es una elección voluntaria) 

Así mismo las mujeres ganan menos. Por qué en proporción trabajan menos horas y menos días en los mismos puestos. Y en puestos de alto valor no están dispuestas a dejar de lado su vida, familia, amigos etc para poder trabajar en eso 


Revisa tus datos. No des interpretaciones a la ligera por qué solo alimentar la ignorancia",[0. 0. 0. ... 0. 0. 0.],dato hist rico bien dato revisemo bien desinformando gent mujer trabajo remunerado debe maternidad elecci voluntaria mismo mujer ganan meno proporci trabajan meno hora meno mismo puesto puesto alto valor dispuesta dejar lado vida familia amigo poder trabajar revisa dato interpretacion ligera solo alimentar ignorancia,0.0,,,
11,hL1VUOOGWFw,UCoA_zLoAiMVWvyc6igvQ_zg,Por los progres,[0. 0. 0. ... 0. 0. 0.],progr,0.0,,,
12,hL1VUOOGWFw,UCRMtoa96mmvaI5V7K7mcDMQ,"Necesito un resumen de este video para mí tarea, ayudaaaa🐿️🐿️",[0. 0. 0. ... 0. 0. 0.],necesito resumen video tarea ayudaaaa,0.0,,,
13,hL1VUOOGWFw,UC-Dy5UxcA_t5lMD-S1IKCTw,"Informence más, no volveré a escuchar esto. Si tienen datos interesantes pero algunos les falta información, tenemos igualdad ahora. El feminismo es lo mismo que el machismo en la actualidad.",[0. 0. 0. ... 0. 0. 0.],inform volver escuchar dato interesant falta informaci igualdad ahora feminismo mismo machismo actualidad,0.0,,,
14,hL1VUOOGWFw,UCOi2Wdqhbf8DeP04CNRobbA,Son candidatas para ir al un irfierno,[0. 0. 0. ... 0. 0. 0.],candidata irfierno,0.0,,,
