,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggresive
0,2,WdtyLi2wBDs,UCTkpp46iUcTXPh_bjDgOZCg,De hecho me hubiera gustado que mi país (venezuela) hubiera hecho una monarquia que hubiera podido sucre (en ese entonces muchos proceres eran muy monárquicos) o Juan Vicente gomez,[0. 0. 0. ... 0. 0. 0.],hecho gustado venezuela hecho monarquia podido sucr entonc procer rquico juan vicent gomez,0.0,0.03815366327762604,0.008657812140882015,0.01710396073758602
1,3,WdtyLi2wBDs,UCPOFnRYCCd5mEoAuoSyAAxA,"1er error. Me la pela qué no se haya votado porque es la mejor persona para ese puesto. La peticion de principio es ideal no practica. Es decir el argumento medieval sobrevive en su razonamiento. ( Tal cosa es evocada por los pensadores conservadores del siglo XVIII Edmund Burke o el mismo Hobbes) esto ya ha sido re estudiado con seriedad practica por Pierre Bourdieu en el siglo XX  ( los herederos) o por Pierre Rossanvalon ( El gobierno representativo) la idea del hombre crecido para gobernar es una transplantacion del mesianismo muy comun en las sociedades judeocristianas. 2 error. La monarquia  si es mucho mas cara que la républica 2.1  EL valor de la monarquia tiende a separar su financiamiento estal y su supuesto auto-financiamiento para asi esconder el gasto socio-politico, en la mayoria de las poco transparentes cuentas en Inglaterra se separa el dinero recibido por los contribuyentes y el dinero de sus sociedades adquiridas por paramilitarismo ( miles de tierras son usurpadas para financiar al rey en inglaterra) haciendo pasar esa riqueza como propia y sacandola de la contabilidad. 2.2 Cuando engloban el gasto de la republica se suele normalmente englobar el gasto presidencial sin embargo esto varia dependiendo del regimen politico, en alemania suiza o en italia por ejemplo es realmente bajo. 3error La monarquia contradice el principio liberal de la responsabilidad, la démocracia es el unico modelo liberal porque en una democracia si tu eleccion no funciona la responsabilidad es traducida en un angulo real( eligi mal) asi que puedo corregir esa eleccion y pobrar de nuevo, en una monarquia ( al no tener oportunidad de eleccion) la responsabilizacion del elector y el monarca no esta en entredicho. 4 El libertarismo no es mas que una reactualizacion del conservadurismo, y la mejor manera de denominarlo es liberalismo-conservador. Ud senor no es liberal ni intelectual ni politicamente es unicamente un conservador del Siglo XXI.",[0. 0. 0. ... 0. 0. 0.],error pela votado mejor persona puesto peticion principio ideal practica decir argumento mediev sobrev razonamiento cosa evocada pensador conservador siglo xviii edmund burk mismo hobb sido estudiado seriedad practica pierr bourdieu siglo heredero pierr rossanvalon gobierno representativo idea hombr crecido gobernar transplantacion mesianismo comun sociedad judeocristiana error monarquia cara publica valor monarquia tiend separar financiamiento estal supuesto auto financiamiento escond gasto socio politico mayoria transparent cuenta inglaterra separa dinero recibido contribuyent dinero sociedad adquirida paramilitarismo mile tierra usurpada financiar inglaterra haciendo pasar riqueza propia sacandola contabilidad engloban gasto republica suel normalment englobar gasto presidenci embargo varia dependiendo regimen politico alemania suiza italia ejemplo realment bajo error monarquia contradic principio liber responsabilidad mocracia unico modelo liber democracia eleccion funciona responsabilidad traducida angulo real eligi puedo corregir eleccion pobrar nuevo monarquia tener oportunidad eleccion responsabilizacion elector monarca entredicho libertarismo reactualizacion conservadurismo mejor manera denominarlo liberalismo conservador senor liber intelectu politicament unicament conservador siglo,0.0,0.25635284185409546,0.014165172353386879,0.10383547842502594
2,5,WdtyLi2wBDs,UCgW7xHsCcD7fCUpo0g0OkeA,Concuerdo totalmente,[0. 0. 0. ... 0. 0. 0.],concuerdo totalment,0.0,0.02545151300728321,0.01810496486723423,0.022472677752375603
3,6,WdtyLi2wBDs,UCe4DyAgY27gIlhTMUFRgddw,"Buenos días, hay otro argumento, para mí muy importante. España, país lleno de tradiciones e historia, estaría esta figura también. La casa real es historia viva. Si queremos conservar el acueducto de Segovia, las fallas de Valencia, semana Santa. También hay que hacer un ejercicio de conservación de la casa real. España como tú bien dices, cada vez que se ha implantado una república, ha acabado en baño de sangre. Y esto es también parte de nuestra historia, por lo tanto la opción más práctica es conservar esa parte de nuestras tradiciones e historia que es la monarquía. Un saludo a todos.🖐🏻👏🏻👏🏻👏🏻👏🏻👉🏻👍🏻💪🏻🖖🏻",[0. 0. 0. ... 0. 0. 0.],bueno argumento important espa lleno tradicion historia figura tambi casa real historia viva queremo conservar acueducto segovia falla valencia semana santa tambi hacer ejercicio conservaci casa real espa bien dice cada implantado blica acabado sangr tambi part historia opci ctica conservar part tradicion historia monarqu saludo,0.0,0.06964157521724701,0.008627627976238728,0.03585632145404816
4,7,WdtyLi2wBDs,UCW1_64QJukG8Nx-ElnUfmZg,Totalmente de acuerdo …. Mejor explicado imposible  !,[0. 0. 0. ... 0. 0. 0.],totalment acuerdo mejor explicado impos,0.0,0.016354143619537354,0.009600960649549961,0.01072894036769867
5,8,WdtyLi2wBDs,UCtu8pIY2E4SqdxkPvCs2fBQ,"Señor Cabello, si una república significa una forma de gobierno elegida mediante sufragio universal, con voto directo, secreto y sin listas; con un sistema bicameral ( congreso y senado); con una serie de derechos y obligaciones, en donde todo individuo es igual ante la Ley....entonces sí quiero una república. PERO NO ( y enfatizó el ""no"") este modelo de república que nos quieren vender Sánchez y sus compinches, en donde estaríamos en manos de catalanes y vascos ( pagándoles todo lo que ellos quisieran y sometiéndonos a sus dictados). Al final, el Rey es un mal menor frente a los de bildu, los independentistas y los de podemos. Del psoe ya ni hablo.",[0. 0. 0. ... 0. 0. 0.],cabello blica significa forma gobierno elegida mediant sufragio univers voto directo secreto lista sistema bicamer congreso senado seri derecho obligacion individuo igual entonc quiero blica enfatiz modelo blica quieren vender nchez compinch amo mano catalan vasco ndole quisieran someti ndono dictado final menor frent bildu independentista podemo psoe hablo,0.0,0.056889671832323074,0.01203453354537487,0.044995058327913284
6,10,WdtyLi2wBDs,UCdq7fdTrbViMVR1iePL5bVQ,Hay una charla de Bastos sobre la monarquía muy convincente,[0. 0. 0. ... 0. 0. 0.],charla basto monarqu convincent,0.0,0.03026651404798031,0.02190227434039116,0.024032333865761757
7,12,WdtyLi2wBDs,UCjIvxVZOL2RhM1tFScfisqw,"Bueno, si... Pero, el hijo, o hija, el futuro monarca ha sido educado e influenciado por la política, y los intereses de otros, pues... Seguramente algunos defectos, si que tendrá, no se, a lo mejor por los vestigios del modelo monárquico anterior está gente se suele juntar con gente de alta clase, ya sea por sangre o por dinero, y bueno, no se, es decir, hay gente que hace barbaridades por el dinero, solo hay que ver el tema de los opioides en Estados Unidos, no hablo de los que consumen, sino de quien los venden, que enferman y dejan gravemente adicto a una gran parte de la población, y como el fin de una empresa es ganar dinero, a toda costa, pues... Dejar adicta a la población a tu producto, se me hace una buena forma de ganar dinero. Por eso, yo creo que el liberalismo es pésima idea, al final todo será lo que más vende y no lo que más le conviene al pueblo, es posible que una monarquía favorezca a las empresas pero tiene sus consecuencias. De todas formas tiene un punto eso de que el que se ha preparado de pequeño sea el líder, bueno, tendremos que confiar en su educación que no a sido destinada para cierto fines, y de su nivel de inteligencia, que las cosas son así, a veces los chicos salen mal y no tienen ni la inteligencia promedio, y manda webos, como si nunca hubiera habido reyes malos, solo hay que ver al molesto vecino del frente (Francia) odiado y amado por partes iguales, que paso con la revolución francesa? La tan famosa reina que decía si los pobres no tienen para pan pues que compren pastel. No se, si vemos el panorama completo... No se yo, creo que la mejor opción no es",[0. 0. 0. ... 0. 0. 0.],bueno hijo hija futuro monarca sido educado influenciado tica interes pue segurament defecto tendr mejor vestigio modelo rquico anterior gent suel juntar gent alta clase sangr dinero bueno decir gent hace barbaridad dinero solo tema opioid unido hablo consumen sino venden enferman dejan gravement adicto gran part poblaci empresa ganar dinero toda costa pue dejar adicta poblaci producto hace buena forma ganar dinero creo liberalismo sima idea final vend convien pueblo posibl monarqu favorezca empresa consecuencia toda forma punto preparado pequ bueno confiar educaci sido destinada cierto fine nivel inteligencia cosa vece chico salen inteligencia promedio manda webo nunca rey malo solo molesto vecino frent francia odiado amado part igual paso revoluci francesa famosa reina pobr pue compren pastel vemo panorama completo creo mejor opci,0.0,0.3937133550643921,0.02095223031938076,0.20700308680534363
8,13,WdtyLi2wBDs,UCKQ8UuNnkKBdA-zwBsikvQg,lastima dinero que te pagamos veste de ESPAÑA,[0. 0. 0. ... 0. 0. 0.],lastima dinero pagamo vest espa,0.0,0.2934141457080841,0.027815846726298332,0.0785125195980072
9,14,WdtyLi2wBDs,UCmpgEygc7Dchd9gvCTOc3gw,Literal los impuestos en la monarquia eran como un 5%,[0. 0. 0. ... 0. 0. 0.],liter impuesto monarquia,0.0,0.05979328975081444,0.00997156836092472,0.02714039757847786
