,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
0,T-smnnEAdM0,UCTlJjNviHj7Y32eiOdHH_FQ,No me creo que les importemos algo. Estos son todos de la misma opinión 😮,[0. 0. 0. ... 0. 0. 0.],creo importemo misma opini,0.0
5,T-smnnEAdM0,UC5VOjXoHeqZUF0swDWq_2SA,"como propuso Vox al PP, manipular no es bueno",[0. 0. 0. ... 0. 0. 0.],propuso manipular bueno,0.0
7,T-smnnEAdM0,UCB6JDzYw_B3Ufx_hr11CKag,BABEO ELLOS SON COMPLICES DE ESTE INS ULTO,[0. 0. 0. ... 0. 0. 0.],babeo complic ulto,0.0
9,T-smnnEAdM0,UCdElnB35gVnYe-PWgpCba0w,"La UE es mentira solo esta para rumania, Hungría y otros",[0. 0. 0. ... 0. 0. 0.],mentira solo rumania hungr,0.0
10,T-smnnEAdM0,UCV2FlYRrK8tAE5OWy3EE1ew,"He sido un actor extraordinario haciendo creer que no sabía lo que me estaban haciendo…  flirteando con algunas me daba cuenta de algunas cosas.
Antes he dicho que descendía de rey pero debe ser de reina. No debe ser lo mismo nacer de rey que de reina, los consortes nunca quieren al rey.",[0. 0. 0. ... 0. 0. 0.],sido actor extraordinario haciendo creer haciendo flirteando daba cuenta cosa dicho descend debe reina debe mismo nacer reina consort nunca quieren,0.0
11,T-smnnEAdM0,UCCLHpMGRmpvMqMpDLWN9qjw,Pero que RAPIDO OLVIDAN la CAJA B. del PP,[0. 0. 0. ... 0. 0. 0.],rapido olvidan caja,0.0
12,T-smnnEAdM0,UCCLHpMGRmpvMqMpDLWN9qjw,"Dejen de ESPECULAR. Todo se hizo de acuerdo a la Ley y la Constitucion. Si No fuera asi el REY. No lo habria Jurado la investidura.

El Consejo Judicial esta SECUESTRADO por el PP desde hace mas de 5 años. Feijoo NI porque el Rey lo propuso gestiono  positivamente su Investidura.",[0. 0. 0. ... 0. 0. 0.],dejen especular hizo acuerdo constitucion habria jurado investidura consejo judici secuestrado hace feijoo propuso gestiono positivament investidura,0.0
13,T-smnnEAdM0,UC_hUDVGvYuZUeAZN5_Y4q5g,"Pues creo q les ha de explicar Bolaños, q vigilen, a ver q les dice, q no les engañe, q de esto saben mucho",[0. 0. 0. ... 0. 0. 0.],pue creo explicar bola vigilen dice enga saben,0.0
14,T-smnnEAdM0,UCfkLh-7UMlHpcQlA43N_dSA,UE  sobre la soberania de Espana? .......,[0. 0. 0. ... 0. 0. 0.],soberania espana,0.0
17,T-smnnEAdM0,UC7wwq4k4bBWSM_wwjn0m3CA,España se rompe cuñaoooo,[0. 0. 0. ... 0. 0. 0.],espa romp aoooo,0.0
18,T-smnnEAdM0,UCzu4dMy2cbHEJ476iwjraig,Europa no respeta a los españoles ni al rey🇪🇦🇪🇦😳,[0. 0. 0. ... 0. 0. 0.],europa respeta espa ole,0.0
19,T-smnnEAdM0,UCdvOnzOzHLfoV-sEApU_d0g,Huelga general ya!!!!!!,[0. 0. 0. ... 0. 0. 0.],huelga gener,0.0
21,0HVzuoDgkkY,UC0ljCVHeRT2Z_ScF2__r1-A,Felipe González cuando   el coletas te decia lo de la cal biba a aque se refería esplicalo que nos enteramos lo llevas muy oculto,[0. 0. 0. ... 0. 0. 0.],felip gonz coleta decia biba aqu refer esplicalo enteramo lleva oculto,0.0
22,0HVzuoDgkkY,UC0ljCVHeRT2Z_ScF2__r1-A,Felipe González cuando te hicimos presidente benias con una camisa que llevaba ni cuello y estabas elado de frio ahora llevas gabardina,[0. 0. 0. ... 0. 0. 0.],felip gonz hicimo president benia camisa llevaba cuello elado frio ahora lleva gabardina,0.0
23,0HVzuoDgkkY,UC0ljCVHeRT2Z_ScF2__r1-A,Felipe González estás en Endesa porque nosotros te icimos presidente y no por tu mérito ya te se a olvidado como ya eres rico por eso apoyas a Abascal y a feijo,[0. 0. 0. ... 0. 0. 0.],felip gonz endesa icimo president rito olvidado rico apoya abasc feijo,0.0
24,0HVzuoDgkkY,UC0ljCVHeRT2Z_ScF2__r1-A,Felipe González los socialistas te icimos presidente pensando que eras onesto y decente por eso te icimos presidente,[0. 0. 0. ... 0. 0. 0.],felip gonz socialista icimo president pensando onesto decent icimo president,0.0
25,0HVzuoDgkkY,UCq_-1XGwX9hEjAFNADkvqjg,"Felipe no entiende que esto es por el bien y la igualdad entre españoles.
Menos mal que estan los iluminados del rebaño para corregirlo",[0. 0. 0. ... 0. 0. 0.],felip entiend bien igualdad espa ole meno estan iluminado reba corregirlo,0.0
27,0HVzuoDgkkY,UCXg-DjEYTplKI_3cMoMsn5g,Fue para mí y para muchos compañeros líder indiscutible y todo lo bueno que hizo para España ahora lo está tirando por la borda 😢😢,[0. 0. 0. ... 0. 0. 0.],compa ero indiscut bueno hizo espa ahora tirando borda,0.0
28,0HVzuoDgkkY,UCr7uORPicRYRKk9K37f8RKg,"Todo lo que queráis, que es viejo, que es inmoral, que la libertad de expresión sólo para los que vosotros decidís, que no tiene derecho, que la lealtad ha de cumplirse incluso contra la conciencia... Nos lo sabemos. Pero, ¿ alguno es capaz jurídicamente de desmentir lo que dice y fundamentar el encaje de la  amnistía en la legislación? Resulta divertido que mateis al mensajero, pero del contenido a debatir, ni mu.... Flaco favor hacéis a la defensa de la medida no entendiendola y censurando, cuando no insultando, al que opina, ejerciendo su derecho, sobre ella",[0. 0. 0. ... 0. 0. 0.],quer viejo inmor libertad expresi decid derecho lealtad cumplirs incluso conciencia sabemo alguno capaz dicament desmentir dice fundamentar encaj amnist legislaci resulta divertido matei mensajero contenido debatir flaco favor defensa medida entendiendola censurando insultando opina ejerciendo derecho,0.0
30,0HVzuoDgkkY,UCKYeggU2GY-jR9qT7v4lPYQ,"Sr. González Márquez, no sería más honesto por su parte un prudente silencio  ??
Bajo su mandato, tiene lugar la aparición de un GRUPO ANTITERRORISTA DE LIBERACIÓN. ..  GAL, cuyo objetivo era combatir a ETA.
Usted presidente del gobierno en aquellos momentos, dice "" estar ajeno a todo ello"".
PERO,   al mismo tiempo,   creo  que fue J.M. Azna quien le bautiza como "". el hombre X. de la operacion"".
             VAYA AMISTADES LAS          SUYAS ....🌹🌹
🌹",[0. 0. 0. ... 0. 0. 0.],gonz rquez honesto part prudent silencio bajo mandato lugar aparici grupo antiterrorista liberaci cuyo objetivo combatir ust president gobierno aquello momento dice ajeno ello mismo tiempo creo azna bautiza hombr operacion vaya amistad,0.0
31,0HVzuoDgkkY,UCu4RXWZHhLvBtmnvZW5GmFg,Porque no te vas al PP que seguramente ya eres del PP,[0. 0. 0. ... 0. 0. 0.],segurament,0.0
35,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,"se os ha olvidado a todos el ""a por ellos oe""",[0. 0. 0. ... 0. 0. 0.],olvidado,0.0
36,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,ya de las puertas giratorias otro dia,[0. 0. 0. ... 0. 0. 0.],puerta giratoria,0.0
37,0HVzuoDgkkY,UCXsBdoMR53GMRxBCx2zYR4A,El de la cal viva😮,[0. 0. 0. ... 0. 0. 0.],viva,0.0
40,aXLB8r1t8ec,UCzX0IX_81Fj3FislNCXd_1A,No more money for Spain.,[0. 0. 0. ... 0. 0. 0.],more money spain,0.0
