,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
2,AsMZK3aGFHs,UCzQxKrGJNxaPv46W9qWIeBA,Tabarca te ha faltado,[0. 0. 0. ... 0. 0. 0.],tabarca faltado,0.0
5,AsMZK3aGFHs,UCGAXEDOzI7c2QaAeLLpNRbg,Si son de España son territorio de España. Con lo cual no están fuera de España. Lo que hay que escuchar.😂,[0. 0. 0. ... 0. 0. 0.],espa territorio espa espa escuchar,0.0
8,AsMZK3aGFHs,UCGBHQoXnfajtCM1WHIhxTzg,''Provincia de Gerona'',[0. 0. 0. ... 0. 0. 0.],provincia gerona,0.0
9,AsMZK3aGFHs,UClazeL67GVCAtIneKf9lk4A,-Latino- sudamerica,[0. 0. 0. ... 0. 0. 0.],latino sudamerica,0.0
10,AsMZK3aGFHs,UCIGmrIv2ZNY98fs3Terwsvg,YO PIENSO QUE INJUSTA MENTE MARRUECOS 🇲🇦 QUIERE TODO LO QUE ES NUESTRO 😮‍💨🤷‍♂️🇪🇦👉❤️🙎‍♀️❤️🙎‍♀️❤️🙎‍♀️❤️😮‍💨🤷‍♂️🇪🇦,[0. 0. 0. ... 0. 0. 0.],pienso injusta ment marrueco quier,0.0
11,AsMZK3aGFHs,UCTYseoOcMf3qCK_BkOLglbA,Gerona si Girona no,[0. 0. 0. ... 0. 0. 0.],gerona girona,0.0
12,AsMZK3aGFHs,UCYQEJZHxPu_9ufSem-2rLAQ,Peticion: ¿Puedes hacer un video hablando del principado de sealand?,[0. 0. 0. ... 0. 0. 0.],peticion pued hacer video hablando principado sealand,0.0
13,AsMZK3aGFHs,UCYk3F39lL5sfKVHXVZ1ZfdA,"De risa esos territorios, España manteniendo piedras y llamandolos territorios",[0. 0. 0. ... 0. 0. 0.],risa territorio espa manteniendo piedra llamandolo territorio,0.0
14,AsMZK3aGFHs,UCYOxt88xolaNYtA03vS_zng,"La isla de Alboranno esta a 90kmdela cosra esñañola, esta a 0km, bueno el. centro de la isla no, esa se aleja de la costa no se cuanto, pero seguro que no tanto como Madrid, Cuenca o Lleida. Y en realidad es el tema del video, qud no solo es la peninsula, ni toda la peninsula",[0. 0. 0. ... 0. 0. 0.],isla alboranno kmdela cosra bueno centro isla aleja costa cuanto seguro madrid cuenca lleida realidad tema video solo peninsula toda peninsula,0.0
15,AsMZK3aGFHs,UCjyiEpwQWOt2kWzQ5ZX9Wng,"Yo he estado 2 quincenas en la isla de alboran,  en noviembre de 2001 y febrero de 2003. Comisionado cuando era militar. Como dato curioso, en mi segunda visita me terminé de leer el señor de los anillos.",[0. 0. 0. ... 0. 0. 0.],quincena isla alboran noviembr febrero comisionado militar dato curioso segunda visita termin leer anillo,0.0
16,AsMZK3aGFHs,UCQQPt0q6eziX6_1IgdTr4jQ,Todos territorios,[0. 0. 0. ... 0. 0. 0.],territorio,0.0
18,AsMZK3aGFHs,UCgis5MTYBpYQ6jezH45TYWQ,"Me da risa, como los espanoles consideran que no hay duda de que ceuta y melilla son espanolas, pero si les preguntas sobre Gibraltar, no hay manera de que haya un exclave britanico en territorio espanol",[0. 0. 0. ... 0. 0. 0.],risa espanol consideran duda ceuta melilla espanola pregunta gibraltar manera exclav britanico territorio espanol,0.0
19,AsMZK3aGFHs,UCwh9i0Oy9eizhXcWfphJ82g,nunca viaje a alguno de esos territorios pero en un futuro me gustaria viajar a las Islas Cies ;),[0. 0. 0. ... 0. 0. 0.],nunca viaj alguno territorio futuro gustaria viajar isla cie,0.0
20,3FFOxhBSYAs,UCcsTtlbw_QfEn9Tms_x6YTg,"Las palabras son importantes y el titular marca el contenido. Si ustedes dicen que pertenecen a España, como si fueran un objeto, y no dicen SON España, dejan claro sesgo y no merece por mi parte escuchar más por más que me lo digan los ingleses con presentedores hispanoamericanos.👎
  ¿Porqué las islas del Canal de La Mancha ( English Channel) pertenecen a Reino Unido? Ese titular no lo leerán en BBC.",[0. 0. 0. ... 0. 0. 0.],palabra important titular marca contenido usted dicen pertenecen espa objeto dicen espa dejan claro sesgo merec part escuchar digan ingles presentedor hispanoamericano porqu isla canal mancha english channel pertenecen reino unido titular leer,0.0
21,3FFOxhBSYAs,UC4MFpsxnGINktmU_-KxmmFA,"Por reclamar pueden reclamar lo que les venga en gana, otra cosa es que tengan una base histórica real y/o que lo consigan. También reclaman las Islas Canarias (sin base alguna, solo la cercanía), todo el Sáhara Occidental (casi sin base alguna, quitando algunos documentos firmados entre algunas tribus concretas en x momento con el sultán de Marruecos, pero vamos apenas tienen base legal para reclamarlo y ahí los tienes ocupando ya casi todo el territorio) y así podemos seguir, pues tienen también litigios fronterizos con otros Estados como Mauritania y Argelia. Si entramos en ese juego de reclamar, por reclamar, España podría reclamar cerca de 20 millones de km2, la superficie de Rusia aproximadamente. P.D. Espero un vídeo similar, sobre las colonias de los EEUU, Holanda, Reino Unido, Francia y otros más, repartidos por todo el mundo (cada Estado con el respectivo vídeo sobre sus colonias). Cosa que por cierto Ceuta y Melilla no lo son, pues España no tiene colonia alguna. Un saludo.",[0. 0. 0. ... 0. 0. 0.],reclamar pueden reclamar venga gana cosa base hist rica real consigan tambi reclaman isla canaria base alguna solo cercan hara occident casi base alguna quitando documento firmado tribu concreta momento sult marrueco vamo apena base legal reclamarlo ocupando casi territorio podemo seguir pue tambi litigio fronterizo mauritania argelia entramo juego reclamar reclamar espa podr reclamar cerca millon superfici rusia aproximadament espero similar colonia eeuu holanda reino unido francia repartido mundo cada respectivo colonia cosa cierto ceuta melilla pue espa colonia alguna saludo,0.0
22,3FFOxhBSYAs,UCPzBFUQfcT-d2Yewue3Kd-g,Marruecos es uno de los paises mas antiguos del mundo como dices que ceuta y melilla eran españolas antes de q existiera marruecos,[0. 0. 0. ... 0. 0. 0.],marrueco pais antiguo mundo dice ceuta melilla espa ola existiera marrueco,0.0
23,3FFOxhBSYAs,UCbESAkTAuJFSIhWrhiLL3dw,Las dos últimas colonias en África.,[0. 0. 0. ... 0. 0. 0.],ltima colonia frica,0.0
24,3FFOxhBSYAs,UCZkznxpgs3-YvHKuGHWG3ag,"Ah es que Marruecos,  no es dueño de esos territorios , yo pensaba que los habían colonizado los españoles siglos atrás  a Marruecos,  entonces cabe el refrán que dice  LO QUE NO FUE EN SU AÑO , NO FUE EN  TU DAÑO MARRUECOS.",[0. 0. 0. ... 0. 0. 0.],marrueco territorio pensaba colonizado espa ole siglo marrueco entonc cabe refr dice marrueco,0.0
25,3FFOxhBSYAs,UCj8aIGjKH5cOoyi0VprqPbw,Somos No es árabes marroquín es barber amazigh hablamos darija árabe entonces marroquin original amazigh,[0. 0. 0. ... 0. 0. 0.],rabe marroqu barber amazigh hablamo darija rabe entonc marroquin origin amazigh,0.0
26,3FFOxhBSYAs,UCGx9tqxk2GYxdyFTMoFwQbQ,"Marruecos no existía cuando España adquirió Ceuta y Melilla hace 500 años, por ende no puede reclamarlos como suyos, FIN.",[0. 0. 0. ... 0. 0. 0.],marrueco exist espa adquiri ceuta melilla hace end pued reclamarlo,0.0
28,3FFOxhBSYAs,UCkATXEgXbCwxRWBlN4EuEKA,"Robo con derecho, la ley de la jungla  por eso España tiene que jogar la copa de África",[0. 0. 0. ... 0. 0. 0.],robo derecho jungla espa jogar copa frica,0.0
30,3FFOxhBSYAs,UCSH6sycmNLnFPm3XHF9e17g,"Migrantes no, inmigrantes. Solo migran las aves.",[0. 0. 0. ... 0. 0. 0.],migrant inmigrant solo migran ave,0.0
31,3FFOxhBSYAs,UCIGmrIv2ZNY98fs3Terwsvg,ceuta y melilla son dos ciudades.                      españolas 👍🇪🇦❤️ desde hace unos setecientos años 🤷‍♂️❤️🇪🇦👍,[0. 0. 0. ... 0. 0. 0.],ceuta melilla ciudad espa ola hace seteciento,0.0
32,3FFOxhBSYAs,UCQ2t--a1pDSnLiuROQ9X-DA,No confundir marruecos con el rif y con el sahara😂.,[0. 0. 0. ... 0. 0. 0.],confundir marrueco sahara,0.0
35,3FFOxhBSYAs,UCX2Ge2kfQotFtX5gP0WC1Vw,Deberian conquistar canarias esta en el sur de marruecos,[0. 0. 0. ... 0. 0. 0.],deberian conquistar canaria marrueco,0.0
36,3FFOxhBSYAs,UC9Du-by9TVNs3mfi4WkzhOw,"España desde la época de los romanos estaba una parte en europa y otra en África. La de África era casi igual de grande que la de la península y llegaba hasta los Montes Atlas. Eso fue así hasta final  el siglo XIX, y parte reconquistados por franco y regalados por el régimen del 78, como paso con el sahara.",[0. 0. 0. ... 0. 0. 0.],espa poca romano part europa frica frica casi igual grand nsula llegaba mont atla final siglo part reconquistado franco regalado gimen paso sahara,0.0
37,3FFOxhBSYAs,UCWGRx7wYhYC1S2RqFZTM5kQ,"A ver si os hacéis la misma pregunta con todas las colonias de Inglaterra, en especial me interesa Gibraltar...",[0. 0. 0. ... 0. 0. 0.],misma pregunta toda colonia inglaterra especi interesa gibraltar,0.0
38,3FFOxhBSYAs,UCm8OWz9JxMrhwnVA3vSFCDg,Tengamos en cuenta que la relación entre la península y Ceuta es bastante anterior a la conquista de ésta por parte de Portugal. El conde Don Julián fue parte implicada en la caída del reino visigodo a manos de los musulmanes.,[0. 0. 0. ... 0. 0. 0.],cuenta relaci nsula ceuta bastant anterior conquista part portug cond juli part implicada reino visigodo mano musulman,0.0
40,ik1H9JEL4FY,UC-on7XTs6jTT3ESosMOtAdQ,Muy buen tema. Pero no se entiende lo que dice porque se acelera y su lengua le falla. No se entiende bien.,[0. 0. 0. ... 0. 0. 0.],buen tema entiend dice acelera lengua falla entiend bien,0.0
41,ik1H9JEL4FY,UCvuNRPY3y43YaZvIYnpup8Q,Mi país empaña,[0. 0. 0. ... 0. 0. 0.],empa,0.0
42,ik1H9JEL4FY,UCNBcNNfdIpv9vWgpRumxGsA,¿ Y no se les ocurrió negociar un corredor para Llivia ?,[0. 0. 0. ... 0. 0. 0.],ocurri negociar corredor llivia,0.0
45,ik1H9JEL4FY,UCU9KSE1TAoz4gJTwfwMHJCg,Si fuera por España no existirá Cataluña a sin que Llovía existe gracias a los Catalanes,[0. 0. 0. ... 0. 0. 0.],espa existir catalu llov exist gracia catalan,0.0
47,ik1H9JEL4FY,UCdfJoNuI3mkx1ekBoFeHDBA,La bandera de Llivia se parece a la de Puerto Rico,[0. 0. 0. ... 0. 0. 0.],bandera llivia parec puerto rico,0.0
49,ik1H9JEL4FY,UCMeU21D66yYL_ZlI-QDU-Cg,Que mamadas mejor un bolado a ver quien se queda con ella y listo se quitan de tonterias,[0. 0. 0. ... 0. 0. 0.],mamada mejor bolado queda listo quitan tonteria,0.0
51,ik1H9JEL4FY,UCucqhhW2yOVSYPEC5FAXYFA,Esa isla es literalmente el hijo de una areja divorciada,[0. 0. 0. ... 0. 0. 0.],isla literalment hijo areja divorciada,0.0
53,ik1H9JEL4FY,UC86cy2YtoqUvpyW-W6-SpCw,España ni existía en el 1659.,[0. 0. 0. ... 0. 0. 0.],espa exist,0.0
54,ik1H9JEL4FY,UCPbKvmojMHr9B8iL3kMZkZg,😮... Jdr! También le robaron territorio como a México 😢,[0. 0. 0. ... 0. 0. 0.],tambi robaron territorio xico,0.0
55,ik1H9JEL4FY,UC78qIDPqrVdrCEJaJw0Qrlg,Gracias a Dios que Sánchez no les a puesto el ojo sino ya los hubiera regalado a los gabachos,[0. 0. 0. ... 0. 0. 0.],gracia dio nchez puesto sino regalado gabacho,0.0
59,ik1H9JEL4FY,UCG9eGnjeazhv_tx_cqZdj0Q,"Like si apareció tu casa 🤣

👇",[0. 0. 0. ... 0. 0. 0.],like apareci casa,0.0
61,BUbXwUbarNI,UCWwTVz_MYcB0LHEcns8YafQ,"Que no lo hablen , no los quiero en mi cultura . Viva México y el idioma español.",[0. 0. 0. ... 0. 0. 0.],hablen quiero cultura viva xico idioma espa,0.0
62,BUbXwUbarNI,UCXwA32mB9P2Azg7BaYU_Ggw,LO IMPORTANTE ES QUE BRASIL NO DEBERIA ESTAR EXISTIR,[0. 0. 0. ... 0. 0. 0.],important brasil deberia existir,0.0
