,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggressive
0,J_nkP-Fag6g,UCNXa_Cb6LQElxx7nTw-IdGA,Jajajajaa que pena da España está años luz de Francia italia o Alemania es un echó,[0. 0. 0. ... 0. 0. 0.],jajajajaa pena espa francia italia alemania,-1,0.20870107412338257,0.019767435267567635,0.08904226869344711
2,J_nkP-Fag6g,UCV3d3JwssKpADoDg5pHxEOQ,Con tanta euforia se nos olvida considerar las consecuencias que esto tendrá en la inflación!!!,[0. 0. 0. ... 0. 0. 0.],tanta euforia olvida considerar consecuencia tendr inflaci,-1,0.025412624701857567,0.006734302267432213,0.014029781334102154
4,J_nkP-Fag6g,UC9c7ejbyYWEdA4CoQacWPww,Rajoys 2 economics .. recortes nada más,[0. 0. 0. ... 0. 0. 0.],rajoy econom recort,-1,0.022308962419629097,0.028611140325665474,0.028457725420594215
6,J_nkP-Fag6g,UCn0gx5KxwKYEgdiDUHFWVhA,"como siempre la macro si
pero y la micro... despues
del 23j se vera ahora es
propaganda ademas por
ahi ya estan anunciando
otro colapso igual o peor
k el 08",[0. 0. 0. ... 0. 0. 0.],siempr macro micro despu vera ahora propaganda adema estan anunciando colapso igual peor,-1,0.03455578163266182,0.009681232273578644,0.01920822635293007
7,J_nkP-Fag6g,UCmj8AezgkrTcaf_ex_sxphg,"Y si queréis que siga así ya sabéis a quienes no hay que votar, por supuesto a la extrema derecha,,🤮🤮🤮",[0. 0. 0. ... 0. 0. 0.],quer siga votar supuesto extrema derecha,-1,0.0700652077794075,0.02271849289536476,0.05368444696068764
10,J_nkP-Fag6g,UCLMC_vKFSsTpJueSYtHxd0A,"La peor economía de toda Europa, sólo faltaría que bajará más...",[0. 0. 0. ... 0. 0. 0.],peor econom toda europa faltar bajar,-1,0.16440695524215698,0.015580757521092892,0.058695342391729355
13,J_nkP-Fag6g,UC4eMRsmZ41EtJGqE9O9eyqw,La verdad es que hay cerrar tele-sanchez,[0. 0. 0. ... 0. 0. 0.],verdad cerrar tele sanchez,-1,0.038602277636528015,0.015961578115820885,0.025299767032265663
19,J_nkP-Fag6g,UCvd5Og2AHIK61gNR-u6SeMA,Ahora llegará Feijóo a negar la mayor. Creo que voy a cambiar la política por otro entretenimiento que me cause menos ardores de estomago.,[0. 0. 0. ... 0. 0. 0.],ahora llegar feij negar mayor creo cambiar tica entretenimiento caus meno ardor estomago,-1,0.022742437198758125,0.014885637909173965,0.01427419576793909
21,S-7SNb0joQQ,UCXDK_ZlJFTNzTrNqelbhU1w,"Eso demuestra la capacidad que tiene la gente del país de Mexico, si no fuera por los corruptos ya lo hubiéramos hecho hace muchos años atras.",[0. 0. 0. ... 0. 0. 0.],demuestra capacidad gent mexico corrupto hubi ramo hecho hace atra,-1,0.06117718666791916,0.01464115735143423,0.02936316467821598
26,S-7SNb0joQQ,UCh4nyuF04IWeAkE9G3Nu0mg,"Steve hanke dijo que las monedas Latinoamericanas  son basura refiriéndose  a las tendencias en declive de las económias de Ecuador y argentina o Nicaragua la dólarizacion. 
El peso dijo era un
 Cancer pero solo ve los intereses de estados unidos ya que el dólar está perdiendo terreno frente a otras monedas emergentes. El yuan o los rublos rusos
El dólar ya no es la única moneda de libre comercio como lo fue antes
Estados Unidos se niega a perder importancia económica
El peso Mexicano por el contrario fue una moneda muy importante antes del dólar estadounidense y veo mucho futuro. América latina se está dólarizando pero la diferencia es que no son económias emergentes
Estados unidos pone en riesgo a estás económias cuando el dólar llegue a un colapso internacional y estos países no tengan una moneda propia, culpan al peso de las malas políticas económicas y la responsable es el fmei por dar crédito excesivo a un país que de por si ya estaba endeudado.
El peso Mexicano la única moneda fuerte frente al dólar...
El dólar es una maneda infravalorada sin ningúna garantía y en cualquier momento puede colapsar 
China, Rusia e india están liderando muchas restructuraciónes económicas.",[0. 0. 0. ... 0. 0. 0.],steve hank dijo moneda latinoamericana basura refiri ndose tendencia decliv econ mia ecuador argentina nicaragua larizacion peso dijo cancer solo interes unido perdiendo terreno frent moneda emergent yuan rublo ruso nica moneda libr comercio unido niega perder importancia econ mica peso mexicano contrario moneda important estadounidens futuro rica latina larizando diferencia econ mia emergent unido pone riesgo econ mia llegu colapso internacion moneda propia culpan peso mala tica econ mica respons fmei dito excesivo endeudado peso mexicano nica moneda fuert frent maneda infravalorada ning garant cualquier momento pued colapsar china rusia india liderando mucha restructuraci econ mica,-1,0.6727907657623291,0.041404180228710175,0.355800986289978
35,S-7SNb0joQQ,UCk_iPE1whkHbdN1_iasIcbA,"Que PIB bajo se pudra, lo que importa es la distribución de la riqueza, por años el PIB era enorme y la pobreza también, ahora baja el PIB, pero el dinero circulante en la población es mayor, así qué, ahora tenemos una economía local más dinámica.",[0. 0. 0. ... 0. 0. 0.],bajo pudra importa distribuci riqueza enorm pobreza tambi ahora baja dinero circulant poblaci mayor ahora econom local mica,-1,0.2625666856765747,0.015261371619999409,0.08307117223739624
36,S-7SNb0joQQ,UCQGCf1keg8AeUGMRG4qio4g,"AMLO es una riata, también su secretaria de hacienda Rogelio Ramírez de la O",[0. 0. 0. ... 0. 0. 0.],amlo riata tambi secretaria hacienda rogelio,-1,0.09438495337963104,0.07005195319652557,0.06554651260375977
41,IZbP5jBOcEU,UCS2EjmXu61uUKFsFB8WSlCg,Argentina seguira en su crisis economica ya hasta paeece perpetua y seguira decadas igual.,[0. 0. 0. ... 0. 0. 0.],argentina seguira crisi economica paeec perpetua seguira decada igual,-1,0.23920997977256775,0.020583290606737137,0.07450560480356216
46,IZbP5jBOcEU,UC7BJ744FjiSlDVxYj-G-QWQ,"México está muy caro, una inflación acelerada",[0. 0. 0. ... 0. 0. 0.],xico caro inflaci acelerada,-1,0.129047691822052,0.06990601122379303,0.07304000854492188
47,IZbP5jBOcEU,UCC6iupvclzOHdV6GRw_eswQ,"Estoy viendo ahora estas visiones que tiene el ""experto en finanzas"" sobre estos países, en el caso de Argentina, la realidad económica es mas problemática, en el caso de México, el crecimiento se espera arriba del 3%, contra el 1.6 % del ""experto"". Grave desviación que hace dudar de la capacidad de este SR.",[0. 0. 0. ... 0. 0. 0.],viendo ahora vision experto finanza caso argentina realidad econ mica problem tica caso xico crecimiento espera arriba experto grave desviaci hace dudar capacidad,-1,0.029797878116369247,0.012444197200238705,0.019234826788306236
48,IZbP5jBOcEU,UCpdkWHI7XlkIGmLaSmWjSTg,"analista de pacotilla, cnn🤮",[0. 0. 0. ... 0. 0. 0.],analista pacotilla,-1,0.04792022705078125,0.02938145585358143,0.06547896564006805
49,IZbP5jBOcEU,UCETstU8TT8wdboTHKfhruJA,"Jajaka se equivoco nivel dios este economista inepto, mexico si crecio todos estos mese em 2023 a esa taza",[0. 0. 0. ... 0. 0. 0.],jajaka equivoco nivel dio economista inepto mexico crecio mese taza,-1,0.04832038655877113,0.0180593840777874,0.03443295881152153
50,IZbP5jBOcEU,UChgfzX8hNj2pxQa4NkqROjg,Muchos economistas son especuladores y finalmente valieron pito en sus pronósticos. Inútiles,[0. 0. 0. ... 0. 0. 0.],economista especulador finalment valieron pito pron stico tile,-1,0.11608882248401642,0.012108540162444115,0.07943560183048248
54,IZbP5jBOcEU,UCXw3G1vU5SE35eTg8TfPm8Q,Son muy amarillentos sobre la información,[0. 0. 0. ... 0. 0. 0.],amarillento informaci,-1,0.038752153515815735,0.02146690897643566,0.03328928351402283
55,IZbP5jBOcEU,UCaXhNtvLcXy2St4neIF1Ovw,"toma mas juicio el periodista que el invitado, cnn son horribles",[0. 0. 0. ... 0. 0. 0.],toma juicio periodista invitado horribl,-1,0.024312486872076988,0.01895415224134922,0.02292061783373356
57,IZbP5jBOcEU,UCcXcRr5Te-PrJUztRoIHKMg,"Ya casi se va el mejor presidente que ha tenido México, siguen proyectando puros escenarios adversos y México sigue haciendo que se coman sus palabras. USA esta en crisis y, no se si sabian, pero México ya le extendio la mano para AYUDAR, sólo es que se coman el ego y por fin seamos naciones amigas. 🎉🇲🇽🎉",[0. 0. 0. ... 0. 0. 0.],casi mejor president xico siguen proyectando puro escenario adverso xico sigu haciendo coman palabra crisi sabian xico extendio mano ayudar coman nacion amiga,-1,0.04673657938838005,0.01015127170830965,0.02152571640908718
