,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggressive
2,uSk3vAQyxGU,UCond07yYOmfSXk6weV0C8Fw,Se llama el estado gastando recursos en burradas,[0. 0. 0. ... 0. 0. 0.],llama gastando recurso burrada,-1,0.11689992994070053,0.03308930993080139,0.05097965896129608
3,uSk3vAQyxGU,UCfN7swKDwZj9staB4-_08Jg,"No he visto a nadie alardear del buen sistema educativo de españa , la verdad",[0. 0. 0. ... 0. 0. 0.],visto nadi alardear buen sistema educativo espa verdad,-1,0.011397210881114006,0.006271254271268845,0.0068141925148665905
6,uSk3vAQyxGU,UCsba7Yd-ANMWue-HblN-DvA,"Si he visto muchos videos de supergeografia... Y la real, la educación en España es tan escasa que ni siquiera saben hablar colombiano jajajajajajaajajajajaja",[0. 0. 0. ... 0. 0. 0.],visto video supergeografia real educaci espa escasa siquiera saben hablar colombiano jajajajajajaajajajajaja,-1,0.10896412283182144,0.006354465615004301,0.03469528630375862
8,uSk3vAQyxGU,UCNzjqLCzkkWPuHECxAXJZCw,salud y sanidad publica caida en picado👎,[0. 0. 0. ... 0. 0. 0.],salud sanidad publica caida picado,-1,0.04347681254148483,0.013340026140213013,0.018689295276999474
13,uSk3vAQyxGU,UCBbk_tFsHdk7EVL66vKqsQA,Anoréxicos mentales,[0. 0. 0. ... 0. 0. 0.],anor xico mental,-1,0.03347935527563095,0.026337195187807083,0.025771308690309525
17,uSk3vAQyxGU,UCtakXWb95gVL9zJ7m71iBzg,"Tienes formacion, no educacion..yo no tengo educar a nadie..mi labor es enseñar y la del niño es aprender..",[0. 0. 0. ... 0. 0. 0.],formacion educacion educar nadi labor ens aprend,-1,0.019806550815701485,0.016040854156017303,0.02124648541212082
21,n0msceUbnaY,UCpkPKCq0l7w3RZbHbgngQ0A,Que penoso...,[0. 0. 0. ... 0. 0. 0.],penoso,-1,0.029117563739418983,0.016637010499835014,0.0206132959574461
22,n0msceUbnaY,UCseSiKAfRbb3ZTKWsUX-UHQ,"Es lo que propuso eh hizo, maría montessori en su época, el maestro es el gia. Trabajar desde la niñez",[0. 0. 0. ... 0. 0. 0.],propuso hizo montessori poca maestro trabajar,-1,0.028628958389163017,0.021720392629504204,0.017402339726686478
25,n0msceUbnaY,UCHp--RFIpkAeinhufhs4N-w,Porque huele mal estos cambios?? Será porque va con banderita de los pedofi… y con adoctrinamiento de ideología…,[0. 0. 0. ... 0. 0. 0.],huel cambio banderita pedofi adoctrinamiento ideolog,-1,0.03308916091918945,0.008860008791089058,0.020435625687241554
27,n0msceUbnaY,UC-u5UW9PbwmE9qg2oZhgSBQ,la educion es adoctrinamiento,[0. 0. 0. ... 0. 0. 0.],educion adoctrinamiento,-1,0.03928590938448906,0.013588610105216503,0.02211080864071846
29,n0msceUbnaY,UCEsxPEPDNE1G9NeNB8vOR5w,"La penúltima reforma del PSOE (LOGSE, LOE y LOMLOE) hasta la derrota final.",[0. 0. 0. ... 0. 0. 0.],ltima reforma psoe logs lomlo derrota final,-1,0.015776095911860466,0.015443637035787106,0.016746697947382927
30,n0msceUbnaY,UCdSyftpWsPnD-l_shTAanXQ,"Soy profesora de secundaria en un instituto público y esta ley es una vergüenza. La mayoría de alumnos ya no tienen ni comprensión lectora debido al uso excesivo de pantallas y a todas estas medidas chupiguays hechas por pedagogos y políticos de turno que no han pisado un aula en su vida. Cada vez se rebaja más el nivel, los alumnos pasan de curso con 14 asignaturas suspendidas y las notas se están regalando, todo para maquillar los resultados de este modelo educativo nefasto. Está claro que SÓLO memorizar no es la panacea, pero desprenderse de ""lo tradicional"" como si fuera un cáncer para aplicar esto... Es vergonzoso el nivel de manipulación de este reportaje. Y no, no soy ni política ni pedagoga ni periodista; soy profesora, perdonad por expresar mi opinión y la de gran parte del colectivo docente (de Secundaria por lo menos), ya que nuestra opinión no se nos pregunta nunca, ni parece que interese a nadie. Seguid así, vuestros hijos lo agradecerán (ah, no, que los lleváis a la privada)...",[0. 0. 0. ... 0. 0. 0.],profesora secundaria instituto blico verg enza mayor alumno comprensi lectora debido excesivo pantalla toda medida chupiguay hecha pedagogo tico turno pisado aula vida cada rebaja nivel alumno pasan curso asignatura suspendida nota regalando maquillar resultado modelo educativo nefasto claro memorizar panacea desprenders tradicion ncer aplicar vergonzoso nivel manipulaci reportaj tica pedagoga periodista profesora perdonad expresar opini gran part colectivo docent secundaria meno opini pregunta nunca parec interes nadi seguid hijo agradec llev privada,-1,0.07832697778940201,0.013956812210381031,0.05027984455227852
31,n0msceUbnaY,UCdoX1S73NStXHetY6ZxxGMw,Menuda vergüenza de ley y de gobierno,[0. 0. 0. ... 0. 0. 0.],menuda verg enza gobierno,-1,0.055001482367515564,0.015121819451451302,0.03294692561030388
35,n0msceUbnaY,UCsg_sJP8Hgb23Xjy2RIIwkw,"Hay profesores son ahora funcionario estan echos uno gandules no enseñan ,anulan",[0. 0. 0. ... 0. 0. 0.],profesor ahora funcionario estan echo gandul ens anulan,-1,0.03486179560422897,0.005951255094259977,0.024639395996928215
36,n0msceUbnaY,UCsg_sJP8Hgb23Xjy2RIIwkw,"Los niños con tmg o tp ,=problemas mentales por favor que estén en un centro especializado ,que no lo pongan con niños normales  en una aula que se trastornan mutuamente, que no aprenden asi, ni uno ni el otro seamos consecuente con los problemas mentales de estos niños",[0. 0. 0. ... 0. 0. 0.],problema mental favor centro especializado pongan normal aula trastornan mutuament aprenden consecuent problema mental,-1,0.013336889445781708,0.005778144579380751,0.012725588865578175
37,n0msceUbnaY,UCr1-G-bmveXkhzpyUstEDEw,"Hola
           Amigos 
                     Yo soy de Chile
        Y lo que encuentro inhumano que en el mes de Julio cuando es Verano en España, donde hay 35° grados  existan clases por ejemplo en los paises Sudamercanos el Verano (Enero y Febrero exista 2 meses de vacaciones) y en España apenas un mes de Vacaciones, pff nada que ver.",[0. 0. 0. ... 0. 0. 0.],hola amigo chile encuentro inhumano julio verano espa grado existan clase ejemplo pais sudamercano verano enero febrero exista mese vacacion espa apena vacacion,-1,0.3065395653247833,0.012155262753367424,0.11011680215597153
44,Mo36m3qCfs4,UC8-iolVwEAaht9LaTuLsRRw,Si tu perfil es una mueca entonces carecen de valores y autoestima,[0. 0. 0. ... 0. 0. 0.],perfil mueca entonc carecen valor autoestima,-1,0.056673094630241394,0.012094595469534397,0.028195643797516823
50,Mo36m3qCfs4,UCzFxHAdoixkDvzC1186QygA,Ti vida no tienen tendrá sentido alfinal de tus metas porq ya lo sabrás todo y estarás amargada♣️🩸,[0. 0. 0. ... 0. 0. 0.],vida tendr alfin meta porq sabr amargada,-1,0.2851860225200653,0.16215825080871582,0.15276707708835602
52,Mo36m3qCfs4,UCzFxHAdoixkDvzC1186QygA,Pollos de corral pensad en el. Mundo somos esclavos tooooodoooos tienes q crear un grupo antistema os están mintiendo,[0. 0. 0. ... 0. 0. 0.],pollo corral pensad mundo esclavo tooooodoooo crear grupo antistema mintiendo,-1,0.037564970552921295,0.009445542469620705,0.022232139483094215
55,Mo36m3qCfs4,UCsoIMWVVXzzFxcYSwWdiOag,La dos razones son sencillas. Por un lado el sistema napoleónico de oposiciones y por otro la enfermiza obsesión con los idiomas.,[0. 0. 0. ... 0. 0. 0.],razon sencilla lado sistema napol nico oposicion enfermiza obsesi idioma,-1,0.18381118774414062,0.03229886665940285,0.10863109678030014
61,jDP0IXHHcGc,UCD00mFPQ7D9YwXmMNHWK34A,"Pues que a los niños les den desde pequeños internet, youtube y rrss me parece un cáncer para su educación. Porque Internet hoy día ya no es seguro, por ejemplo: hay muchísimos usuarios acosadores en las rrss, los influencers dicen tacos y palabrotas muy fuertes, youtube kids ya causó bastante polémica en 2017 porque el contenido que hay ahí no es para niños, porque eran videos bastante bizarros y sin sentido, y si los niños ven todo esto que he dicho es un veneno para su educación, y lo digo por experiencia.",[0. 0. 0. ... 0. 0. 0.],pue pequ internet youtub rrss parec ncer educaci internet seguro ejemplo much simo usuario acosador rrss influenc dicen taco palabrota fuert youtub kid cau bastant mica contenido video bastant bizarro dicho veneno educaci digo experiencia,-1,0.030505346134305,0.010298687033355236,0.02429303526878357
63,jDP0IXHHcGc,UCugR2ZJqeqrFPgXlWCjoRtg,En ESPAÑA eso es imposible no interesa es un sistema hecho para la explotación y el fracaso ya que quieren un pueblo inculto y borrego para así poderlo explotar laboralmente e intelectualmente y decirles que la culpa del fracasó es de uno mismo mientras los explotadores causantes del fracaso y la desgracia a forrarse a costa de los  explotados sumisos....por qué le llaman ESPAÑA si es una estancia en el infierno.,[0. 0. 0. ... 0. 0. 0.],espa impos interesa sistema hecho explotaci fracaso quieren pueblo inculto borrego poderlo explotar laboralment intelectualment decirl culpa fraca mismo mientra explotador causant fracaso desgracia forrars costa explotado sumiso llaman espa estancia infierno,-1,0.17330023646354675,0.007680906914174557,0.12809054553508759
64,jDP0IXHHcGc,UCAz-7qLvvqw-Lx5iZ_kw1VQ,"Finlandia dicen que es uno de los países con más alcoholismo, desconozco si es verdad",[0. 0. 0. ... 0. 0. 0.],finlandia dicen alcoholismo desconozco verdad,-1,0.030192552134394646,0.010411128401756287,0.015693238005042076
65,jDP0IXHHcGc,UCiQLJ5VmYafqPcmM5OALKXg,"Avisale esto a los docentes mediocres de Uruguay,  que lo único que creen que es bueno es dar siempre los mismo y quieren loritos repetidores en lugar de seres pensantes.  Piensan solo en adoctrinar y no en enseñar y formar personas.",[0. 0. 0. ... 0. 0. 0.],avisal docent mediocr uruguay nico creen bueno siempr mismo quieren lorito repetidor lugar sere pensant piensan solo adoctrinar ens formar persona,-1,0.016587818041443825,0.008819108828902245,0.01712728850543499
66,jDP0IXHHcGc,UC1zrn-WA7sd22qG7uzMs4Ww,NADE DE BUENO YO VEO EN ESE PAIS...,[0. 0. 0. ... 0. 0. 0.],nade bueno pai,-1,0.022638563066720963,0.011840421706438065,0.017315657809376717
74,jDP0IXHHcGc,UC3zpLWPDBctULNW8DExGyCg,Pero en México los libros dicen que si una prost*tuta dice que un travesti le está robando el trabajo es discriminación 😂,[0. 0. 0. ... 0. 0. 0.],xico libro dicen prost tuta dice travesti robando trabajo discriminaci,-1,0.2974843680858612,0.01618017442524433,0.06795067340135574
78,jDP0IXHHcGc,UCvsGdcE9LXkT7ivItOVdhYA,"Eso tal vez pase en todo el mundo pero...

LAMENTABLEMENTE NUNCA PASARA EN CHILE",[0. 0. 0. ... 0. 0. 0.],pase mundo lamentablement nunca pasara chile,-1,0.06717642396688461,0.007847137749195099,0.023342853412032127
93,z2ngvWsUOTo,UC-Fv3OjxV9s7rav0fv6Nomg,es injusto todo esto.todos no tienen para pagar baucher,[0. 0. 0. ... 0. 0. 0.],injusto pagar baucher,-1,0.030135972425341606,0.02146906778216362,0.026535764336586
96,z2ngvWsUOTo,UCUnjytvQRpScZ48Qp8BjDIA,"Ese sistema es un fracaso, ni para un segmento .
Ni la dolarizacion pregunten a Ecuador como están pasando,  cuantos dolares cobra un jubilado
Aclaro ,No soy k y no soy trolls",[0. 0. 0. ... 0. 0. 0.],sistema fracaso segmento dolarizacion pregunten ecuador pasando cuanto dolar cobra jubilado aclaro troll,-1,0.11020853370428085,0.012949391268193722,0.04964417964220047
100,z2ngvWsUOTo,UCk6luFd6S9VJNrqtMHplzsA,"Eu no quiero ser un ignorante pero..
¿Cual es la diferencia entre un voucher y colegios privados con subvención del gobierno?
Porque cuando dicen que no van a privatizar los colegios realmente si se privatizan nada mas que el gobierno lo paga por vos.

Si alguien sabe sobre el tema por favor que me lo explique.",[0. 0. 0. ... 0. 0. 0.],quiero ignorant diferencia voucher colegio privado subvenc gobierno dicen privatizar colegio realment privatizan gobierno paga alguien sabe tema favor expliqu,-1,0.020196054130792618,0.006570816971361637,0.016271330416202545
115,qdAhjVTkqWc,UCfMPfBmplVaONOWYqHw3o_w,CARIÑO LAS PERSONAS Y SEGUIDORES O TODOS SON SENSATOS POR MAS QUE HAGAS LAS COSAS BIE O LO INTENTES SIEMPRE HABRAN CRITICONES Y TOXICOS,[0. 0. 0. ... 0. 0. 0.],cari persona seguidor sensato haga cosa intent siempr habran criticon toxico,-1,0.10153964906930923,0.017752928659319878,0.04370232671499252
136,xa9xI5j6INk,UCRQIbD0qP7g1H-uSC5KsNiw,este viejito me saco de la depresion en 5 minutos,[0. 0. 0. ... 0. 0. 0.],viejito saco depres minuto,-1,0.044520799070596695,0.025515828281641006,0.03098800592124462
174,716rG1Br38A,UC-gBd8fPm3HNdEpWuCWsI8A,En españa el profesorado o bien está mal formado o se trata de un sistema malintencionado,[0. 0. 0. ... 0. 0. 0.],espa profesorado bien formado trata sistema malintencionado,-1,0.020763155072927475,0.009210205636918545,0.015575733967125416
189,BBOnU52CuI4,UCFtX97kzftGV7-O232op_Dw,"Es más difícil sacarse unas buenas oposiciones que hacer un doctorado, y se pasa fatal. Como no han pasado por oposiciones, dramatizan lo de la tesis. Sí, he visto a doctores en activo con trastornos psicológicos acusados... terminan un poco tontos de tanto estudiar. Luego se convierten en profesores universitarios y en catedráticos...🎉🎉🎉 un sueldazo de 3000 € en adelante. No veas qué pena me dan...😛",[0. 0. 0. ... 0. 0. 0.],sacars una buena oposicion hacer doctorado pasa fatal pasado oposicion dramatizan tesi visto doctor activo trastorno psicol gico acusado terminan tonto estudiar luego convierten profesor universitario catedr tico sueldazo adelant vea pena,-1,0.09701482206583023,0.010065416805446148,0.044071804732084274
