,canal_ID,video_ID,video_Title
0,UC7QZIf0dta-XPXsp9Hv4dTw,T-smnnEAdM0,AMNISTÍA: La COMISIÓN EUROPEA pide al GOBIERNO más INFORMACIÓN sobre la futura LEY | RTVE
1,UCVimQoXNCZuEnZRVAbuYMiw,0HVzuoDgkkY,"Felipe González, sobre la amnistía: “Es el Estado el que pide perdón, no el que perdona”"
2,UCwtM4HFU4o6E41cKpvsHJVg,aXLB8r1t8ec,Ley de Amnistía: ¿ESPAÑA podría PERDER FONDOS de la UNIÓN EUROPEA?
3,UC7QZIf0dta-XPXsp9Hv4dTw,ESCHnb7VfnY,AMNISTÍA: El PP acusa a SÁNCHEZ de poner la CONSTITUCIÓN al servicio del INDEPENDENTISMO | RTVE
4,UCVimQoXNCZuEnZRVAbuYMiw,-xFqEigRo4w,"¿Se puede aprobar una ley de amnistía? Difícil, pero no imposible"
5,UC7QZIf0dta-XPXsp9Hv4dTw,r5FCVyuH99M,AMNISTÍA: PARTE del CGPJ pide un PLENO EXTRAORDINARIO para RECHAZAR la LEY | RTVE
6,UCyoGb3SMlTlB8CLGVH4c8Rw,9bcqPkMUO78,Bruselas analiza la ley de amnistía con &quot;objetividad&quot; e &quot;independencia&quot;
7,UC7QZIf0dta-XPXsp9Hv4dTw,nfYacdKKOUc,AMNISTÍA: ARAGONÈS y GARRIGA protagonizan un BRONCO DEBATE en el PARLAMENT | RTVE Noticias
8,UCnsvJeZO4RigQ898WdDNoBw,wE_mhtupxhI,¿Qué es la amnistía y en qué se diferencia del indulto del procés de Cataluña? | EL PAÍS
9,UC7QZIf0dta-XPXsp9Hv4dTw,bLYiYTQNxO0,LEY AMNISTÍA: El PSOE la REGISTRA en el CONGRESO SIN sus SOCIOS y la explica los DETALLES I RTVE
10,UC8FOhz3iXhF1iqqzAFfBjmA,NwqXRvcknFE,Las cuatro veces que Sánchez negó la amnistía «por convicción personal y política»
11,UC7QZIf0dta-XPXsp9Hv4dTw,gnWq3ecNZPU,AMNISTÍA: Los PROGRESISTAS del CGPJ se plantean NO ACUDIR al PLENO para RECHAZAR la LEY | RTVE
12,UCvmXCP4_uD4Imt8npcFXZ4A,Twp0b-8LR8Y,Ley de amnistía: ¿Qué es? ¿Es posible su aprobación?
13,UC7QZIf0dta-XPXsp9Hv4dTw,Extyq1E2jqA,LEY AMNISTÍA: El GOBIERNO dice que es &quot;IMPECABLE JURÍDICAMENTE&quot; y pide CONFIANZA | RTVE Noticias
14,UC7QZIf0dta-XPXsp9Hv4dTw,RyK3eOq7vO4,INVESTIDURA: SÁNCHEZ dice que “SERÁ CLARO&quot; sobre la AMNISTÍA &quot;CUANDO TOQUE&quot; y NO PREVÉ ELECCIONES
15,UCnsvJeZO4RigQ898WdDNoBw,RYvRgd0kOcU,DIRECTO | Debate en la Eurocámara por la ley de amnistía española
16,UC7QZIf0dta-XPXsp9Hv4dTw,JK_t8qgiP8I,INVESTIDURA SÁNCHEZ: ZAPATERO defiende la AMNISTÍA y dice que “NO es INCONSTITUCIONAL” | RTVE
17,UC7QZIf0dta-XPXsp9Hv4dTw,dcTvQcPX9Us,AMNISTÍA: PSOE y JUNTS alcanzan un ACUERDO sobre la LEY y la INVESTIDURA de SÁNCHEZ se allana | RTVE
18,UCoA66gIqiExUIjwyw1cB9Dw,nu7BI4OXaFc,AMNISTÍA A PUIGDEMONT: Sánchez Sin Escrúpulos
19,UCUdOoVWuWmgo1wByzcsyKDQ,imxbMHG9A4M,La polémica ley de amnistía en España que permitirá seguir al actual presidente Pedro Sánchez
20,UCnsvJeZO4RigQ898WdDNoBw,F0NsQZPC_Y8,Pedro Sánchez defiende la amnistía en el comité federal del PSOE por “el interés de España&quot; |EL PAÍS
21,UC7QZIf0dta-XPXsp9Hv4dTw,4bI8YZN2AUQ,CONCENTRACIONES AMNISTÍA: CIENTOS DE MILES DE PERSONAS &quot;POR LA IGUALDAD&quot; a petición del PP | RTVE
22,UC8FOhz3iXhF1iqqzAFfBjmA,nKffUsqKvak,Los Fiscales piden a Bruselas que si Sánchez aprueba la amnistía actúe con España como con Polonia
23,UC7QZIf0dta-XPXsp9Hv4dTw,WsSb2j2VWm8,INVESTIDURA: El PP califica de HUMILLACIÓN el ACUERDO de ERC y PSOE sobre la AMNISTÍA | RTVE
24,UC7QZIf0dta-XPXsp9Hv4dTw,WWDqNparDXg,AMNISTÍA: PSOE se DESMARCA de sus HISTÓRICOS y criticas a GUERRA por su COMENTARIO sobre DÍAZ | RTVE
25,UC4O4jH5PBsZagQ6aPWPibRQ,FBHH4ee-rco,La polémica ley de amnistía en España que permitirá seguir al actual presidente Pedro Sánchez • RFI
26,UCwd8Byi93KbnsYmCcKLExvQ,Yh6-zjK1DJE,ÚLTIMA HORA | El Gobierno de España se adelanta: irá a Europa a explicar la ley de la amnistia
27,UCT4Jg8h03dD0iN3Pb5L0PMA,ZCFBcnacZ5w,Acuerdo por ley de amnistía desata protestas en España
28,UC7QZIf0dta-XPXsp9Hv4dTw,gcunCvYGwf0,AMNISTÍA: JUNQUERAS y OTEGI piden AVANZAR en el INDEPENDENTISMO en ACTO del SINN FÉIN | RTVE
29,UC7QZIf0dta-XPXsp9Hv4dTw,C5nhMAQCw0U,AMNISTÍA: Voces CRÍTICAS del PP NO VEN &quot;ACERTADA&quot; la CONVOCATORIA tras las palabras de AZNAR | RTVE
30,UC7QZIf0dta-XPXsp9Hv4dTw,MrFyo7S0kvQ,INVESTIDURA: IBARRA compara la AMNISTÍA con una VIOLACIÓN y ALEGRÍA le pide &quot;CONTENCIÓN&quot; | RTVE
