,canal_ID,video_ID,video_Title
0,UC7QZIf0dta-XPXsp9Hv4dTw,J_nkP-Fag6g,"ECONOMÍA: El BANCO de ESPAÑA MEJORA su PREVISIÓN de CRECIMIENTO y la sitúa en el 2,3% | RTVE"
1,UCT4Jg8h03dD0iN3Pb5L0PMA,S-7SNb0joQQ,El atractivo y la política económica de México dan alas al &quot;superpeso&quot;
2,UC_lEiu6917IJz03TnntWUaQ,IZbP5jBOcEU,"El rumbo económico en México, Argentina y Brasil en 2023"
3,UC7QZIf0dta-XPXsp9Hv4dTw,OcP7DoOU8NQ,OCDE: AUMENTAN las PREVISIONES de CRECIMIENTO de la ECONOMÍA española | RTVE Noticias
4,UCT4Jg8h03dD0iN3Pb5L0PMA,dRewm-wvNRU,Qué dicen los expertos del plan de Milei para “dinamitar” el Banco Central y dolarizar la economía
5,UC_lEiu6917IJz03TnntWUaQ,Ql6Ks3sL1H8,¿Qué opción tendría Argentina para estabilizar su economía?
6,UC9fkm72wx-bBK-le5rYh2Fw,JLGAyU3dy2E,BCUEduca | ¿Qué es la economía?
7,UCwd8Byi93KbnsYmCcKLExvQ,WSixY4rBDBA,¿Por qué la economía de España aguanta mejor que el resto de Europa? ¿Se salvará de la recesión?
8,UC_lEiu6917IJz03TnntWUaQ,aQbX0E76Dfo,¿Recesión o una larga inflación?: las proyecciones sobre la economía de EE.UU.
9,UCba3hpU7EFBSk817y9qZkiA,M6i_m9spH_8,"Dólar, inflación y deuda: la economía que se viene; el análisis de Claudio Loser, economista"
10,UCT4Jg8h03dD0iN3Pb5L0PMA,tEtzds-bNMo,"Un tercio de la economía mundial estará en recesión en 2023, según FMI"
11,UC_lEiu6917IJz03TnntWUaQ,oOprOCLP9Hs,¿Qué podemos esperar de la economía este último trimestre?
12,UCT4Jg8h03dD0iN3Pb5L0PMA,K-7XipIi8q0,¿Qué pasó en la economía esta semana?
13,UCT4Jg8h03dD0iN3Pb5L0PMA,5MNx_JlSjiA,Las principales noticias económicas de la semana
14,UC7QZIf0dta-XPXsp9Hv4dTw,RGM-VkPMGgI,"UE: PREVÉ para la ECONOMÍA de ESPAÑA un CRECIMIENTO del 1,4% en 2023 y esquiva la RECESIÓN | RTVE"
15,UCBLCvUUCiSqBCEc-TqZ9rGw,karg66JmNlg,"&quot;España, la economía que más crece del planeta&quot;"
16,UC3bRVqfLpexxvzmoIyYc-KQ,Gy3nOLFIQRA,⚠️¿POR QUÉ va a haber una GRAN CRISIS económica en 2023 y cómo prepararte para ella?⚠️
17,UCfZnmQp92JqFxB3CAlDsrPg,6uk7aVK7BYQ,El triple aviso del Banco de España a nuestra economía
18,UCFxHplbcoJK9m70c4VyTIxg,nJQjBoBOtfQ,¿Cómo va México en crecimiento económico? | Así Vamos
19,UC7QZIf0dta-XPXsp9Hv4dTw,-IcHIwS-mSc,"PIB: La ECONOMÍA española CRECIÓ un 5,5% MEJORANDO las previsiones más POSITIVAS | RTVE Noticias"
20,UCoA66gIqiExUIjwyw1cB9Dw,QZoXn4tBlqw,No. España no crece. Se endeuda. #crisis #economia #inversiones #macroeconomía
