,canal_ID,video_ID,video_Title
0,UC63B0Nnt7KE1d6EEUp-cB8Q,uSk3vAQyxGU,La Educación Española es una Mierd4 #delox #cryptospain #smae_podcast #españa #educación #shorts
1,UC7QZIf0dta-XPXsp9Hv4dTw,n0msceUbnaY,LA NUEVA EDUCACIÓN: ¿En qué se basa este nuevo modelo de enseñanza? | RTVE Noticias
2,UCTPjL4npF90nR1MEZMY352g,3gZaRjYjiik,¿QUÉ OPINAN LOS ESTUDIANTES DEL SISTEMA EDUCATIVO ESPAÑOL?
3,UCGa_5Q8vErDg09zN7x6lTYg,Mo36m3qCfs4,"Alumna de 10 CRITICA el SISTEMA EDUCATIVO | Problemas de la EDUCACIÓN en ESPAÑA, por qué no funciona"
4,UCOf6zup378oLETDmdJKvh5A,jDP0IXHHcGc,¿Conocías el sistema educativo de Finlandia?
5,UC70cFXqSdlnyA6CrbzS5wvQ,z2ngvWsUOTo,MILEI SOBRE LOS VOUCHERS A LA EDUCACIÓN
6,UCube3_4lgEGjAUcYYv7pMwA,w2D5fdef_wY,La VERDAD Sobre el Sistema Educativo Español 🇪🇸
7,UC30I0ZZ54oOVBYeXJtafYIA,qdAhjVTkqWc,ESCUCHA: ¿Cómo es la educación en España? || Aprender español
8,UCI6QcXatdaEAaRTRjl3dc0w,xa9xI5j6INk,"Un mensaje de sabiduría. Ramón Bayés, psicólogo y escritor"
9,UCI6QcXatdaEAaRTRjl3dc0w,wWPxdsZ2oyg,"Versión Completa. &quot;Los niños merecen y necesitan que cambiemos la educación&quot;. Sonia Díez, educadora"
10,UCArQLk5v9FyROy5aD8915OA,716rG1Br38A,Sistema Educativo en España - ¿Cómo funciona? ¿Cuáles son los niveles? | Explicación Completa🇪🇸
11,UC0qUQ1gy_1APN2yvXpujXsQ,2-8-4b9DiGw,"Desde el aula, nuevo podcast sobre educación // Escuchalo en Spotify"
12,UCnsvJeZO4RigQ898WdDNoBw,1Gapu8NEHO4,EDUCACIÓN | ¿En qué consiste el aprendizaje por proyectos? | España
13,UCsT0YIqwnpJCM-mx7-gSA4Q,BBOnU52CuI4,"Como hacer 1 doctorado: lo que no te han contado, ni te contarán | José Luis Arroyo | TEDxManzanares"
14,UC7Mt3CBJCDn6ptaTM10iq7Q,lNiIrJAtJCw,Sistema Educativo en España: desde Guarderia hasta Universidad! #españa #emigraraespaña
15,UC4Nd2eNT45ByX-N7u_zoRmg,i8ZMjvnIUjo,Nuevo modelo educativo
