,canal_ID,video_ID,video_Title
0,UC7QZIf0dta-XPXsp9Hv4dTw,fN48ESWAa_g,"IRENE MONTERO: EDUCACIÓN SEXUAL para la MINISTRA, PEDERASTIA para VOX y Cs que piden su CESE | RTVE"
1,UCT4Jg8h03dD0iN3Pb5L0PMA,PmgbmeGMRRw,¿Igualdad de género?
2,UCJKjzEoy91UYS-bZLc4CLCQ,tiv5h0C_r_g,La igualdad de género es injusta - Agustín Laje
3,UCF2oqnugs_-7JTp--XIt9rA,2xyG1eptb6U,Doble moral de las mujeres (igualdad de género)
4,UCh1OgMIWOlDBhFEYL3DHWjQ,xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio
5,UCJKjzEoy91UYS-bZLc4CLCQ,WtVBQrzvQok,Feminista trata de darme clase de feminismo y sale mal - [Agustín Laje]
6,UCI6QcXatdaEAaRTRjl3dc0w,iyCHxB7wdeQ,¿Por qué existe aún desigualdad entre hombres y mujeres? EP8: El desafío de la Igualdad
7,UC1KFgMi-KVzNKnvYIkFxqCg,KDCmk1mGU6k,LA LEY TRANS. MI OPINIÓN
8,UC84t25xqhPEPpGY7NBZJ_eA,i_t19HsTKZo,Santiago Abascal sobre la violencia de género: &quot;Busca la guerra de sexos y criminalizar al hombre&quot;
9,UCcHtke0raf8vNYLM1Hbq3Jw,MZ4NVK3y7w4,"Chica vs chico, otro pleito de igualdad de género"
10,UClLLRs_mFTsNT5U-DqTYAGg,XSLEuXR-lOQ,Seis minutos de broncas: el vídeo que resume el tenso clima político en España
11,UC84t25xqhPEPpGY7NBZJ_eA,MGCCxSW-ceU,"Mayores y jóvenes, ante el sexo: la experiencia real que enfrenta el amor - El Hormiguero"
12,UCI6QcXatdaEAaRTRjl3dc0w,gl6c1kLrJnU,"Cómo educar en la igualdad de género. Marina Subirats, socióloga"
13,UCnsvJeZO4RigQ898WdDNoBw,SB3b64w2mzU,DEBATE 23J | Abascal ataca los supuestos beneficios sociales de la Ley Trans | EL PAÍS
14,UCG7riaPPOKsezc5wPxanoUg,O7G74dt4cKU,Hombre G0L-PEA a mujer porque cree en la igualdad de género: Es malo para el medio ambiente ?
15,UCnsvJeZO4RigQ898WdDNoBw,iokz2R67Azk,LEY DE VIOLENCIA DE GÉNERO | Claves de la ley que critica VOX en cinco minutos | Explainer
16,UCacWETW7N0ohwNaWJgOQBpA,2Boi4KZGHjQ,🟣 Esta la opinión de los españoles sobre el contexto actual de la mujer a través de Sigma Dos
17,UCwtu3Ul-eiQEN81HNN6RQtw,KeOl9-fQJOs,La actualidad en Violencia de Género en España | Susana Gisbert
18,UCUdOoVWuWmgo1wByzcsyKDQ,5EC65XLQjTo,España aprueba la &#39;ley trans&#39;: las claves para la salud de mujeres y personas LGBTI • FRANCE 24
19,UC7QZIf0dta-XPXsp9Hv4dTw,n0msceUbnaY,LA NUEVA EDUCACIÓN: ¿En qué se basa este nuevo modelo de enseñanza? | RTVE Noticias
20,UC84t25xqhPEPpGY7NBZJ_eA,AWH_O6mnQyA,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0
21,UCsT0YIqwnpJCM-mx7-gSA4Q,VV-i6nzyrJs,¿Cómo son las víctimas de violencia de género? | Lorena Álvarez | TEDxTukuyWomen
22,UCEIuOP1ex5JjB4JhtJ4Sbjg,j7f_c5XhX4s,NI MÁS NI MENOS ¿Qué es la igualdad de género?
23,UCW_bztVayeDCLYe3ea0TxBA,q6HpwjlgAMw,1974. Igualdad de género. No te pierdas el final. ¿Qué opináis?
24,UCRwA1NUcUnwsly35ikGhp0A,LZXKcycf9pI,Polémica por periodista que pronuncia correctamente nombres en español | Noticias Telemundo
25,UC7QZIf0dta-XPXsp9Hv4dTw,HpDZeiwRRo0,TRUMP REVELA lo que le DIRÍA A PUTIN si fuese PRESIDENTE de EE.UU. | RTVE Noticias
26,UCUdOoVWuWmgo1wByzcsyKDQ,-O5ogJ032a4,España al frente en la lucha contra la violencia de género
27,UC7aT3v_pMF2nOoaNpBVc-EA,TS1dNRsmkP0,VERGÜENZA HISTÓRICA 😠 CRÍTICA de NAPOLEÓN (2023)
28,UC06JTzRaYRy7M6Y6KaNLCCw,vH_2q9_W7ZE,La realidad de la violencia contra la mujer en España
29,UCrspXDsTGqrFI9C-k9azQew,bE3r26x-VJM,Ahora ya España es otra
30,UC84t25xqhPEPpGY7NBZJ_eA,TxfeDpK9WN0,¿Cuánto pesan los prejuicios? - El Hormiguero
31,UCXISYK3xagaK5DHnhQ4X0hw,39atwaZlPrw,Tremendo enfado de Nadal por una pregunta sobre su mujer | Diario AS
32,UC4Nd2eNT45ByX-N7u_zoRmg,mSui_zzRNWM,El derecho a la igualdad entre hombres y mujeres
33,UCsT0YIqwnpJCM-mx7-gSA4Q,VVF2rGDwNhY,Las primeras señales de la violencia de género | Marina Marroquí | TEDxTarragona
34,UCnsvJeZO4RigQ898WdDNoBw,qh7WNAG117w,Un pastor evangélico pisa una bandera LGTB en televisión
35,UCSwXe2WReWhNdjKRTh92b9g,-cLGl6IPITo,COVID 19| ¡ALERTA MUNDIAL! ¿VACUNADOS MORIRÁN EN 2 AÑOS?: EFECTO SECUNDÁRIO MÁS GRAVE DE LAS VACUNAS
36,UCFxHplbcoJK9m70c4VyTIxg,NyvWpGl8YVU,Estrategia curricular en igualdad de género en Edomex
37,UC43bpd6hAE2C1zf4O_N8y1Q,rYYYrPivQYM,&quot;IGUALDAD de GENERO&quot;👀🥊#deportes #igualdad #fuerza
38,UCKN4XH2Rt8AQ93S0VfdOSKw,dSvOXffQsrI,#shorts Agustín Laje: Reflexiones sobre la Igualdad de Género en la Actualidad 👌👌👌
39,UCWeyNpn7pSw-XVyS88dGzRA,nD74n13VOgI,GÉNEROS DE OPINIÓN | Periodismo
40,UCJKjzEoy91UYS-bZLc4CLCQ,,Agustín Laje Arrigoni
41,UCTmmXhWPT8ftMBKz1SasZ6Q,9mH4I5HUK14,¿Qué es la perspectiva de género y para qué sirve?
42,UC84t25xqhPEPpGY7NBZJ_eA,CwD7bSlVdbg,Karol G cuenta lo que hay detrás de la canción con Shakira - El Hormiguero
43,UCUS73_bjTYwBFAfXbvIjM8Q,ZLaha2xRYNU,Las partidas de Violencia de Género sufragan un Festival de Perreo Feminista
44,UCCZpm6436NiU__lcBAlEZmQ,jjkjaoeYx58,Igualdad de género 👧🧑🏻 ODS 5 👩‍💼 Objetivos de desarrollo sostenible para niños
45,UC84t25xqhPEPpGY7NBZJ_eA,HfgF9QonLe0,"Estulin: “Para que la élite sobreviva, la mayoría de nosotros debe morir” - Al Rincón"
46,UCsT0YIqwnpJCM-mx7-gSA4Q,Fd6UyLRmB-I,"Igualdad de género, una oportunidad para todos. | Rosalba Hernández | TEDxArroyoDeLaPlata"
47,UCI6QcXatdaEAaRTRjl3dc0w,HOY0CSVAA4w,"Versión Completa. ¿Para qué sirve la ética? Adela Cortina, filósofa"
48,UCsT0YIqwnpJCM-mx7-gSA4Q,gzlcaeSgt1E,Hablemos de sexualidad: ¿Qué es ser normal? | Raquel Rottmann Rottmann | TEDxTukuyWomen
49,UCGXbLrVe8vnkiFv7q2vYv3w,AYwc91H8C2w,Vox avisa de que quiere derogar la Ley de Violencia de Género
50,UCrspXDsTGqrFI9C-k9azQew,V9iDCcIfDe4,España es #OrgullosamenteDiferente 20&#39;&#39;
51,UCGXbLrVe8vnkiFv7q2vYv3w,AYwc91H8C2w,Vox avisa de que quiere derogar la Ley de Violencia de Género
52,UCY-a_fIm1kA0WayuVsQEKIg,UHgU4tZdWko,Estereotipos de género.
53,UCUP6qv-_EIL0hwTsJaKYnvw,MqYU8yZZ6fA,La violencia de género en México es ESCALOFRIANTE | 850 mujeres son víctimas DIARIAMIENTE
54,UCVCleqJyTfTyfi45uFYnmPA,nWf-Ionx6V8,Manejado por Mujeres: Líderes de opinión en la industria de flotas
55,UCI6QcXatdaEAaRTRjl3dc0w,wF1B0jVWhtw,"Versión Completa. Manual para crear relaciones sanas. Arun Mansukhani, psicólogo y sexólogo"
56,UCIS-nkSwTueN6uyst_IH3ZQ,iTliL-loxuk,Encuesta de Metroscopia sobre la Igualdad de Género en la Abogacía Española
57,UCnsvJeZO4RigQ898WdDNoBw,APF2wBZizo4,¿Cómo ven los niños la igualdad?
58,UCM_a1s5WdPcBEt0WY18ComA,hscrwcRJUXY,Investigan muerte de mujer en un centro de cirugía estética de Miami
59,UCzSz51ZH79cp5jvSkw_tJGA,Zl_GlPquElI,Guerra - Residente (Video Oficial)
60,UCI505QHIvSgj8lbHY7ygE1A,mzfTlTv-2Po,Aitana - Ni Una Más (video oficial)
61,UCWeyNpn7pSw-XVyS88dGzRA,nD74n13VOgI,GÉNEROS DE OPINIÓN | Periodismo
62,UCDUxOvbwu1bnyD7AucP0ESw,2AEpBHyTZXM,El desgarrador testimonio de víctima de tráfico sexual | Al Rojo Vivo | Telemundo
63,UCNSnbYMrsV65y5biRj1KtJQ,XnuuvDT2xxY,Diego Torres - Iguales (Official Video)
64,UCI6QcXatdaEAaRTRjl3dc0w,v4KplEgXI9c,"¿Cómo funciona el cerebro de un adolescente? David Bueno, biólogo y genetista"
65,UC7QZIf0dta-XPXsp9Hv4dTw,SfBrzTr0OXY,VIOLENCIA de GÉNERO: CRECE el NÚMERO de JÓVENES que la considera un INVENTO IDEOLÓGICO | RTVE
66,UC5qFAfEOzoaSOS6At8ixYoA,3iSnwlW-1LI,Melendi - Gracias Por Venir (Video Oficial)
67,UCjVxVkioI-W_H_kZy1sJk1A,xMV_dm1yKCA,Igualdad entre mujeres y hombres.
68,UC32TdiIsh_5X8tKr_9rKQyA,yyeTEprPhUs,Yahritza y Su Esencia: de trabajadores agrícolas a revelación de la música mexicana
69,UC-yJ1V3fN75A4dlR6dgRgEg,YWQf6Oo6HpE,💥 Una ATERRADORA PREDICCIÓN para 2030 (El gran reinicio) |👉 CÓMO puedes PROTEGERTE?
70,UCbCAovo9vG_ipAFUFteyeZg,66EtERwjgrw,CONSECUENCIAS DE LA IDEOLOGÍA DE GÉNERO. Habla la Psiquiatra Marian Rojas.
71,UC70cFXqSdlnyA6CrbzS5wvQ,M761VTU8MWc,MILEI DESTRUYÓ EL MITO DE LA BRECHA SALARIAL
72,UCiyYBKaC6WGIjr6ESE3d_VA,IOWPNUkRpn8,"Informe Jóvenes españoles 2021 | Igualdad de género, una de sus banderas generacionales"
73,UCN_CWpl70T3DgnfS9HjMfKQ,Ut0ucA4z_RM,Luca ¿La primera película gay de Disney/Pixar ?
74,UC7QZIf0dta-XPXsp9Hv4dTw,dd4E_30Oq-Y,25N: MILES de PERSONAS claman en ESPAÑA contra la VIOLENCIA de GÉNERO | RTVE Noticias
75,UC7QZIf0dta-XPXsp9Hv4dTw,nLC0ehH_yPU,LIA THOMAS: Se reabre el DEBATE sobre las DEPORTISTAS TRANS en COMPETICIÓN | RTVE Noticias
76,UC04q-yRx9osUzNQD0fUSOsQ,i57aPy5Jl3w,Discriminación de  género
77,UCgOxuXhRaOLL94mpgbresmA,fvjBi0jslmU,ODS 5 Igualdad de Género ¿Qué puedo hacer?
78,UCd-g9VUzOoWpGbuuzC3mYTA,UZgeePPaAy0,La trama de la desigualdad laboral
79,UCUjrDJokSX8JavRwy5iUOkA,8AiulsAi_bM,Franco Escamilla - Monólogo No somos iguales
80,UCUBIrDsIVzRpKsClMlSlTpQ,LOgy5j2Z8vw,Cómo se desarrollaron los ataques del 11-S y qué consecuencias tuvieron | BBC Mundo
81,UCUdOoVWuWmgo1wByzcsyKDQ,bx28c5Gu91s,El Salvador: las medidas del presidente Nayib Bukele en contra de las pandillas
82,UCJf-KNT0OsGErpHDZF2N0vA,97LHnT7jdPY,Género de opinión. Editorial
83,UCnsvJeZO4RigQ898WdDNoBw,YgYspHBFrYQ,25N | ¿Por qué van enmascaradas estas mujeres a la marcha contra la violencia de género? | EL PAÍS
84,UCiIP-Mgn4_KtYJIfF3pzGiw,d36phzZib90,Estereotipos y Roles de Género
85,UCT4Jg8h03dD0iN3Pb5L0PMA,23_0yPHmrDM,&quot;Sodoma y Gomorra&quot; en África
86,UC6nMOIbArzvza6npl0irIWw,xvVLWSsKjkI,Mägo de Oz- Fiesta pagana 2.0 (Videoclip oficial)
87,UCh_chnQ7OJPQ8mZ7vbXFpIQ,6e8L1o1GziY,La iniciativa ‘Mujeres que rompen barreras’ recorre las principales ciudades españolas
88,UCZ_zyuKwlmW8mYvZ0-kWHPQ,qt2QRg1bD_s,"Luisa, 22 años. Superviviente de violencia de género, España (Fundación Ana Bella)"
89,UCUdOoVWuWmgo1wByzcsyKDQ,uyBUW2emzeM,Nayib Bukele cumple tres años como presidente de El Salvador con 91% de aprobación ciudadana
90,UCI6QcXatdaEAaRTRjl3dc0w,ROax8vdhuEQ,"V. Completa. Todo lo que siempre quisiste preguntar a un psicólogo. Roberto Colom, psicólogo"
91,UCP_AMovt7KqrXgEDffDP9GA,UDiSJajN2s0,"SENSIBILIZACIÓN SOBRE IGUALDAD Y VIOLENCIA DE GÉNERO, CONMEMORANDO EL 25N - 2023"
92,UClLLRs_mFTsNT5U-DqTYAGg,ECJMTTsN6BM,Testimonios 8-M: &quot;Sufrí discriminación laboral&quot;
93,UCI6QcXatdaEAaRTRjl3dc0w,41el0jzy4rg,"Un decálogo para cuidar la salud mental de los adolescentes. Montserrat Dolz, psiquiatra"
94,UCBdq2IZdl8bp1OOg5BNawuQ,H0qeKxU662s,EL VIRREINATO DE NUEVA ESPAÑA
95,UCba3hpU7EFBSk817y9qZkiA,MUf4IFYdLZY,Bukele acelera en la lucha contra la inseguridad: &quot;Metemos a los delincuentes en las cárceles&quot;
96,UCI6QcXatdaEAaRTRjl3dc0w,QDWiNl7khTI,"V. Completa. Qué nos enseña la neurociencia sobre la memoria. Rodrigo Quian Quiroga, neurocientífico"
97,UCQ1GpKa15ulyoQuxz7H4rng,3bJwlpaT4O8,"Cuba: Precios altos, filas y escasez de alimentos | DW Documental"
98,UCnsvJeZO4RigQ898WdDNoBw,N0ISlrmE41k,"¿La HOMOSEXUALIDAD va contra la EVOLUCIÓN? | DARWIN, TE NECESITO"
99,UC7QZIf0dta-XPXsp9Hv4dTw,6s9cXV7fU-w,PRIMERA PERSONA de GÉNERO NO BINARIO reconocida en ESPAÑA por la JUSTICIA ANDALUZA | RTVE NOTICIAS
100,UC32TdiIsh_5X8tKr_9rKQyA,dmKk7FtjXiQ,"Alfredo Gallegos, el padre pistolas"
101,UClLLRs_mFTsNT5U-DqTYAGg,ECJMTTsN6BM,Testimonios 8-M: &quot;Sufrí discriminación laboral&quot;
102,UCkHR9m-tscD3ojD7_viIfTA,CmIc4nlubUY,La REALIDAD de la VIOLENCIA de GÉNERO con el DR. GAONA
103,UCnKlfDXaVP-6uIACOJeVPfw,xU_Nn_ArxDw,🎤 La NOTICIA y sus PARTES para NIÑOS de PRIMARIA
104,UCiP5vmNYR-LuUA3LARZBAoQ,I5KnIbRQ5Qg,ASÍ SE VIVE EN ISLANDIA: ¿El país más extraño del mundo?
105,UCI6QcXatdaEAaRTRjl3dc0w,aJvOPtYUj1o,"&quot;Leer me salvó la vida, escribir le dio un sentido&quot;. Jordi Sierra i Fabra, escritor"
106,UC7QZIf0dta-XPXsp9Hv4dTw,6s9cXV7fU-w,PRIMERA PERSONA de GÉNERO NO BINARIO reconocida en ESPAÑA por la JUSTICIA ANDALUZA | RTVE NOTICIAS
107,UCLDlYd6HYVh1DGPE0G3KINw,G7x9Fj0x1FY,¿Qué sabés de la violencia de género? (2)
108,UC5ZiUaIJ2b5dYBYGf5iEUrA,cXUPmKR2Lz8,Narvik | Tráiler oficial | Netflix
109,UCQcHbgkN5-aG9AhkctJXFUw,SBLiBLb23ZA,LO INCORRECTO - Una nueva mirada hacia la discapacidad
110,UCQ1GpKa15ulyoQuxz7H4rng,NAvfuRcWyvE,El diario de Corea del Norte | DW Documental
111,UCGXbLrVe8vnkiFv7q2vYv3w,uAT8EEKBySM,Covid-19: el virus que arrasó con todo
112,UCR9120YBAqMfntqgRTKmkjQ,EqYBKFTIzuI,&quot;El feminismo no ha salvado a las mujeres&quot; Agustín Laje en #VivianaConVos 25 03 2022
113,UCw8Acy2OTKACRkrCL0titvg,wU_Hvy96FTE,Hablemos de Género 4  Trabajo y género
114,UCGkVdu_EVrqqxQ7OnLFK8RQ,1U0FhAKC2so,Los Adverbios | Videos Educativos para Niños de Happy Learning Español
115,UCig8aKQHLt8E35_LJKwOscA,ycAe_jXnbPE,Por qué las mujeres cobran menos que los hombres: la brecha salarial explicada en dos minutos
116,UCI6QcXatdaEAaRTRjl3dc0w,1rABjCR47Og,"Una nariz de payaso para entender el mundo. Wendy Ramos, actriz y clown"
117,UCPH3Oz99Y_jrVBCQMjQZNSg,d_vrcyqBslc,La REVOLUCIÓN CUBANA en 10 minutos | Breve historia de CUBA
118,UCC0fs2Wo-OIZfJmo7ZbGc8g,ogahiTnUOVo,Las COTIZADAS ESPAÑOLAS están comprometidas con la igualdad de género | CARMEN LÓPEZ
119,UCnjj0yTkthIiPC0QCzjZCkQ,2d7K7nP-2Ro,Igualdad de género presentado por Puros Cuentos Saludables
120,UCf7cmc_Xxke9eIg76b6qdSg,EuSTMOiaf3w,Debate ÉPICO con mujer tr4ns (¡FINAL INESPERADO!)  | Emmanuel Danann
121,UCI6QcXatdaEAaRTRjl3dc0w,f69n5VQLIQw,"Versión Completa. En todo ser humano hay grandeza, Mario Alonso Puig"
122,UCR9120YBAqMfntqgRTKmkjQ,nDyA8hpimG0,"👮‍♂️ &quot;Sabés quién soy, mejor pedí apoyo&quot; - la respuesta de un comisario a un agente de tránsito"
123,UC7QZIf0dta-XPXsp9Hv4dTw,oB29ESLHTjE,"8M: La DESINFORMACIÓN de GÉNERO, cuando los BULOS SILENCIAN a las MUJERES | RTVE Noticias"
124,UCsT0YIqwnpJCM-mx7-gSA4Q,BBOnU52CuI4,"Como hacer 1 doctorado: lo que no te han contado, ni te contarán | José Luis Arroyo | TEDxManzanares"
125,UCPH3Oz99Y_jrVBCQMjQZNSg,5Zwv43MUA7s,✅  La GUERRA CIVIL ESPAÑOLA en 13 minutos | Resumen fácil y divertido
126,UCSpcg7iEuTCeoDB48Oz3HVg,_ljLOYkgFPU,Rozalén - Agarrarte a la Vida (Video Oficial)
127,UC_0j0mtBAGTj1U7LD3J0dhQ,wNmPR8nhJms,¿De dónde venimos? El origen de la humanidad quizá te sorprenda
128,UCShVBAbRLUBKQRQFYUFlpKw,0KdmgUqM0C0,¿Qué es violencia de género?
129,UCI6QcXatdaEAaRTRjl3dc0w,mDF0KQ1Gaqs,El acoso escolar contado por estudiantes
130,UCFe_qycWNCj_fVp6xp3mJ2Q,_7rou0mjVs4,La RAE no recomienda utilizar la doble forma para referirse al género femenino
131,UCQ1GpKa15ulyoQuxz7H4rng,9QNZqozcdNg,¿Cómo nos influye la música? | DW Documental
132,UCWZvD9i6M01UY5XIHpCDhrQ,8pB7_IpIjRo,¿Qué consecuencias tendría para la identidad y unidad cultural de Cataluña?
133,UC04q-yRx9osUzNQD0fUSOsQ,SK5J7u1DzEs,Equidad de género
134,UC0qf7R7Vq3H8JSNYfIs3uKg,0TDLnVtHegc,Debates sobre igualdad de género
135,UC7QZIf0dta-XPXsp9Hv4dTw,xVjbb2OJdLc,GUERRA: El jefe del GRUPO WAGNER se ENFRENTA al MINISTRO de DEFENSA RUSO negando sus ÓRDENES  | RTVE
136,UCh1OgMIWOlDBhFEYL3DHWjQ,wXj5nqCjsA8,Así transcurre un taller de perspectiva de género y violencia de género - Salvados
137,UC1KFgMi-KVzNKnvYIkFxqCg,6xNKff1TQdU,LO QUE LES VA A PASAR A LOS HOMBRES EN ESPAÑA A PARTIR DE AHORA!
138,UCJkUZROPbMmqFXngZfrg0rA,vRFttKZ2KH0,La igualdad de género se está distorsionando terriblemente.
139,UCHtcfG7zqDdGZGGCV9kuG-A,qkXMQiqilec,"Ley de igualdad: discriminación directa e indirecta, acoso sexual y acoso por razón de sexo"
140,UCMwXzr4_lGijScJsMp-IHxw,a8NFv4ckBkg,Residente - Pecador (Official Video)
141,UCyoGb3SMlTlB8CLGVH4c8Rw,4vVd0X_wuQE,Superando la violencia de género: España es ejemplo para otros países
142,UCI6QcXatdaEAaRTRjl3dc0w,Qes1RMK9a50,"Versión Completa. &quot;Ser una persona sana empieza por conocerse&quot;. Elizabeth Clapés, psicóloga"
143,UC1IYhBFQbBWIxirTRbcfIUw,tcgOGqhQFT4,Federico a las 7: Dos varapalos del Poder Judicial a Pedro Sánchez
144,UCgKrRcCXxtih0nyAHzErSCQ,OjYolgiMk2I,Situaciones particulares de discriminación por género en el trabajo.
145,UCWZvD9i6M01UY5XIHpCDhrQ,lLphVbR9coA,¿Cómo impactaría la independencia catalana?
146,UCMo-CR9r1fb8Wu5ZGbuz0zA,aOLPQT0RIZk,La GRAN MENTIRA del FEMINISMO con la PERSPECTIVA DE GÉNERO #shorts
147,UCDUxOvbwu1bnyD7AucP0ESw,Wg5kaf5uaSg,Riña por una tubería de agua termina en tragedia en República Dominicana
148,UCI6QcXatdaEAaRTRjl3dc0w,fYSXb2n8Q5I,&quot;Un buen maestro sabe que en todo ser humano hay grandeza&quot;. Mario Alonso Puig
149,UCQ1GpKa15ulyoQuxz7H4rng,3zTYosJteJ4,Pastillas contra la depresión - ¿Funcionan los antidepresivos? | DW Documental
150,UCMwXzr4_lGijScJsMp-IHxw,a8NFv4ckBkg,Residente - Pecador (Official Video)
