,canal_ID,video_ID,video_Title
0,UCM_a1s5WdPcBEt0WY18ComA,0S9RKAhqQvs,Senador republicano Marco Rubio reacciona a nueva ley de inmigración en Florida
1,UCM_a1s5WdPcBEt0WY18ComA,7GEthqco3Ys,A inmigrantes: “esta ley no te va a afectar si estás en tu proceso”
2,UCT4Jg8h03dD0iN3Pb5L0PMA,XP5NeMX7-Po,Estados Unidos considera que para los migrantes venezolanos es &quot;seguro&quot; regresar a su país
3,UCig8aKQHLt8E35_LJKwOscA,IGtQDo-Aw0k,Responde a Vox: &quot;¿Quién es usted para decir aquí quién es más español?&quot;
4,UCe0ipdnOdSZfo0ip-KtFJ2w,gK8k04hTpXQ,ESTO ES LO QUE OPINAN los INMIGRANTES de VIVIR ESPAÑA - Te Contamos TODO
5,UCRwA1NUcUnwsly35ikGhp0A,XwbkN49F1A0,Nuevo acuerdo migratorio de México y EE.UU. causa angustia | Noticias Telemundo
6,UCGEsI8avT86kED33l9UABoA,J0sJLk_Ytpg,Esto opinan los Españoles sobre los Inmigrantes que viven en España 🤨😨😱😀
7,UCM_a1s5WdPcBEt0WY18ComA,uxkt-E8U7tQ,Inmigrantes indocumentados huyen de Florida
8,UCRwA1NUcUnwsly35ikGhp0A,EEO9ALLoZdw,Republicanos de Florida piden a migrantes que no se vayan | Noticias Telemundo
9,UCUdOoVWuWmgo1wByzcsyKDQ,zTk0qQ9hgHE,Reforma migratoria en España beneficia a inmigrantes indocumentados y estudiantes
10,UCnsvJeZO4RigQ898WdDNoBw,OG46hR9iv8M,MIGRACIÓN | La llegada de migrantes a El Hierro en Canarias | EL PAÍS
11,UCRwA1NUcUnwsly35ikGhp0A,MsgPPD3vqIQ,Las ayudas que podrán recibir los migrantes en El Paso | Noticias Telemundo
12,UC081szq_fuQ-Ba4R-YEoBxA,tvDMv8jhC6c,⚠️¿Regularización Masiva de Extranjeros en España este 2023?⚠️ #inmigracion #extranjería
13,UCRwA1NUcUnwsly35ikGhp0A,ux6LMwSwBWE,Estados Unidos deporta a más de 130 inmigrantes guatemaltecos | Noticias Telemundo
14,UCRwA1NUcUnwsly35ikGhp0A,YKt6tKqjAXQ,Migrantes con estatus legal podrán ser deportados tras fallo | Noticias Telemundo
15,UC32TdiIsh_5X8tKr_9rKQyA,nM7R7NBDviQ,"📌 El momento en que un grupo de inmigrantes salta el muro fronterizo en El Paso, Texas"
16,UC9-rJKAhFw5pkqmcWlex2Zw,dI5ExhF7Vw4,❌🤔¿QUÉ OPINAN los ESPAÑOLES de ESPAÑA y de los INMIGRANTES? Éxodo Argentino - Emigrar - Hispanos
17,UCRwA1NUcUnwsly35ikGhp0A,AUYV-JUzjK8,Críticas al acuerdo migratorio de México y EE.UU. | Noticias Telemundo
18,UCM_a1s5WdPcBEt0WY18ComA,i1lN66P8xhI,Se rehúsan a la nueva ley de inmigración en Florida
19,UCRwA1NUcUnwsly35ikGhp0A,BOtJYSh2jlw,USCIS emite nuevas guías sobre permisos de trabajo urgentes para migrantes | Noticias Telemundo
20,UC_lEiu6917IJz03TnntWUaQ,-z4aoK47Vzo,"Ley SB4, la más severa en contra de inmigrantes en el estado de Texas"
21,UCnsvJeZO4RigQ898WdDNoBw,RbiC3nVwv1U,Abascal (Vox) critica la vestimenta para la moción de censura de algunos diputados
22,UC1KFgMi-KVzNKnvYIkFxqCg,l1tBmEt73o8,CÓMO CONSIGUEN LOS INMIGRANTES ILEGALES PERMANECER EN ESPAÑA
23,UCi3OEHxBpk63NyRCxZM8pYw,YGr3dAmnRR8,Migración: causas y efectos | Así está la cosa
24,UCT4Jg8h03dD0iN3Pb5L0PMA,-2ByhYNSnqI,Migrantes quedan a la deriva por nuevo plan migratorio de Estados Unidos
25,UCQ2Fej5pr1ipVeBWTX8Sc_Q,gsrP99izggs,&quot;Mi mujer es la que manda en casa&quot;: la proclama de Abascal que provoca revuelo en el Congreso
26,UCT4Jg8h03dD0iN3Pb5L0PMA,e7h5fHf1Bp4,El Parlamento alemán aprueba nueva ley de migración
27,UCRvpumrJs0qY1xLzeU0Ss1Q,piwGvSqQlMQ,Hay una clara relación entre delincuencia e inmigración ilegal
28,UCT-SRbZfmq2R9YgDiUpgDSQ,uv8Sed48YyQ,🛂 novedades exigencias inmigración 2023
29,UC1KFgMi-KVzNKnvYIkFxqCg,7iSfN8eqpo4,ESPAÑA PLAGADA DE INMIGRANTES ILEGALES POR ESTO
30,UCRwA1NUcUnwsly35ikGhp0A,Nm0Vwn7LFmc,Peligra el asilo político para inmigrantes cubanos | Noticias Telemundo
31,UCUdOoVWuWmgo1wByzcsyKDQ,n4vKfqU1j1Q,Informe desde Madrid: España aceptaría migrantes de centros de tramitación de EE. UU.
32,UCM_a1s5WdPcBEt0WY18ComA,AH16EGhYC-w,Inmigrantes indocumentados huyen de la Florida tras nueva ley de inmigración
33,UCRwA1NUcUnwsly35ikGhp0A,3MOIQa6KHiQ,Biden quiere facilitar la inmigración legal en EE.UU. | Noticias Telemundo
34,UCJ46VgZgCMLFUvOT671AOJw,Yi6OLfKDP9U,"“Me arrepiento de haber venido a EEUU”, dice inmigrante venezolana"
35,UCRwA1NUcUnwsly35ikGhp0A,kNxBzDoZZKg,Proyecto de ley en Texas criminaliza inmigración irregular | Noticias Telemundo
