,canal_ID,video_ID,video_Title
0,UCAzHwdDrNQ9hThUDApVh_Bg,WdtyLi2wBDs,¿POR QUÉ APOYAR LA MONARQUÍA ESPAÑOLA ES LO MÁS INTELIGENTE?
1,UCTJXx9onKH6g4cWHS9pLqsQ,4i2m9Z47ETc,“¿Qué opina la juventud españolade la figura de la monarquía?” Por Inés Hernand
2,UCWpBYQF-ZuL6FQ05OIL9Yzg,KzSlyGHjTX8,MONARQUÍA VS REPÚBLICA
3,UC_Q7-uOJy3BPWjKNdATqrag,WGC0RtlEIUY,"REPÚBLICA o MONARQUÍA, ¿qué es mejor? (DEBATE)"
4,UCD_gyb-Fg3eMYetyFnhslsA,4mMkLK7khPY,"Los granadinos opinan sobre la situación de España, Monarquía o República"
5,UCT4Jg8h03dD0iN3Pb5L0PMA,S1-wpBi4uDM,"España, sí o no a la monarquía"
6,UCL23kQyh0o-jF17t_etwD4w,nznqqPKN3gM,La VERDADERA OPINIÓN del PEQUEÑO NICOLÁS sobre la MONARQUÍA ESPAÑOLA | Club 113
7,UCzDmu6QviXbf0cbeFBh2_zA,5vxqIPYVC8U,¿Por qué HAY REYES EN ESPAÑA y no una REPÚBLICA? Reflexiones sobre la MONARQUÍA ESPAÑOLA 🇪🇸
8,UC7QZIf0dta-XPXsp9Hv4dTw,eYvG3W6j8sU,&#39;Hay un DEBATE en nuestro país sobre si la MONARQUÍA es útil para la democracia española&#39; | RTVE
9,UCUdOoVWuWmgo1wByzcsyKDQ,xlyo1GcJ0wM,España: cientos salieron a marchar en Madrid para pedir el fin de la monarquía
10,UCUdOoVWuWmgo1wByzcsyKDQ,mIje9K8t_Sc,"La baja popularidad de la monarquía española, menguada por los escándalos de Juan Carlos I"
11,UCnKwGq_JDhM5N-5v1e8-Qng,2t4Rtj27Uwo,Monarquía Española I La Verdad NO CONTADA sobre la PRINCESA LEONOR
12,UCVimQoXNCZuEnZRVAbuYMiw,DDMIofhc1wo,¿Monarquía o República? La jura constitucional de Leonor vista por la ciudadanía
13,UCBYyJBCtCvgqA4NwtoPMwpQ,nzotbqmw10c,¿DEBERÍA SER ESPAÑA UNA REPÚBLICA? | Jordi Wild y Roma Gallardo
14,UC2SEk1w7DgoHs_G3w1biz-w,LjEQvk7UNTU,Piden en España el fin de la Monarquía
15,UChJg9lSVxx1u0X5wf5slRcw,BHlGoejK3Zc,Cual sería tu opinión sobre la monarquía española?
16,UCUdOoVWuWmgo1wByzcsyKDQ,x9mUuHMNyvY,Catalanes reaccionan al discurso del rey de España
17,UCrJRTSSrbv2G7mA8FEvRYqA,qhSxESel5JA,🔴DURAS IMÁGENES Y CRÍTICAS REINA Letizia por DISCURSO REY Felipe VI con PRINCESA Leonor en CORTES
18,UCvgvaidjuGVHi1F3bUctaig,jr1JBsO2ZUU,Pablo Iglesias - ¿Para qué sirve hoy la monarquía en España?
19,UCSPD27Cs5gDePZ07G4m70Cg,ifRtVEBUWGo,¿ESPAÑA SERÁ UNA REPÚBLICA? Esta encuesta dice que SÍ
20,UCpsTZm-EKa55aU1CiAq-ScA,_Sj1vTc3Yj8,RS | El apoyo o la indiferencia a la monarquía española: ¿qué se gana sin ella y cuánto nos cuesta?
21,UCJH8qCTPyDQH5CFqwvFwQpA,3v6om_qbGTA,"«¿Monarquía o República?» Con Arturo Pérez-Reverte. Fundación Cajasol, Sevilla. 28.3.22"
22,UCVimQoXNCZuEnZRVAbuYMiw,XIc5z4M-X2s,¿Qué opina la población sobre la monarquía?
23,UCXISYK3xagaK5DHnhQ4X0hw,8KnRafmTwLU,La VIRAL REACCIÓN de la PRINCESA al PROBAR el CHAMPÁN y la MIRADA de la REINA LETIZIA
24,UCBLCvUUCiSqBCEc-TqZ9rGw,CilCch-3JuU,¿Monarquía o república?
25,UCDxvywwOq1zwnq8Dc6FlbTw,IwiD6DGtHsc,NO ME LLENA DE ORGULLO! Crítica: Monarquía Española
26,UCh1OgMIWOlDBhFEYL3DHWjQ,owGzEM6Cwj0,"¿Monarquía o república?: Revilla, Armengol, Garrido, Fernández Vara y Miras se &#39;mojan&#39; - Salvados"
27,UCWZvD9i6M01UY5XIHpCDhrQ,7v2np1jQ3Y0,👑🇪🇸 Princesa Leonor de España: El Futuro Brillante de la Monarquía y su Impacto en la Nación 🌟
28,UCWZvD9i6M01UY5XIHpCDhrQ,8C3naaOxd48,👑🇪🇸 Princesa Leonor de España: El Futuro Brillante de la Monarquía y su Impacto en la Nación 🌟
29,UCWZvD9i6M01UY5XIHpCDhrQ,5VIpWlHTz8E,👑🇪🇸 Princesa Leonor de España: El Futuro Brillante de la Monarquía y su Impacto en la Nación 🌟
30,UCWZvD9i6M01UY5XIHpCDhrQ,OmOJxykEbWU,👑🇪🇸 Princesa Leonor de España: El Futuro Brillante de la Monarquía y su Impacto en la Nación 🌟
31,UCfHg6-CQ97Et2qBklzI7PVg,AMhn5TUdbAQ,Esto piensan los Españoles de los LATINOS - Son los Españoles Racistas?
32,UCY8d83kIW6sK4au73qeZZTw,5JBAYVIjxew,"Felipe, la esperanza de la monarquía española"
33,UClLLRs_mFTsNT5U-DqTYAGg,g4px8wfEFtE,El divertido momento entre Felipe VI y Leonor tras el discurso de la Princesa
34,UCh_chnQ7OJPQ8mZ7vbXFpIQ,aGbwOEoKhSQ,Pablo Iglesias ataca la historia de la monarquía española
35,UCDv9E3mNNQNL2wDOLkSy_Qw,T5DG2XFfig0,¿Qué opinan los británicos sobre la monarquía? #Shorts
36,UCWZvD9i6M01UY5XIHpCDhrQ,oA4zqeRdpKA,👑🇪🇸 Princesa Leonor de España: El Futuro Brillante de la Monarquía y su Impacto en la Nación 🌟
37,UCEJs1fTF3KszRJGxJY14VrA,C0cPp4rj8ig,Opiniones encontradas sobre la monarquía española entre sectores políticos y ciudadanía
38,UCY7G68HdJYDqImwrMGRoQAw,V5huzjdBJU4,EspaTv - ¿Cómo se coló la Monarquía española? Lo explica Adolfo Suárez
39,UCnsvJeZO4RigQ898WdDNoBw,wzNFO_VdJIg,Mensaje del Rey sobre Cataluña | España
40,UCSPD27Cs5gDePZ07G4m70Cg,_n68Awu0EM0,LEONOR JURA LA CONSTITUCIÓN (ÚLTIMA OPORTUNIDAD DE LA MONARQUÍA)
41,UCOHCRQDAr9HC5d59XvziJFQ,Q3AuRGcj650,60 minutos - Lo que está pasando en la monarquía española
42,UCjxqdJb5lRF3Ni2kc81pzrg,_Vh9d3Rcaqg,&#39;Felipe VI el último rey de España.
43,UCLNZvDlwQJMaQg477NAxvjQ,KSlAopFS57k,"Pérez-Reverte: &quot;Soy republicano, pero soy español&quot; - El Hormiguero"
44,UCdwdFOhBP9CoAOlHDTmTxaw,Erp-8y1i87k,Especial Monarquías: ¿por qué siguen existiendo?
45,UCATNLtVD9iXXzOmFc4bZ87A,6gNPzEX1bJw,Monarquía VS República - ¿Qué es mejor?
46,UCVimQoXNCZuEnZRVAbuYMiw,eDVcnhGHLJ4,La Base #59 - El regreso de Juan Carlos: ¿Monarquía o República?
