,canal_ID,video_ID,video_Title
0,UCsT0YIqwnpJCM-mx7-gSA4Q,I5w1AAobW8s,&quot;Nuestra salud  más allá del médico&quot; | Andrea Burón | TEDxMalagueta
1,UCY2hu_NT5NDbBU-HGxgqMuA,66hLQrs1Urs,¿La mejor Sanidad del mundo? La caída en desgracia del sistema sanitario español
2,UC_aYQgenfslodoP8HElOX6A,3CHofbWaVm8,TE LO CUENTO TODO🚑🏥 Es buena la salud pública en España? esta es mi opinión!! mira hasta el final 🤯
3,UCUBIrDsIVzRpKsClMlSlTpQ,xhD0-FlAjRU,Novak Djokovic revela a la BBC por qué no se ha vacunado contra la covid | BBC Mundo
4,UCSwXe2WReWhNdjKRTh92b9g,-cLGl6IPITo,COVID 19| ¡ALERTA MUNDIAL! ¿VACUNADOS MORIRÁN EN 2 AÑOS?: EFECTO SECUNDÁRIO MÁS GRAVE DE LAS VACUNAS
5,UCPuABpvahcOJE4Q4kr-M87A,d8D1DlZn-BQ,¿Sanidad PÚBLICA o Sanidad PRIVADA? 👩🏼‍⚕️🤔¿Cuál es la mejor en ESPAÑA? 🇪🇸@SOYLAPECOSA
6,UCfZnmQp92JqFxB3CAlDsrPg,V0UHzu40oDc,La OMS alerta de que llegará una nueva pandemia que será más mortífera
7,UCfZnmQp92JqFxB3CAlDsrPg,2GypyMUNCPY,Ana Pastor: &quot;España tiene que tener un sistema integrado de salud pública&quot;
8,UCV5G678sZwW5IcF3pCfRbHQ,jlUK_eqKJuc,¿Qué es una OSTOMÍA? 👀🩺🩹
9,UCnsvJeZO4RigQ898WdDNoBw,at3vHH4O-ac,Explicación en dos minutos del nuevo fármaco con el potencial de curar la DIABETES | Ciencia
10,UCsT0YIqwnpJCM-mx7-gSA4Q,NPE7i8wuupk,"¿Por qué me vigilan, si no soy nadie? | Marta Peirano | TEDxMadrid"
11,UC_Se9vf71WAAL-ZNEblrcGA,KXL2aeP-f1I,TODO SOBRE LA SANIDAD PUBLICA EN USA🇺🇸 VS ESPAÑA🇪🇸 CUAL ES MEJOR? CUAL ES MAS BARATA?
12,UCykTiaMobl2EWW28zmjcznQ,vBI07tj3bgQ,LA MEDICINA FUNCIONAL ES UNA ESTAFA | CUIDADO !
13,UCI6QcXatdaEAaRTRjl3dc0w,0noAwrWY78U,"El cerebro, nuestro mejor aliado contra el estrés. Marian Rojas-Estapé, psiquiatra y escritora"
14,UC7E9Dj_lmrJdDrH2Bg7rNqQ,UqCWOC5yPcs,"¿Qué es el virus de Marburg, la enfermedad parecida al ébola que ha puesto en alerta a la OMS?"
15,UC7QZIf0dta-XPXsp9Hv4dTw,naefqjd8cRc,"BRUCE WILLIS: Así afecta la DEMENCIA FRONTOTEMPORAL, la ENFERMEDAD DEGENERATIVA que padece | RTVE"
16,UC7QZIf0dta-XPXsp9Hv4dTw,SoZL2SAGNYI,CÉLINE DION: ANUNCIA entre LÁGRIMAS que PADECE el SÍNDROME de la PERSONA RÍGIDA | RTVE Noticias
17,UCdtlLlFp91hOHG9_te0cFUQ,URrtryb759E,NUEVO PROBIÓTICO PARA BAJAR DE PESO | GRASA ABDOMINAL | Dra. Jackie
18,UC9vQME0aG9HkmaxkC9yxhKw,x6x7eU7OV_g,La salud en España es GRATIS?
19,UCQ1GpKa15ulyoQuxz7H4rng,YWQ8SSVUnps,Los nuevos medicamentos contra el cáncer: ¿motivo de esperanza o perjuicio? | DW Documental
20,UCI6QcXatdaEAaRTRjl3dc0w,LSVCFKWxvcA,"Comer de todo no es bueno para la salud. Julio Basulto, dietista-nutricionista"
21,UCI6QcXatdaEAaRTRjl3dc0w,41el0jzy4rg,"Un decálogo para cuidar la salud mental de los adolescentes. Montserrat Dolz, psiquiatra"
22,UCNVC7OaQiFWFASGTXVQnuoA,5GDv1K9JxK4,La VERDAD del MMS y CDS. ¿Curan enfermedades? ¿estafa o panacea? | MMS Parte II | Medicina Clara
23,UCI6QcXatdaEAaRTRjl3dc0w,xa9xI5j6INk,"Un mensaje de sabiduría. Ramón Bayés, psicólogo y escritor"
24,UCdtlLlFp91hOHG9_te0cFUQ,jAbo6MEYA-8,Tengo HIPOTIROIDISMO | Dra. Jackie
25,UCBmpYwzd7UAeVRauVQZx6Uw,rjUtfnL9SEA,¿Qué es la epidemiología?
26,UCI6QcXatdaEAaRTRjl3dc0w,Qes1RMK9a50,"Versión Completa. &quot;Ser una persona sana empieza por conocerse&quot;. Elizabeth Clapés, psicóloga"
27,UCvEzJviE03cGFNkLoWL9Bsg,8vXd0z3OnVU,💊¿Qué es la Salud?❤️ [Fácil y Rápido] | BIOLOGÍA |
28,UCI6QcXatdaEAaRTRjl3dc0w,ROax8vdhuEQ,"V. Completa. Todo lo que siempre quisiste preguntar a un psicólogo. Roberto Colom, psicólogo"
29,UCUBIrDsIVzRpKsClMlSlTpQ,n1K5b93F7Dg,El experimento de dos gemelos idénticos para ver qué dieta es mejor: vegana o con carne y lácteos
30,UCBmpYwzd7UAeVRauVQZx6Uw,yKBIMFsU72k,"IX Jornada sobre Vigilancia en Salud Pública de la Sociedad Española de Epidemiología, 21 junio 2023"
31,UCQSLny1RMIQ0jTp0o8h0yPg,6K0wtyDl2u4,¿Eres la misma persona en redes sociales?
32,UC1ybnvQpy1MrYwlWP9E6vnQ,Vv3cSF04VAQ,La ENFERMEDAD de Yolanda Andrade… 😵‍💫#noticias #yolandandrade #enfermedad #interesante #viral
33,UCT4Jg8h03dD0iN3Pb5L0PMA,a9EIx2CJE64,Los mejores remedios caseros con un médico naturista | En forma
34,UCdLwisBtbx8CgPh9q7dlevQ,ueK6jxOyWJA,Reumatología - Qué enfermedades tratan los reumatólogos
35,UCUP6qv-_EIL0hwTsJaKYnvw,S2CWmlbNMpw,Medicina cuántica para saber de qué te vas a enfermar | Noticias de Salud
36,UCI6QcXatdaEAaRTRjl3dc0w,HOY0CSVAA4w,"Versión Completa. ¿Para qué sirve la ética? Adela Cortina, filósofa"
37,UCF4jdnof7ZnydEgUfmoxvSg,kDvdSnqqeSg,Cómo cambia la enfermedad de Alzheimer al cerebro
38,UCI6QcXatdaEAaRTRjl3dc0w,LtMQDPAnauE,Victor Küppers: Por qué es tan importante aprender a escuchar
39,UCRwA1NUcUnwsly35ikGhp0A,LZXKcycf9pI,Polémica por periodista que pronuncia correctamente nombres en español | Noticias Telemundo
40,UCI6QcXatdaEAaRTRjl3dc0w,QTy-Q2GJBv4,"V. Completa. La importancia de ser como quieres ser. Tomás Navarro, psicólogo y escritor"
41,UC_lEiu6917IJz03TnntWUaQ,A9j2tAdVG0s,¿Qué está sucediendo con las enfermedades respiratorias en China? La explicación de un especialista
42,UC2Rgt8XF_37FEjO_UHYTYgQ,sB6FgnRYo3Q,🚨¡POR ESTO TU TIROIDES DEJA DE FUNCIONAR! #Hipotiroidismo #MrDoctor #shorts
43,UCUsm-fannqOY02PNN67C0KA,-Q7RjNr5zn0,Uso de celular en niños; daños y dependencia frente al celular - A las Tres
44,UCI6QcXatdaEAaRTRjl3dc0w,I4TSXVPr8_8,"&quot;La sociedad aún no entiende lo que es la violencia de género&quot;. Marina Marroquí, educadora social"
45,UCdLwisBtbx8CgPh9q7dlevQ,qFkx3BQxpWg,¿Cómo combatir y frenar el parkinson?
46,UCI6QcXatdaEAaRTRjl3dc0w,u2G5hSsC1UI,"Filosofía para cuestionar el mundo que nos rodea. José Carlos Ruiz, filósofo y profesor"
47,UCcHtke0raf8vNYLM1Hbq3Jw,sjhxlrVJASQ,¿Qué causan los trastornos mentales? | Noticias con Francisco Zea
48,UCI6QcXatdaEAaRTRjl3dc0w,f69n5VQLIQw,"Versión Completa. En todo ser humano hay grandeza, Mario Alonso Puig"
49,UCNoYp3IUVPGowDEqDp3RvBQ,51zM7cTHEY8,El PROBLEMA de la PSIQUIATRÍA y la SALUD MENTAL
50,UCRwA1NUcUnwsly35ikGhp0A,N1VS4_34Mkw,Una nueva y peligrosa enfermedad similar al ébola hace saltar las alarmas | Noticias Telemundo
51,UCI6QcXatdaEAaRTRjl3dc0w,u2G5hSsC1UI,"Filosofía para cuestionar el mundo que nos rodea. José Carlos Ruiz, filósofo y profesor"
52,UC_lEiu6917IJz03TnntWUaQ,cmpsSatt2xE,¿Qué enfermedades se pueden tratar con células madre?
53,UCcHtke0raf8vNYLM1Hbq3Jw,sjhxlrVJASQ,¿Qué causan los trastornos mentales? | Noticias con Francisco Zea
54,UCZ1FSwVmNPhpHjHIbqMglzA,,"¡ Medicina, Salud y Vida !"
55,UCv2BcgqxHSrl2QQfIkjR5Eg,YUG13efocoQ,Almorranas y hemorroides: Una solución quiero
56,UC7QZIf0dta-XPXsp9Hv4dTw,_4qJ6FRYWF8,"SANIDAD: La ATENCIÓN PRIMARIA necesita MÉDICOS, nueve CC.AA. NO CUBREN PLAZAS | RTVE Noticias"
57,UCI6QcXatdaEAaRTRjl3dc0w,f69n5VQLIQw,"Versión Completa. En todo ser humano hay grandeza, Mario Alonso Puig"
58,UCsT0YIqwnpJCM-mx7-gSA4Q,7wJvkIautCk,Neurociencia de las adicciones: una nueva perspectiva | Lucía Hipólito | TEDxCiutatVellaDeValencia
59,UCnsvJeZO4RigQ898WdDNoBw,93LStrEcmcE,Lo que hay detrás de la tensa escena entre la REINA LETIZIA y doña Sofía | Gente
60,UCYrPqnTNNrjkj_KPk1nNUew,IgC1YS_vbxk,ESPAÑA DA ANUNCIO SOBRE SU VACUNA CONTRA COVID-19 ¿ACTUALIZADA FRENTE A NUEVAS VARIANTES?
61,UCo-ElzXqpVvjdnsElGff_Nw,qZOzsXM0G2A,Cómo funciona la dieta keto
62,UCNnAyfKpcz1BnleJzWV6DxQ,3kNYic_3oBo,Régimen cubano rompe el silencio sobre médicos de Bayamo
63,UCA7KtcZtrGvJWat1JIaOX2w,-BsjIkJ0JlI,Los problemas de la sanidad española
64,UCI6QcXatdaEAaRTRjl3dc0w,v4KplEgXI9c,"¿Cómo funciona el cerebro de un adolescente? David Bueno, biólogo y genetista"
65,UCI6QcXatdaEAaRTRjl3dc0w,UHos21ESAZQ,"V. Completa. Psicología para el deporte y la vida. Joaquín Valdés, psicólogo deportivo"
66,UCSwXe2WReWhNdjKRTh92b9g,cQmgGqTJo-8,¡ALERTA MUNDIAL! LECHE: ¿Estábamos equivocados?
67,UCj1y2Xo8g36rfvQ0EsOe-7g,Rxk4qK2_RrI,AMINOACIDOS (BCAAs) - ¿NECESARIOS o PERDIDA DE DINERO? (Explicación Científica)
68,UCNzGMHlkquON1Jmr8jqKEog,x63geNGsY_k,Así le cambió la vida la fibromialgia a esta enfermera
69,UC7QZIf0dta-XPXsp9Hv4dTw,v9F2i8hoLRg,¿Hay pocos MÉDICOS en ESPAÑA? La OMC denuncia bajos salarios y malas condiciones laborales | RTVE
70,UCUVpe2JiHdGGA2MqggAmx1Q,gOczV8lesJQ,Enfermera enseña sus nóminas. ¿Cuánto gana una enfermera en España? | crislaenfermera
71,UC34ir-riqZUiCOy90X5AFjg,ElTBQ0xBkdI,¿Cómo saber si te encuentras bien de salud y tus órganos en buen estado?Conoce método de prevención
72,UCIvqcSPbzQBynjq230v9_yw,-aMZRgMDEDU,Los mejores aceites de oliva virgen extra del súper según el &#39;doctor&#39; Gómez
73,UCnsvJeZO4RigQ898WdDNoBw,sehNmNEBCDw,Las mil y una caras de la locura
74,UCh_chnQ7OJPQ8mZ7vbXFpIQ,8HJTcjzFG2Q,La falta de prevención está deteriorando la salud de los españoles
75,UCUsm-fannqOY02PNN67C0KA,BlXafWv5Nz8,¿Qué es el machismo? - Las Noticias
76,UCV5G678sZwW5IcF3pCfRbHQ,Ba-2LNZFkG0,¿Por qué estudié BIOMEDICINA? | La Hiperactina
77,UCCJs5mITIqxqJGeFjt9N1Mg,2ejA9M8QpTo,"Dos médicos debaten sobre la homeopatía, ¿cura o placebo?"
