,canal_ID,video_ID,video_Title
0,UCPH3Oz99Y_jrVBCQMjQZNSg,AsMZK3aGFHs,🌍 TERRITORIOS ESPAÑOLES  fuera de ESPAÑA 🌍 | la ESPAÑA desconocida
1,UCUBIrDsIVzRpKsClMlSlTpQ,3FFOxhBSYAs,Por qué Ceuta y Melilla pertenecen a España si están en África
2,UCaSdpaCk2nyPlxj6im46rOQ,ik1H9JEL4FY,¿Por que España tiene un territorio atrapado en Francia?
3,UCPd6b5PgGntDkBZM1Rf7WfA,BUbXwUbarNI,Fueron territorios de ESPAÑA pero YA NO hablan español 😱
4,UCyuH8LBMElHDwMaSa_kZadA,OgQigaDkZ5s,ESTO PIENSO sobre  España y los Españoles ¿Son raros?
5,UC9-Ocoo9d6Zv8SbV3Dad1Tw,dd8wyGAgbgY,Mi OPINIÓN Sobre ESPAÑA y los ESPAÑOLES
6,UCDXkJkTdneBkEgj58nZ2njg,QFRkXyZq3s0,España es un país hecho para la guerra descubre el porque 🤯😵
7,UCUBIrDsIVzRpKsClMlSlTpQ,W3yHdmZ_rF8,Por qué la América española se dividió en muchos países y Brasil quedó en uno solo | BBC Mundo
8,UCa36RF44tVxE9ETZn_-RQhw,10Bjz9AE2_4,5 Territorios españoles que quizás no conoces
9,UCTyCyyV0eKfEoMWI_V11z6A,Md5-ANncZpM,Aprender español: Comunidades autónomas de España (nivel básico)
10,UC7h4VKkd9q9dJQFf9Kfm7SA,YAitsDF5yjk,5 países que fueron territorios españoles pero no hablan español ¿¿O SI??
11,UCABPlDrpGug7skYJVJuNyhg,HzFDgCOnVGI,"Todo sobre ESPAÑA | Cultura, datos y curiosidades"
12,UC8RpuQuJeE7CMmLOdmEP-kA,50GVEK9kAbY,Territorios Menos Conocidos del Imperio Español
13,UC7h4VKkd9q9dJQFf9Kfm7SA,QCWE0Ysk0-w,5 islas del pacifico que aun podrían ser territorio español
14,UCTyCyyV0eKfEoMWI_V11z6A,NLnRSmwAVh8,Aprender español: Geografía de España (nivel básico)
15,UCPH3Oz99Y_jrVBCQMjQZNSg,KHDyqchfXXI,⚠️¿Por qué ESPAÑA NO entró en la SEGUNDA GUERRA MUNDIAL?⚠️
16,UCoLoHvInVxTV_Xpd7eoSPUw,36hKK7B7q_A,Esclavos negros en territorio español
17,UCLzgGM7q2bXebJUs7cymdhg,eM-2a7XLRXg,"España es África, en parte"
18,UCUBIrDsIVzRpKsClMlSlTpQ,InLUR88QUXU,El origen del conflicto en el Sahara Occidental (y qué papel tiene España)
19,UCs36uUgPco_MLaPXFDpnRTA,K-J7eOnAe5U,😱🇪🇦Mi honesta opinión sobre ESPAÑA¡COSTUMBRES ESPAÑOLAS QUE ME HAN SORPRENDIDO !
20,UC1Tyf256hkcyNQj5PwIPxrw,DcpOqLYx4Ow,¡NO PUEDE SER!😲Entrevista a EXTRANJEROS🎤¿ESTO OPINAN DE ESPAÑA? 🇪🇸
21,UCPH3Oz99Y_jrVBCQMjQZNSg,XLYB-GRE6Fk,"✅ La CONQUISTA y COLONIZACIÓN española de AMÉRICA | Historia, mitos, verdades, leyenda negra..."
22,UCsK-7018T5DU-Gl5-4ythXw,tZl9Rq2RBEk,TERRITORIOS ESPAÑOLES fuera de ESPAÑA 🌍 | REACCIONANDO por PRIMERA VEZ
23,UCPH3Oz99Y_jrVBCQMjQZNSg,90H1JvKT5tI,✅ La HISTORIA DE ESPAÑA en 15 minutos | El RESUMEN definitivo
24,UCQk649RsSqo3QNJbywjPoOg,HQVduM2BKr0,Territorios de España que no conocías🇪🇦 | Curiosidades Geográficas🌍
25,UCBdq2IZdl8bp1OOg5BNawuQ,H0qeKxU662s,EL VIRREINATO DE NUEVA ESPAÑA
26,UCwRvBitYM27PF-Yz2LSfABA,7km_0Eu1yx8,30 Datos y Curiosidades que no sabías de España
27,UCJQQVLyM6wtPleV4wFBK06g,-4pB1PSklCk,¿Por qué GIBRALTAR es el lugar más EXITOSO de EUROPA? - VisualPolitik
28,UCVk5W9rA2TCJ4B_U_H4bTNA,2zavmf4GlzM,NO ENTIENDO A LOS ESPAÑOLES 🇪🇸🇨🇺. 7 meses en España|@DanyLike
29,UCv05qOuJ6Igbe-EyQibJgwQ,K9m79nGOoa4,Breve historia del nacionalismo vasco
30,UCy7aAIBUtGqqTVDezGO85hg,NjoLCDng-RE,LOS SIMPSON MUY ESPAÑOLES Y MUCHO ESPAÑOLES
31,UCUBIrDsIVzRpKsClMlSlTpQ,kRA1C0kKhzs,Por qué Filipinas no es hispanohablante si fue una colonia de España durante 300 años  | BBC Mundo
32,UCT4Jg8h03dD0iN3Pb5L0PMA,tpvp-vUq-Ug,El Salvador: el Estado ya controla el 80% del territorio del país
33,UCRKLoUGHLEeSoEF2zsuK80w,srcE5GnLfWc,Diálogos de España en América V: España en el territorio de los actuales EEUU.
34,UCPH3Oz99Y_jrVBCQMjQZNSg,PPFhiH3KJoA,🔥 La CRISIS del SÁHARA OCCIDENTAL en 8 minutos 🔥 | ¿Qué está pasando en el SÁHARA OCCIDENTAL?
35,UCv05qOuJ6Igbe-EyQibJgwQ,BCrCOFBOM1M,El franquismo
36,UCAbEJ9HByWPPk4Vkxvl7cWA,jkJmGrDCiRE,"MEXICANO REACCION A LA MENTIRA SOBRE ESPAÑA, LA VERDAD EN ESPAÑA @DarwinDeViajes"
37,UCUBIrDsIVzRpKsClMlSlTpQ,BKNQNzyRydw,¿Cómo sería México si Estados Unidos no se hubiera apropiado de más de la mitad de su territorio?
38,UCQ1GpKa15ulyoQuxz7H4rng,MYcuVUBKg7Y,"Andalucía, España - Viaje por el Mediterráneo | DW Documental"
39,UCPH3Oz99Y_jrVBCQMjQZNSg,0nhy_k0QS_8,✅ CURIOSIDADES sobre ESPAÑA en 1 minuto
40,UC9eCLBSj2fCYUsnMuelRloQ,qB7qTgeIFbA,Así empezó el Alzamiento Nacional en julio de 1936  | España dividida: La Guerra Civil en color
41,UCBIMW0ZhwULY_x7fdaPRPiQ,5CCYyEzftJA,HISTORIA DE ESPAÑA - Antigua y Medieval - Hasta 1492 - (Documental resumen)
42,UC8FOhz3iXhF1iqqzAFfBjmA,lxtZVS_QymI,Los cinco primeros sobres interceptados fueron enviados desde territorio español
43,UCBWF6OT9sHQU0rnMmUPdmyA,C8Qk5YSn9OI,"La EXPANSIÓN EUROPEA entre los Siglos XV y XVIII  | Portugal, España, Países Bajos, Francia..."
44,UCv05qOuJ6Igbe-EyQibJgwQ,yj9N9DTtdas,La Guerra Civil española
45,UCaSdpaCk2nyPlxj6im46rOQ,6wH8_qPhXqg,¿Por qué Bolivia perdió territorios contra Brasil? #shorts
46,UCUdOoVWuWmgo1wByzcsyKDQ,Y-IlMeCCtIg,FRANCE 24 Español – EN VIVO – Información internacional y noticias del mundo 24 horas
47,UCTcKWYz0sGoExKZ4unKB5Iw,5DvvqeQ8XyU,Permiso de estudios en el territorio español o visado de estudios en el Consulado de España
48,UCVbOEcs6RMxXXX3WWNtl_Fw,BFWwgGYYSdw,🔥La GUERRA CIVIL ESPAÑOLA🇪🇸 en 13 minutos 🔥 - El Mapa de Sebas
49,UCoLoHvInVxTV_Xpd7eoSPUw,lDVxQlD00ng,¿Esclavos negros en territorio español?
50,UCbn50nb9GIQFgsF0ehI6q_g,uuQrYlpNTeI,los territorios español la fuerza española
