,canal_ID,video_ID,video_Title
0,UCJKQNkpFXC3fRiVE3C6fZuQ,a7it63FFDYQ,6 ideas sobre la Violencia de Género/Intrafamiliar/Machista/Doméstica
1,UC84t25xqhPEPpGY7NBZJ_eA,i_t19HsTKZo,Santiago Abascal sobre la violencia de género: &quot;Busca la guerra de sexos y criminalizar al hombre&quot;
2,UCI6QcXatdaEAaRTRjl3dc0w,I4TSXVPr8_8,"&quot;La sociedad aún no entiende lo que es la violencia de género&quot;. Marina Marroquí, educadora social"
3,UCnsvJeZO4RigQ898WdDNoBw,iokz2R67Azk,LEY DE VIOLENCIA DE GÉNERO | Claves de la ley que critica VOX en cinco minutos | Explainer
4,UCCJs5mITIqxqJGeFjt9N1Mg,VhdvJLKVIHQ,Violencia de género y violencia doméstica no son lo mismo y ya lo recoge la ley
5,UCRvpumrJs0qY1xLzeU0Ss1Q,7uBV6pIDAQw,¿Qué opina VOX de la violencia contra la mujer?
6,UCMP7jOcevdMVAycZvlOGK3w,2Ko9vjqkOAM,"La Ley de Vio***cia de Género es BASURA, te lo dice una MUJER ABOGADA"
7,UCK2uga7UOX0KjtdNSOiFxdg,y2hdW33BqaU,Opinión: La violencia de género | Ana Velasco Abogada
8,UCsT0YIqwnpJCM-mx7-gSA4Q,VV-i6nzyrJs,¿Cómo son las víctimas de violencia de género? | Lorena Álvarez | TEDxTukuyWomen
9,UCUS73_bjTYwBFAfXbvIjM8Q,1hYZjJ4t2d0,Vox avisa que quiere derogar la Ley de Violencia de Género
10,UCQ2Fej5pr1ipVeBWTX8Sc_Q,gsrP99izggs,&quot;Mi mujer es la que manda en casa&quot;: la proclama de Abascal que provoca revuelo en el Congreso
11,UCJKjzEoy91UYS-bZLc4CLCQ,tiv5h0C_r_g,La igualdad de género es injusta - Agustín Laje
12,UCUdOoVWuWmgo1wByzcsyKDQ,-O5ogJ032a4,España al frente en la lucha contra la violencia de género
13,UC06JTzRaYRy7M6Y6KaNLCCw,vH_2q9_W7ZE,La realidad de la violencia contra la mujer en España
14,UCsT0YIqwnpJCM-mx7-gSA4Q,VVF2rGDwNhY,Las primeras señales de la violencia de género | Marina Marroquí | TEDxTarragona
15,UCJKjzEoy91UYS-bZLc4CLCQ,WtVBQrzvQok,Feminista trata de darme clase de feminismo y sale mal - [Agustín Laje]
16,UCWpBYQF-ZuL6FQ05OIL9Yzg,_h7urSuex4Y,PREGUNTAS A MUJERES SOBRE LA LEY SOLO SÍ ES SÍ #feminismo
17,UCwtu3Ul-eiQEN81HNN6RQtw,KeOl9-fQJOs,La actualidad en Violencia de Género en España | Susana Gisbert
18,UCHnUxhbsapsYyriBKmRRnUg,s-oIbJJkPwk,💥Cuca Gamarra HUMILLA a las víctimas de violencia de género
19,UC6nVHOzgFSU1p-zQHfv7czw,G_lQRaoIM10,La violencia de género y su marco normativo: introducción
20,UCI6QcXatdaEAaRTRjl3dc0w,iyCHxB7wdeQ,¿Por qué existe aún desigualdad entre hombres y mujeres? EP8: El desafío de la Igualdad
21,UCI6QcXatdaEAaRTRjl3dc0w,gl6c1kLrJnU,"Cómo educar en la igualdad de género. Marina Subirats, socióloga"
22,UCT4Jg8h03dD0iN3Pb5L0PMA,PmgbmeGMRRw,¿Igualdad de género?
23,UCig8aKQHLt8E35_LJKwOscA,v1qJTmmN0z0,Vox defiende a gritos que &quot;la violencia no tiene género&quot; y que la ley de 2004 &quot;es puro hembrismo&quot;
24,UC93Ma0SxmdoWgUJUHr8Nf6g,ZuKPnqhjDEQ,🚫😠 CONSECUENCIAS de sufrir una DENUNCIA FALSA por VIOLENCIA de GÉNERO |👉👨‍💼👩‍💼 Expert Abogados 🔍
25,UCKPJu4HMTiY3elhw9hEmMNw,MM6-Tr8VmAE,VIOLENCIA de GENERO y AYUDAS ECONOMICAS
26,UCQSLny1RMIQ0jTp0o8h0yPg,6K0wtyDl2u4,¿Eres la misma persona en redes sociales?
27,UC7QZIf0dta-XPXsp9Hv4dTw,GG4JDJYpLvk,ELECCIONES 23J: SANTIAGO ABASCAL promete DEROGAR la LEY de VIOLENCIA de GÉNERO | RTVE Noticias
28,UCQ2Fej5pr1ipVeBWTX8Sc_Q,sp-9ftIoYBQ,"Feijóo, sobre el candidato de Vox condenado por violencia machista: &quot;Tuvo un divorcio duro&quot;"
29,UCjL0MieykNqPrGPcPbEw0eQ,N1HfL5qkcI4,Estremecedor video sobre la violencia de género
30,UChgFx1rj1_XCuputSpSSeDA,1eukcg88-jU,Los ADOLESCENTES consideran que el FEMINISMO ACTUAL &quot;va contra la IGUALDAD&quot; | Ac2ality
31,UCqQJPK3wnKutQGKaOALX9Pg,ibN_nQDuWUE,Diferencia entre violencia de género y violencia doméstica - - ABOGADOS Castro In Law -
32,UCC_S0QQ-8veIIHZ7OdnOYMA,uqWUys5Kg_A,#NoEsAmor. El testimonio de Carla. Violencia de género entre adolescentes
33,UC6D6pRbdTJuFuCS6UKPs6HQ,PWX3_QrXRXc,ARTICULO DE OPINION SOBRE LA VIOLENCIA DE GENERO
34,UCWpBYQF-ZuL6FQ05OIL9Yzg,ZrFOC8GXXO4,PREGUNTANDO SOBRE MACHISMO PRIMERA PARTE | Feminismo 4.0
35,UCKJNeVvjAI25bHQUYFuNVwQ,AGmajzsEOjo,"Reflexionando sobre roles de género, machismo y feminismo."
36,UClLLRs_mFTsNT5U-DqTYAGg,XSLEuXR-lOQ,Seis minutos de broncas: el vídeo que resume el tenso clima político en España
37,UCig8aKQHLt8E35_LJKwOscA,IGtQDo-Aw0k,Responde a Vox: &quot;¿Quién es usted para decir aquí quién es más español?&quot;
38,UCXsuVxRuRXQ8dRpwkzZmBug,aq30Mmawo3k,¿Qué es la violencia basada en género? - Proyecto ELLA
39,UCLDlYd6HYVh1DGPE0G3KINw,9c-oD4ofLcs,¿Qué sabés de la violencia de género?
40,UCba3hpU7EFBSk817y9qZkiA,DvII9fNFWAU,El duro discurso de Giorgia Meloni contra la ideología de género
41,UCWpBYQF-ZuL6FQ05OIL9Yzg,SXSatQE4Fpk,FEMINISTAS RAZONANDO
42,UCShVBAbRLUBKQRQFYUFlpKw,0KdmgUqM0C0,¿Qué es violencia de género?
43,UCjPmpNv8YRCp8EKzEAFpSkw,u3wsGtoXfes,VOLVER A SER | Documental Violencia de Género
44,UCkHR9m-tscD3ojD7_viIfTA,CmIc4nlubUY,La REALIDAD de la VIOLENCIA de GÉNERO con el DR. GAONA
45,UCQVdGjEx4Et4e91-UqccZXw,hH2yunqTOPE,¿Conoces los tipos de violencia contra la mujer? - Intro con Tere
46,UCkCYv06O4w0GOfdW2Ey8jvg,zFxNJwVNtHk,La violencia machista sigue azotando España
47,UCZ_zyuKwlmW8mYvZ0-kWHPQ,qt2QRg1bD_s,"Luisa, 22 años. Superviviente de violencia de género, España (Fundación Ana Bella)"
48,UCUsm-fannqOY02PNN67C0KA,BlXafWv5Nz8,¿Qué es el machismo? - Las Noticias
49,UCLDlYd6HYVh1DGPE0G3KINw,G7x9Fj0x1FY,¿Qué sabés de la violencia de género? (2)
50,UC7QZIf0dta-XPXsp9Hv4dTw,fN48ESWAa_g,"IRENE MONTERO: EDUCACIÓN SEXUAL para la MINISTRA, PEDERASTIA para VOX y Cs que piden su CESE | RTVE"
51,UCWpBYQF-ZuL6FQ05OIL9Yzg,SXSatQE4Fpk,FEMINISTAS RAZONANDO
52,UCC_S0QQ-8veIIHZ7OdnOYMA,WbnxzVW6ngo,En la violencia de género no hay una sola víctima.
53,UCUsm-fannqOY02PNN67C0KA,BlXafWv5Nz8,¿Qué es el machismo? - Las Noticias
54,UCpS3kzmAp8D3Qi434B6rgqw,iMSSrzStP1E,Spot contra la violencia de género
55,UCQSLny1RMIQ0jTp0o8h0yPg,cojLhNcBdBU,Tu vida en las redes sociales tiene público
56,UCeVPmwrx8ButRbLUwT6Me4g,llt2s1AFRAI,A DOMICILIO | CORTOMETRAJE VIOLENCIA DE GÉNERO
57,UCjPmpNv8YRCp8EKzEAFpSkw,u3wsGtoXfes,VOLVER A SER | Documental Violencia de Género
58,UCnsvJeZO4RigQ898WdDNoBw,G53btd11z8w,ITALIA: ¿En qué se nota que gobierna la ultraderecha de Meloni? | EL PAÍS
59,UCIvqcSPbzQBynjq230v9_yw,2HbBqMmY8vo,VOX CRITICA a Ley de Violencia de Género
60,UCh1OgMIWOlDBhFEYL3DHWjQ,xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio
61,UC04q-yRx9osUzNQD0fUSOsQ,i57aPy5Jl3w,Discriminación de  género
62,UCI6QcXatdaEAaRTRjl3dc0w,mDF0KQ1Gaqs,El acoso escolar contado por estudiantes
63,UCHssVr6Lx_f1PlQbZvDLf2A,,"El Granaino,criticas constructivas"
64,UCBg2ksNwht164otsChyMhRA,yt1uebqFlV4,Ciclo de la violencia contra las mujeres
65,UC6D6pRbdTJuFuCS6UKPs6HQ,PWX3_QrXRXc,ARTICULO DE OPINION SOBRE LA VIOLENCIA DE GENERO
66,UCKJNeVvjAI25bHQUYFuNVwQ,AGmajzsEOjo,"Reflexionando sobre roles de género, machismo y feminismo."
67,UC4FyvtPMnefH2VGrS2EsvjA,4uULilJ7vmI,consecuencias de denuncia por violencia familiar
68,UCqlsTzBv49Uiu8Z3IseVgQQ,4yOoRwKz0bk,Spot ganador del concurso contra la violencia de género
69,UCauNSMXhK-TRbICWfF1bAKA,aLDTy5VQOF0,La desigualdad de género no es un juego de niños | ActitudFem
70,UC4m7qr2F_V6kTRU_A1x0rBw,G5KR0DJ2-Fs,"Moretón, cortometraje mexicano contra la violencia de género"
71,UC7QZIf0dta-XPXsp9Hv4dTw,GG4JDJYpLvk,ELECCIONES 23J: SANTIAGO ABASCAL promete DEROGAR la LEY de VIOLENCIA de GÉNERO | RTVE Noticias
72,UC7QZIf0dta-XPXsp9Hv4dTw,GOaUfMNj6fQ,VIOLENCIA DE GÉNERO: Hablamos con las TRABAJADORAS del 016 que atienden a las VÍCTIMAS  | RTVE
73,UCs231K71Bnu5295_x0MB5Pg,RyqmAUBLlHM,"Campaña contra la violencia de género - Línea 144 gratuita, las 24 horas."
74,UC1zLDoKL-eKmd_K7qkUZ-ow,vThzIpzH-L0,Campaña sobre la violencia contra la mujer: Circularidad - Canal Encuentro
75,UCh1OgMIWOlDBhFEYL3DHWjQ,njiq2BURliQ,"Violencia de Género: &quot;Pero, ¿y si presento una denuncia y me mata?&quot; - Policías en Acción"
76,UC7QZIf0dta-XPXsp9Hv4dTw,SfBrzTr0OXY,VIOLENCIA de GÉNERO: CRECE el NÚMERO de JÓVENES que la considera un INVENTO IDEOLÓGICO | RTVE
77,UCba3hpU7EFBSk817y9qZkiA,8jHTCfo3Swo,Roxana Kreimer vuelve a atacar al feminismo: &quot;El femicidio es un término equivocado&quot;
