,comment,author,hateful,category
6654,['Feaaaaaaaaaaaaa comunista'],UCamh3HQeSD2Vf3y8KkDd_Bw,0.9908809661865234,ideología política
6019,['Es una gallega oligarca 🤦'],UCMYlOVb9S2TrTq0wXYZE5pQ,0.9907286167144777,racismo
124,['Esta tipa es una vulgar'],UCaxQv_0jTizaHWsDWfZn4Ww,0.9891559481620787,machismo
6231,['Cállate petarda que eres una corderita  una cortesana cuando te vayas a estrella la basura como  todos los socialista calladitos ahí porque   te puso  en un puesto bueno'],UCwq04-KAq-aEJbAEcbUjQcA,0.9884875416755676,ideología política
5409,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
5350,['Esa es una pirrra'],UC-LFMFQRNEc2FG61oU4fsPQ,0.9884229302406312,machismo
5387,['Pijaprogre analfabeta.'],UCtuMUMmagoE2QW-2v8wDFUA,0.9873830676078796,ideología política
844,['Para las tontas torpes como tú hace falta  la inteligencia artificial tronca qué eres una ridícula'],UCwq04-KAq-aEJbAEcbUjQcA,0.9868198037147522,machismo
6589,['Momia descatalogada.'],UC31MXJUxQqULrdO7AFsuiCQ,0.9867790937423706,ideología política
6353,['Tas pa encerrar y tirar la llave descerebrada'],UCW_8NdobLKH7-Dju6NiAflA,0.986587941646576,ideología política
4507,['En tu país roban a las madres inocentes 44700919m sus hijos ( puta goda de reina de mierda)🖕🏽'],UC4viEQmrYPxESbSgWspzEew,0.9861148595809937,ideología política
7226,['Esta vieja comunista debe estar senil.'],UCNDOV2lgyGSfzlGjlUXLTTQ,0.985767900943756,ideología política
3311,['De que se rie esta traidora sinvergüenza'],UC-F8C1Lra48y9weDklmksiQ,0.9854400753974916,ideología política
6420,['😂esta dela bufanda llegará muy lejos una perfecta lame culos'],UC5ZH8qpHRffk2cfvXqQ6DnA,0.9853292107582092,machismo
123,"['Qué hortera y  maleducada la ""señora"" esa... Es para darle un soplamocos a tiempo']",UCqq1Z2xEhxkNLu9weZn0gUA,0.985193133354187,machismo
6663,['Falsa.'],UCcs6VhQzljtXDg1c_g1NMVg,0.9848511815071106,machismo
1900,['Esa mujer estorba'],UCNi4ZY1XuV7p-_9XjR9da5Q,0.9844028949737548,machismo
1376,['payasa¡¡¡!!!!!!'],UCaFWPILugEh-1eUnji8_NPg,0.9837214350700378,machismo
5301,['Mujer insoportable que se le subió lo de Reina y no es más que una cenicienta'],UCjmNr2wzmN4uC79jcyA2LpQ,0.9832964539527892,machismo
128,"['Una maleducada, violenta, y grosera.']",UCS2LoJiHxWJETjz7UBTKJfA,0.9832029342651368,machismo
7773,['Que tipa tan ignorante'],UCg4olxzKiSLG-eOLsXtyX-w,0.9816646575927734,ideología política
3814,['Pero. Si los rasistas    republicanos en pesaron a. Joder primero alos verdaderos nativos. Americanos que   si hacen rasismo con ellos como no van ah ser rasista con los ilegales que no estan aqui para matar gente estan para aportar.   Pero.   Por lo menos en ser rasistas. Lo expresan en eso son onestos pero los demonios democratas estos. Hablan de ser amigos de los imigrantes son los que mas deportan. I son los que mas afectan alos imigrantes'],UCFrJmuq39GXFyZ1nYchLwZg,0.9810737371444702,racismo
7225,"['Pero que se puede esperar de una Estremeña cazurra que no se que Universidad le dio la toga, es grotesca Cómunista Dictadora, e ignorante y encima es mi paisana🤮🤮🤮🤮🤮🤮']",UCWh69jwWgi0P52rKcI2DJPw,0.9803354740142822,ideología política
