,comment,author,hateful,category
322,['No tiene nada que hacer esa chorra yegua ahi!!'],UCTEhvUilw7viue9JyOv68yw,0.9902616143226624,machismo
1381,['Que niña tan ladrona'],UCLysRXb5iweTvps7vWc2RrQ,0.989813268184662,machismo
647,"['Esta mujer es extranjera, que puede proponer para Méjico. Una educación antiespañola y pobre. Mejicanos De Dios si ni siquiera habla bien español']",UCUPVDhsRasZ8roS4clp44hg,0.9863579273223876,racismo
139,['SE RECHAZÓ MENTIROSA.!!'],UCZHacuvuSvwq-uNQ8fEWKUA,0.9850887656211852,machismo
319,['Es una estúpida la Cretina'],UCwY7rgGkZYpysfMjuuU6BxA,0.9830635190010072,machismo
1752,['Está locaaaaaaaaa.'],UChUCR1QruOwt4R8XBatNDQg,0.9826142191886902,machismo
856,['Toda pendjita.'],UCWvyYfGQy_DXzIHa3iZjRAA,0.9817304611206056,machismo
255,['No parece Venezolana. Nada que ver con los maleducados que llegaron a mi país'],UC7Z0syAm8trx9HRWbvem1UA,0.9811602234840392,racismo
238,['La pilar esa que va a ssr drogadicta 😂😂😂 como muvho se ha fumado 10 porros que se los han pagado los padres y encima el polen mas cortado estaria 😂😂😂'],UC1tx7r5J_ApfIBEDqqGFPYQ,0.9801183938980104,racismo
642,"['Esta mujer no tiene ni la más mínima idea de educación que bruta, quien sabe a que se ha dedicado toda su vida!']",UCoDZ84ClPL2Wto3z6z2QHug,0.9795292019844056,machismo
936,"['Esta mujer de Neguri, millonaria, no rebuzna porque no da el tono']",UC9KnB1OxFCkx-o1HSW7oAqQ,0.9787389636039734,machismo
1773,"['Que loca e inmadura es esta mujer, está bien que diga que èsta es su mejor relación pero lo mismo decía antes, aquí se vuelve a repetir lo de siempre, el cuidador busca al necesitado, ojalá duren mucho porque cuando terminen, ésta mujer vuelve a ser nadie otra vez.']",UCn7Wgt6ZCWJYTzrTt7V7ZcA,0.978144347667694,machismo
1538,['Esa hermana es el mismo diablo y ella muy alcahueta le faltó mucho caracter'],UCvTI48CzDzzD1LsGDDkUT3g,0.9773069620132446,machismo
313,['Que vieja soreta loco tanta gente inocente muere y esta es como un gato. Gracias a dios no los vamos a tener que ver massssssss'],UC6-YBdsRpL93N6Sboj1ivZg,0.9770947098731996,racismo
