,comment,author,hateful,category
202,"['Me da gracia la feminazi vieja esa del pelo canoso, diciendo que venga aquí todo el mundo, que la Tierra no es de nadie.... pues claro entonces que se metan todos a vivir en tu casa y en tu cama.']",UCcSXXgk2lWKTBw4TQak1lOw,0.9926827549934388,ideología política
1684,"['Porque escogieron a esa señora argentina, si su país es mejor pues que se regrese, ¿Que está haciendo aquí?']",UCvwQC6X8pyBnCkTm4vaG-3Q,0.9883304834365844,ideología política
929,['Jaja en Venezuela no hay que comer y AKI si pnch venezolana'],UCseG53j0IAcrNLvNK6pWn8w,0.9881956577301024,ideología política
2393,['Que Bruta!'],UCcMO0-mI4P1mg9t-Sp8H1IA,0.9877849817276,machismo
4027,['E por que destruis mi vida y despues te alejas de mi por ser yo fuiste famoso llevas mi amor para ir a inbertir todos por ai atras de la mujer fasil ese amor es solo tu y yo no es de nadie yo nesesito de mi amor fuiste a disfrutar con otras de mi amor yo no te di para ir a regalar a otras mujer sinberbuenza vividora fea fea ya me pone nerviosa y me ase doler mi cabeza tu te burlas no mas de mi aqui y fuiste por ai otras ves a burlar de mi no quiero ver mas esa mujer toxsica'],UCP0lw0fYj1uEaPNCrylhJ2g,0.9873278737068176,machismo
5353,['Es una Perra Depravada y el Querido también. Cárcel para los Dos.'],UCRwfxWizQRPVEWs5sd_IjVA,0.9866270422935486,ideología política
2714,['PINCHE BASCA DE PERRO DEVERIA DE ESTAR EN LA CARCEL TAMBIEN'],UC96NK6AcUY5KUe9ZRi95d9g,0.9855061769485474,ideología política
2496,"['que amiga te da todo de a gratis, jajajajajajajaja esta es media cojudita.']",UCwP0ry6yV8coNvhTn02h73A,0.9853608012199402,machismo
4143,['gorda baja los precios'],UCVyIuZRSWaQe0lD48kTWF3g,0.9850438833236694,machismo
2540,['Que se regresen los negros a su pais'],UCYj938TMtiT6SCSoftGBnnw,0.984918177127838,racismo
407,['Coño oído esto mexicano ilegales exigiendo Repeto y que ello son lo que más traban . Son como lo haitianos en RD . Que ello hacen en trabajos de lo dominicano. Por qué cobra más barato y si un haitiano ilegal si documento hace un delito nadies lo agarra . Yo Desanty hace Rato vía despertado esa vieja y ese caballero para su Mexicano’s lindo para que haga su buena vida allá'],UCYfwwn2YI6PdgJdQa0QRWrw,0.984828531742096,ideología política
5346,['Loca de mierdad la mama'],UCL3svv8nLbtWvAeRMM13iOQ,0.9832363724708556,ideología política
3774,['Esa señora no contesta ningun mensaje'],UC2C9QqF4nhtKniz0Fh_j4cA,0.983100175857544,machismo
50,['Tu de española no tienes nada pañuelitos'],UCNk1pYHAqLZESuG1iPbDRaQ,0.9829500913619996,racismo
779,['Un semejante italiano que está en la cara lo dije que así tan ya no me lo viene a pagar porque le pone no en continentes de nosotros si quieres portar gente que empiece deportar por su familia y después que se vaya él porque nosotros somos de Aquí somos Magno de América americanos Hola palabra lo mismo centroamericano tenemos a este continente'],UCJDaCttJxu3WTt7Fd85fWjQ,0.9825384616851808,ideología política
6,['Pero. Si los rasistas    republicanos en pesaron a. Joder primero alos verdaderos nativos. Americanos que   si hacen rasismo con ellos como no van ah ser rasista con los ilegales que no estan aqui para matar gente estan para aportar.   Pero.   Por lo menos en ser rasistas. Lo expresan en eso son onestos pero los demonios democratas estos. Hablan de ser amigos de los imigrantes son los que mas deportan. I son los que mas afectan alos imigrantes'],UCFrJmuq39GXFyZ1nYchLwZg,0.9810737371444702,racismo
2710,['Payasita como su familia de dedos chillones'],UCtGuIpTJV2IbjzdfU-BSOpA,0.9802044034004213,ideología política
3702,"['Este artículo es de PUÑETERA TRACA.\r\n\r\n Mirad lo que se va a hacer a partir de ahora con los invasores africanos. Reconocen que la mayoria a las 72 horas se largan por voluntad propia y se van con los amigos y familiares que ya tienen en España ¿Cómo?¿miles de invasores sin identificar entran en tu pais ilegalmente y les dejas sueltos por las calles, sin más?\r\n\r\nY con el resto se pone en marcha una gigantesca red de ayuda que solo falta que les contraten escorts con el objetivo de que se integren lo más rapido posible en España.\r\n\r\nY punto. Esa es toda la historia. Lo de expulsarlos ni se plantea. Tú a seguir trabajando, currante español, que todo este entramado no se paga solo.\r\n\r\n El régimen del 78 se ha convertido una maquina perfecta para la destrucción de España. Derrocarlo es la obligación de todo patriota.\r\n\r\nEstos son algunos de los flipantes párrafos del artículo:\r\n\r\n\r\nel objetivo es que estén el menor tiempo posible y que luego sean trasladados a plazas más estables"".\r\n\r\nDesde el Ministerio, no obstante, reconocen que muchos inmigrantes\xa0terminan yéndose por voluntad propia más pronto que tarde, por lo que esta situación es transitoria. ""Únicamente están bajo custodia policial las primeras 72 horas, luego ya están libres y, por tanto, pueden hacer lo que quieran.\xa0La mayoría tienen amigos o familiares en España\xa0y se suelen ir rápido""\r\n\r\nEl resto, entran a formar parte de un sistema de acogida integral en el que se les facilita desde atención sanitaria y ayuda psicológica hasta asesoramiento administrativo o judicial, e incluso formación.\r\n\r\n¿Reciben también alguna\xa0ayuda económica? Desde Accem-una de las oenegés que se encarga de atenderles- reconocen que sí se les da\xa0""pequeña"" cantidad ""para que ellos se desempeñen en el día"",\xa0\r\n\r\nlos inmigrantes tienen cubiertas sus tres comidas diarias y, sobre todo, se les presta apoyo psicológico y se les ofrecen clases de español ""para que logren una integración rápida"".\r\n\r\nEmpezaremos a hacer los proyectos de vida de estas personas -explican desde Accem-. A los que quieran pedir asilo,\xa0se les ayuda a pedir asilo; a los que vengan con algún contacto o una red social, ya sea de familiares o amigos, les ayudaremos a buscar la\xa0reagrupación\xa0con esas personas; y a los que muestren interés por hacer algún tipo de\xa0formación para buscar un empleo\xa0en el futuro de algún tipo, pues también les haremos un acompañamiento y les ayudaremos a hacer los\xa0trámites legales y burocráticos\xa0para que puedan intentar iniciar un proyecto de vida en nuestro país"".\r\n\r\nhttps://www.libertaddigital.com/espana/politica/2023-10-27/que-va-a-pasar-con-los-cientos-de-inmigrantes-alojados-en-hoteles-de-toda-espana-este-es-el-plan-del-gobierno-7063280/']",UC2gxnLDpxDxcrMpZXyqVsrQ,0.9801322817802428,racismo
438,['Pendeja no sabías q ibas a it otro país\nCon otro idioma. Crees q te van a regalar todo al entrar. Tu ignorancia no es culpa de este país. Ponte a trabajar y deja de quejarte o regrésate a tu país.'],UCIy8Kl2TCdjKhNElHrOR4FA,0.9799304008483888,ideología política
