,comment,author,hateful,category
3649,"['Petarda, fascista, bulera.']",UChFzMyAZ3zrnR21PwieIO-w,0.9886729121208192,ideología política
1074,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
3513,['Selo mereces por prepotente lagarta'],UCBrfbvRG6yNrYqSwJY-CcJA,0.9871861338615416,machismo
2420,['A la mierda la monarquía y esas viejas re culias estiradas que no entienden nada sobre su horrible país.'],UC-RR7g4KjdqFvV8pzKQt28g,0.9858571290969848,ideología política
3285,"['La Consorte  mala persona, bibora venenosa, fuera de la zarzuela.']",UCi5bNvDfyKHehK9fyLL9g7Q,0.985714852809906,machismo
4003,['Vergüenza de reina quiere que  no gastes dinero y ella que es ? Republicana de M...'],UCX5kobtKymaYKRb8gDoDt4A,0.98515123128891,ideología política
4170,['No metas tus manos por esa tia'],UCUe6dAUnfYRiOm4gEpRc2sg,0.9847546815872192,machismo
2853,['Si esa mentada reina no trata bien a quien por ella está en alto lugar quiere decir que no que tiene un corazón podrido que  esperan los demás de esa mujeryo la mandaría por tubo no sirve para reinar esa leticia'],UCaTixMxvOGhiXAKHkY_Vx8A,0.9845786094665528,ideología política
4094,['Qué le importa salir si es una trepa que es millonaria la cuenta de todos los españoles que no valen nada más que para pasar modelitos y que la digan que va muy bien todo pagado por todos los españoles así cualquiera va bien más vale que respete a los suegros doña Sofía y Don Juan Carlos Rey de España esos son los auténticos reyes'],UCqz3u4Y0bPyN9gF1-7UCXFg,0.9842180013656616,ideología política
3143,"['*Construyan una alcantarilla llena de ᗰ1ᗴᖇᗪ4 como yo y mi madre marroquí, y los ᗰ1ᗴᖇᗪ4S GENOClDAS, SAQUEADORES LADRONES Y ASESIN0S DE LOS INGLESES BRUTÀNICOS, y pongan un escrito en el que pido perdón por adorar a una saqueadora y asesina como la reina lagarta muerta de INGLA_M1ERD4!*']",UCtAEmnCnjAjAyaS5xeIk9GQ,0.9839682579040528,racismo
1195,['Mujer insoportable que se le subió lo de Reina y no es más que una cenicienta'],UCjmNr2wzmN4uC79jcyA2LpQ,0.9832964539527892,machismo
2987,"['Para mi LadyDi, será la reina y esa señora, para mi será la amante que no dejo, detrás como una bruja y destruyo un familia. Y tan fea']",UCuPARSe192fWGpr5ZIcESbw,0.9820005297660828,machismo
1051,['Pobre niña infeliz.. cuanto karma..'],UCQRG3hVDk5taPsaPisaT1tQ,0.9812108278274536,machismo
4181,['Vaya historial de la q se cree perfecta.'],UCRk084ZuIgEEz5QBQue2LcA,0.9805067777633668,machismo
3887,"[""Leticia es una bruja y está contra felipe y su familia. Si felipe lo permite no significa nada' no vale para nada. Que se vaya o se separe de  esa maldita""]",UCiDK13iug4gqpLpeK57KqdA,0.9799941778182985,ideología política
3424,"['""doña Leticia"" es una izquierdosa resentida q disfruta de la buena vida monàrquica...!!']",UCtQF38u9lgopVbs6YBNlSzA,0.9796823859214784,ideología política
2861,['Que mujer tan atrevida y narcisista. Haciéndole semejante grosería a su suegra. Se nota que domina al marido con un dedo.'],UC44EdVzPM401oWm2a9E4Fsw,0.9788919687271118,machismo
2197,['La paleta Ayuso  es muy casposa y rancia'],UCL_CyWQHh13BPUtPWLjvXKA,0.9788692593574524,ideología política
150,['¿ No recuerdan como trató a la abuela la malcriada esta?'],UCoPi7I61R96tXEPD7qbOmVw,0.978300392627716,machismo
1868,"['Ahora dilo llorando,chayotera corrupta alias  cederá  ajajaj🤣‼‼‼los próximos  gobiernos  de morena, ustedes los chayoteros quedarán en la basura  de  la farándula   nadie se acordara de ustedes chayotera corrupta  su golpe final será en el 2024 adiós al prian y sus voceros chayoteros 🤣‼‼‼‼']",UCYPFCbTlhURan95zanE215Q,0.9756709337234496,ideología política
2711,"['Oye mujer, que opinas del che guevara quien dijo una vez que los africanos eran el ejemplo perfecto del poco apego al baño, y también quien metía a los homosexuales en campos de concentración bajo el lema, el trabajo os hará hombres, su discurso nacionalistas, anti imperialista?, es de izquierda por que llevaba La oz y el martillo, verdad, entonces por que no consideran de izquierda q hitler quien decía que lo suyo era el verdadero socialismo?']",UCLKZwnNUzSETl8UQ3UbaymQ,0.9754415154457092,ideología política
681,"['Aqui vemos el problema d la inmigración, esta chica q no es étnicamente británica. Quiere q el pais cambié algo tan de los británico solo porq ella no se siente  identificada']",UCOBWb-7iN0sPKuWOCFXC-gQ,0.9746570587158204,racismo
3758,['Adiesteada por la. Madre esta usta ibre. Niña'],UCDA-BGm_Y86SdS6Iz0ZOT-Q,0.9739930033683776,machismo
3837,['Los peruanos no son desendientes incas todos fueron esterminados por los invasores los incas fueron los primeros en retirarse no fueron suficiente los peruanos son meclas de los invasorea y eh indigenas y de los aciaticos'],UCgsSwVS00xo3I3u-GfiVvZQ,0.9737858176231384,racismo
3821,"['POR CIERTO, LLAMAR MADRE CORAJE, A ESA MUJER, Q DROGABA A LOS HIJOS CON ORFIDAL, Y Q COJONES TUVO LA GOLFA ESA, DE CHANTAJEAR AL REY']",UCa5b8dMA6P1rw9M1Kpf2kIg,0.9736475944519044,ideología política
4089,['Tiene cara de mala rei de españa sacala de tu bida tu bales mucho i puedes tener la mujer que quieras desterrarla'],UCvu5ghP9eNDIPJO-sh5_0qQ,0.9729024171829224,ideología política
699,['La reinita de acá debe ir presa x robar'],UCGuW4htDrlVKh5-6aNBrLnQ,0.9706856608390808,ideología política
553,['Los europeos son primitivos.'],UC8rMyU5KPr6j-xyjUL1X5Sw,0.970669448375702,racismo
906,"['Que  sentiria la Laticia , si su hija ya no fuera reina. Si se acabara el reinado, su cara de la prepotente.']",UCApJd3w-i1TXXJewGlxeW9g,0.9704070687294006,ideología política
271,['No veo la diferencia entre esta boba gricelda la maqueabelica nazi torturo a miles de mujeres niñna y ancianas e su arrogancia del poder banal del supuesto poder q jamas tendran porque no ban y se comen un elado 🎉🎉🎉🎉🎉😊😊😊😊😊😢😢😢😢'],UCah9An1GZE18Son9Uv_CcsQ,0.9701444506645204,ideología política
