,comment,author,hateful,category
4101,"['Ella si es una racista de primera , y aun aún dice que los negros corren más que el blanco hay si fuera al revés espero no ganes nada y haya una blanca te doble corriendo']",UC8c2KP30ivkXrmwAiXHtWQw,0.9902744293212892,racismo
1959,['Tiparraca'],UCbcOaidgBv7DJ5Vqc3GlpNA,0.989379107952118,machismo
337,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
598,['E por que destruis mi vida y despues te alejas de mi por ser yo fuiste famoso llevas mi amor para ir a inbertir todos por ai atras de la mujer fasil ese amor es solo tu y yo no es de nadie yo nesesito de mi amor fuiste a disfrutar con otras de mi amor yo no te di para ir a regalar a otras mujer sinberbuenza vividora fea fea ya me pone nerviosa y me ase doler mi cabeza tu te burlas no mas de mi aqui y fuiste por ai otras ves a burlar de mi no quiero ver mas esa mujer toxsica'],UCP0lw0fYj1uEaPNCrylhJ2g,0.9873278737068176,machismo
171,"['¿ Porqué, siendo hispana te haces llamar ""Eve\'s Planet""...?\n¿ Eres antiespañola ?']",UCaoZmkqI7shjRkgpi08T9qQ,0.9870893359184264,racismo
2495,"['Esta mujer es una vendepatria llamando a mas sanciones, presa es lo que tienes que ir']",UCNx4reD2_HyPJ_uyDl8DRbg,0.986187219619751,ideología política
4058,['La cuca se apellidara como sea pero es una macarra de libro'],UC3nmlC3aiEhN7znzjJb-hEg,0.9858453273773192,machismo
2924,['Esta bruja es más izquierdoza que Nicolás maduro fuera del parlamento'],UCgRgaYHQWGtVxyS3SAbK6EQ,0.9852234125137328,ideología política
3204,"['Esta mujer es una corrupta y totalitaria, en este país un político pierde las elecciones y se les asciende, el pueblo se las trae al pairo y en este caso LOS MENORES TAMBIÉN SE LA RESVALA A ESTA MALVADA .\nY DA IMPRESIÓN DE BUENA Y DULCE DULCE, LA MUY MALVADA']",UCU9c0g-X5lmS6AD2C53xEjQ,0.9851459264755248,ideología política
2809,['Que se regresen los negros a su pais'],UCYj938TMtiT6SCSoftGBnnw,0.984918177127838,racismo
4433,"['Tu me caes bien tu esposa no, busca su mejor angulo , vive de la canidad , de lo que se fncejezera , muy frivola, vacia , que lastima da que es bonita, pero hueca']",UCSo-YEJ1i_aGsOBbP3kUlAg,0.9847379326820374,machismo
366,"['*Construyan una alcantarilla llena de ᗰ1ᗴᖇᗪ4 como yo y mi madre marroquí, y los ᗰ1ᗴᖇᗪ4S GENOClDAS, SAQUEADORES LADRONES Y ASESIN0S DE LOS INGLESES BRUTÀNICOS, y pongan un escrito en el que pido perdón por adorar a una saqueadora y asesina como la reina lagarta muerta de INGLA_M1ERD4!*']",UCtAEmnCnjAjAyaS5xeIk9GQ,0.9839682579040528,racismo
