,comment,author,hateful,category
2254,['E cago en los muertos de todas las perras esta'],UC9c6w2AR3nZyRm4UC6rauMA,0.9908128380775452,machismo
2004,['Que se calle la vieja loca!'],UCSgt0hnoNL7bSDl4Pwkf7ew,0.9902172684669496,machismo
3657,"['Petarda, fascista, bulera.']",UChFzMyAZ3zrnR21PwieIO-w,0.9886729121208192,ideología política
2759,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
605,['No maltraste a esa vieja'],UCuZZUVuJkTELLESYi7hK4NQ,0.9883663058280944,machismo
2855,['Vos SOS muy chismosa. Lengua de yoyo que saves Vos quien era???????  Esta no es la histora de verdad'],UCLi3u0NImq4amfMD4bCGAyw,0.9874843955039978,machismo
1748,['ES LA MALNACIDA'],UCRGHTfwn1FsjEutwbemSfdA,0.9867876768112184,ideología política
2166,"['Jajaja típico vídeo de una pendeja feminazi adoctrinada que quiere imponer a la fuerza que la violencia solo es parte de los hombres cuando sabe muy bien que LA VIOLENCIA NO TIENE GENERO, hasta las mujeres pueden ser peores asesinas que los hombres y está comprobado.']",UCjyAxg4mTEO6ZfvDZxZA6Pw,0.986764907836914,machismo
3842,"['Niñata loca y sicopata ,sadomasoquista , no contenta con sufrir ella hace sufrir a su familia, me cayó mal desde el principio y no justifico su actitud,es de estar muy mal de la cabeza.se tenía bien merecido lo que le hubiera pasado porque ella solita con su actitud y su forma de ser se lo busco , no me da pena.y tiene cara loca .']",UC_N9NCTXNk_Onj-FnQWbRMQ,0.9862983822822572,ideología política
656,"['oe pendeja eso se llama estupides no violencia, violencia es agredir ficica y sicologicamente hacia otra persona y no solo a la mujer eso es una idea retrograda de que la mujer es indefensa y tu misma la cagaste.']",UCMacWolFWkcy8bpN_FR2I3Q,0.9862806797027588,machismo
1239,"['Vaya rata cobarde,y esas mujeres igual de cobardes.']",UCtEMMN1FxMBI_4v9yPnwnOg,0.9860433340072632,machismo
2189,['Ahhh esa señora ya la había visto antes y es bien pendeja'],UCRJKiBeXF3-12stCfNCprzw,0.9856239557266236,machismo
1517,"['que amiga te da todo de a gratis, jajajajajajajaja esta es media cojudita.']",UCwP0ry6yV8coNvhTn02h73A,0.9853608012199402,machismo
116,['Histérica prepotente'],UCyaqfHGyfRnjsyqEaaRFQFg,0.9852745532989502,machismo
2926,['anda boba'],UCcvTa4BRcJTClBqdHgMJgxQ,0.9852484464645386,machismo
3417,['Polo. Esta despistada e injusta siempre apoya a los geis páselo que pase y exagerada vive en las nubes'],UC7gciSJRtiIOiL_Pd6FFK6Q,0.9848580360412598,machismo
2899,['Malditas enfermas'],UCFGXZWie1h-EoTiKvGpYynw,0.9846407175064088,machismo
4018,"['esa tia es una ignoranta y una mala persona, cuando cambie el gobierno ya puedes salir corriendo por mentirosa maliciosa comunista, y sino a la cárcel de por vida.']",UCTjObFYS8dIUFCx3VHuO3LQ,0.9839518666267396,ideología política
1241,"['Jajjaja que igualdad piden, solo quieren ser privilejiadas, pinche pendejas no dejan trabajar']",UCQpTv-VQKrJ8V_qZlhGgOew,0.983922004699707,machismo
894,['Okey wacho esa mujer es tremenda gilarda'],UCEBff3YXdSOAHT3yqdbEIAA,0.9839163422584534,machismo
3138,['Casi te odio de tanto que te admiro. Eres sobrehumana!!!'],UCNWuHi4-M_j0k5PtDK4nGcQ,0.9838489294052124,machismo
