index,category,comment,num_cat,ideología política,machismo,racismo
6654,ideología política,Feaaaaaaaaaaaaa comunista,0,1,0,0
6019,racismo,Es una gallega oligarca 🤦,2,0,0,1
124,machismo,Esta tipa es una vulgar,1,0,1,0
6231,ideología política,Cállate petarda que eres una corderita  una cortesana cuando te vayas a estrella la basura como  todos los socialista calladitos ahí porque   te puso  en un puesto bueno,0,1,0,0
5409,ideología política,"TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,",0,1,0,0
5350,machismo,Esa es una pirrra,1,0,1,0
5387,ideología política,Pijaprogre analfabeta.,0,1,0,0
844,machismo,Para las tontas torpes como tú hace falta  la inteligencia artificial tronca qué eres una ridícula,1,0,1,0
6589,ideología política,Momia descatalogada.,0,1,0,0
6353,ideología política,Tas pa encerrar y tirar la llave descerebrada,0,1,0,0
4507,ideología política,En tu país roban a las madres inocentes 44700919m sus hijos ( puta goda de reina de mierda)🖕🏽,0,1,0,0
7226,ideología política,Esta vieja comunista debe estar senil.,0,1,0,0
3311,ideología política,De que se rie esta traidora sinvergüenza,0,1,0,0
6420,machismo,😂esta dela bufanda llegará muy lejos una perfecta lame culos,1,0,1,0
123,ideología política,"Qué hortera y  maleducada la ""señora"" esa... Es para darle un soplamocos a tiempo",0,1,0,0
6663,machismo,Falsa.,1,0,1,0
1900,machismo,Esa mujer estorba,1,0,1,0
1376,machismo,payasa¡¡¡!!!!!!,1,0,1,0
5301,machismo,Mujer insoportable que se le subió lo de Reina y no es más que una cenicienta,1,0,1,0
128,machismo,"Una maleducada, violenta, y grosera.",1,0,1,0
7773,ideología política,Que tipa tan ignorante,0,1,0,0
3814,racismo,Pero. Si los rasistas    republicanos en pesaron a. Joder primero alos verdaderos nativos. Americanos que   si hacen rasismo con ellos como no van ah ser rasista con los ilegales que no estan aqui para matar gente estan para aportar.   Pero.   Por lo menos en ser rasistas. Lo expresan en eso son onestos pero los demonios democratas estos. Hablan de ser amigos de los imigrantes son los que mas deportan. I son los que mas afectan alos imigrantes,2,0,0,1
7225,ideología política,"Pero que se puede esperar de una Estremeña cazurra que no se que Universidad le dio la toga, es grotesca Cómunista Dictadora, e ignorante y encima es mi paisana🤮🤮🤮🤮🤮🤮",0,1,0,0
